category,strain,effect_1,effect_2,effect_3,effect_4,effect_5,medical_1,medical_2,medical_3,medical_4,medical_5,negative_1,negative_2,negative_3,negative_4,negative_5,flavor_1,flavor_2,flavor_3,review_total,parent_1,parent_2,parent_3,parent_4,parent_5,parent_6,parent_7
indica,3x crazy, relaxed, happy, sleepy, uplifted, euphoric , stress, insomnia, pain, depression, fatigue , dry mouth, dry eyes, dizzy, anxious, paranoid ,1. earthy,2. grape,3. woody,132.0,og kush,bubba kush,granddaddy purple,n,n,n,n
hybrid,501st og, happy, relaxed, energetic, euphoric, uplifted , stress, pain, depression, insomnia, headaches , dry mouth, dry eyes, headache, anxious, dizzy ,1. sweet,2. pine,3. pungent,106.0,skywalker og,rare dankness 1,n,n,n,n,n
hybrid,541 kush, energetic, focused ,,,, pain ,,,,,,,,,,1. diesel,,,1.0,triangle kush,n,n,n,n,n,n
indica,5th element, energetic, relaxed, euphoric, happy, hungry , pain, stress, lack of appetite, muscle spasms, inflammation , dry eyes, dry mouth, paranoid, dizzy, headache ,1. earthy,2. pungent,3. lemon,55.0,blackberry,n,n,n,n,n,n
hybrid,707 headband, relaxed, euphoric, happy, creative, uplifted , pain, stress, depression, nausea, muscle spasms , dry mouth, dry eyes, anxious, dizzy, paranoid ,1. earthy,2. sweet,3. pungent,372.0,sour diesel,og kush,master kush,n,n,n,n
hybrid,707 truthband, happy, energetic, focused, relaxed, uplifted , pain ,,,,, dry eyes ,,,,,,,,1.0,true og,n,n,n,n,n,n
indica,8 ball kush, relaxed, happy, uplifted, euphoric, hungry , pain, depression, inflammation, stress, muscle spasms , dry mouth, dry eyes, headache, anxious, dizzy ,1. earthy,2. spicy/herbal,3. pine,57.0,afghani,n,n,n,n,n,n
indica,818 og, happy, relaxed, tingly, euphoric, sleepy , insomnia, pain, stress, nausea, inflammation , dry mouth, dry eyes, paranoid ,,,1. earthy,2. flowery,3. pungent,31.0,og kush,n,n,n,n,n,n
indica,831 og, relaxed, creative, hungry, euphoric, focused , insomnia, pain, stress, depression, cramps , dry mouth, dizzy, headache ,,,1. cheese,2. flowery,3. chemical,8.0,og kush,sfv og,n,n,n,n,n
indica,9 pound hammer, relaxed, sleepy, euphoric, happy, hungry , insomnia, pain, stress, depression, muscle spasms , dry mouth, dry eyes, dizzy, anxious, headache ,1. earthy,2. sweet,3. citrus,730.0,jack the ripper,hells og,gooberry,n,n,n,n
indica,91 krypt, relaxed, happy, euphoric, giggly, sleepy , stress, depression, lack of appetite, insomnia, pain , dry mouth, dizzy, dry eyes ,,,1. diesel,2. skunk,3. earthy,13.0,chemdawg 91,n,n,n,n,n,n
hybrid,aberdeen, uplifted, giggly, happy, energetic, sleepy , cramps, depression, fatigue, headaches, lack of appetite , anxious, dry eyes, dry mouth ,,,1. blue cheese,2. chemical,3. menthol,8.0,orange velvet,jack the ripper,n,n,n,n,n
indica,abusive og, relaxed, happy, sleepy, euphoric, uplifted , stress, insomnia, pain, depression, headaches , dry mouth, dry eyes, dizzy, anxious, headache ,1. earthy,2. pungent,3. lavender,148.0,og kush,n,n,n,n,n,n
sativa,acapulco gold, happy, uplifted, creative, euphoric, energetic , stress, depression, fatigue, pain, headaches , dry mouth, dry eyes, anxious, paranoid, dizzy ,1. earthy,2. woody,3. sweet,598.0,mexican,n,n,n,n,n,n
hybrid,acdc, relaxed, happy, focused, uplifted, sleepy , pain, stress, depression, inflammation, fatigue , dry mouth, anxious, dry eyes, paranoid, dizzy ,1. earthy,2. woody,3. pine,719.0,cannatonic,n,n,n,n,n,n
indica,ace killer og, relaxed, euphoric, sleepy, hungry, happy , stress, pain, insomnia, depression, lack of appetite , dizzy, dry mouth ,,,,1. earthy,2. diesel,3. pine,38.0,white fire og,kings kush,kosher kush,n,n,n,n
