category,strain,effect_1,effect_2,effect_3,effect_4,effect_5,medical_1,medical_2,medical_3,medical_4,medical_5,negative_1,negative_2,negative_3,negative_4,negative_5,flavor_1,flavor_2,flavor_3,review_total,parent_1,parent_2,parent_3,parent_4,parent_5,parent_6,parent_7
indica,moon walk, relaxed, sleepy, euphoric, tingly ,, pain, cramps, depression, insomnia, nausea , dry eyes, dry mouth, paranoid ,,,,,,3.0,purple cow,n,n,n,n,n,n
indica,moonbeam, relaxed, happy, euphoric, sleepy, giggly , fatigue, stress, pain, depression, muscle spasms , dry mouth, dry eyes, anxious, dizzy, headache ,1. earthy,2. sweet,3. flowery,44.0,n,n,n,n,n,n,n
sativa,moondance, creative, energetic, uplifted, euphoric, happy , stress, depression, fatigue, insomnia, pain , dry mouth, anxious, dry eyes ,,,1. citrus,2. earthy,3. flowery,7.0,super silver haze,nevilles haze,n,n,n,n,n
sativa,moonshine haze, uplifted, euphoric, energetic, creative, happy , depression, stress, pain, lack of appetite, fatigue , dry mouth, dry eyes, dizzy, anxious, headache ,1. earthy,2. flowery,3. woody,165.0,nevils wreck,amnesia haze,n,n,n,n,n
hybrid,moonwalker kush, happy, relaxed, euphoric, giggly, hungry , lack of appetite, stress, depression, insomnia, nausea , dry mouth, dry eyes ,,,,1. earthy,2. tropical,3. pine,19.0,n,n,n,n,n,n,n
sativa,moose and lobsta, energetic, uplifted, happy, euphoric, talkative , pain, stress, inflammation, depression, nausea , dry mouth, dry eyes, dizzy, headache, paranoid ,1. diesel,2. sweet,3. cheese,66.0,n,n,n,n,n,n,n
hybrid,more cowbell, creative, euphoric, happy, relaxed, uplifted , inflammation, pain, stress ,,, dry eyes ,,,,,1. berry,2. nutty,3. spicy/herbal,1.0,gsc,hash plant,n,n,n,n,n
hybrid,morning glory, creative, uplifted, happy, talkative, euphoric , stress, fatigue, pain, depression, headaches , dry eyes, dry mouth, dizzy ,,,1. citrus,2. mango,3. nutty,14.0,afghani,hawaiian,skunk no 1,n,n,n,n
hybrid,morning star, uplifted, euphoric, energetic, focused, talkative , headaches, eye pressure, stress, nausea, fatigue , dry mouth, dizzy, headache, dry eyes, paranoid ,1. citrus,2. pine,3. lime,27.0,n,n,n,n,n,n,n
indica,mossad, euphoric, focused, relaxed ,,,,,,,, anxious, headache, paranoid ,,,1. earthy,2. lemon,3. sweet,4.0,conspiracy kush,kosher kush,n,n,n,n,n
indica,mossimo og, happy, relaxed, euphoric, creative, energetic , depression, pain, nausea, stress, lack of appetite , dry mouth ,,,,,1. honey,2. mint,3. lemon,,n,n,n,n,n,n,n
indica,motavation, relaxed, creative, euphoric, focused, happy , pain, headaches, insomnia, fatigue, stress , dry mouth, dizzy, dry eyes, anxious, paranoid ,1. pungent,2. flowery,3. sweet,,sensi star,warlock,n,n,n,n,n
indica,mother of all cherries, happy, relaxed, creative, euphoric, focused , insomnia, stress, depression ,,, dry mouth ,,,,,1. berry,2. blueberry,3. grapefruit,2.0,mother of berries,cherry pie,n,n,n,n,n
indica,mother of berries, relaxed, hungry, sleepy, happy, creative , stress, pain, insomnia, muscle spasms, lack of appetite , dry mouth, anxious, paranoid, headache, dry eyes ,1. berry,2. sweet,3. blueberry,154.0,blueberry,n,n,n,n,n,n
sativa,mother tongue, euphoric, energetic, happy, uplifted, creative , fatigue, stress, lack of appetite, pain, inflammation , anxious, dry mouth, dry eyes, dizzy, paranoid ,1. pungent,2. sweet,3. earthy,28.0,afgooey,n,n,n,n,n,n
sativa,mother tongue,euphoric,energetic,happy,uplifted,creative,fatigue,stress,lack of appetite,pain,inflammation,anxious,dry mouth,dry eyes,dizzy,paranoid,1. pungent,2. sweet,3. earthy,28,afgooey,watermelon og,jog kush,n,n,n,n
sativa,mothers finest, uplifted, energetic, happy, relaxed, hungry , pain, depression, inflammation, lack of appetite, insomnia , dry mouth, dizzy, anxious, headache, paranoid ,1. earthy,2. lemon,3. pine,,jack herer,n,n,n,n,n,n
hybrid,mothers helper, focused, energetic, happy, creative, talkative , pain, fatigue, stress, depression, headaches , dry mouth, dry eyes, anxious, headache ,,1. earthy,2. sweet,3. citrus,109,chocolope,northern lights 5,n,n,n,n,n
hybrid,mothers milk, euphoric, happy, uplifted, relaxed, creative , pain, stress, headaches, insomnia, muscle spasms , dry eyes, dry mouth, anxious, dizzy, paranoid ,1. cheese,2. earthy,3. sweet,48.0,appalachia,n,n,n,n,n,n
hybrid,motorbreath, euphoric, relaxed, happy, uplifted, creative , stress, depression, pain, inflammation, lack of appetite , anxious, dry eyes ,,,,1. diesel,2. pungent,3. citrus,25.0,chemdog,sfv og,n,n,n,n,n
hybrid,mountain girl, happy, relaxed, uplifted, tingly, focused , depression, stress, fatigue, pain, inflammation , dry eyes, dizzy, dry mouth ,,,1. earthy,2. sage,3. pungent,11.0,willys wonder,granddaddy purple,white widow,n,n,n,n
hybrid,mountain girl x grape ape, creative, energetic, hungry, relaxed, tingly , stress, depression, fatigue, headaches, inflammation , anxious, dizzy, dry mouth, paranoid ,,,,,,mountain girl,grape ape,n,n,n,n,n
sativa,mountain thunder, energetic, focused, happy, creative, aroused ,,,,,,,,,,,1. earthy,2. pepper,3. woody,6.0,sour bubble,mad cow,n,n,n,n,n
hybrid,mozambique poison, creative, focused, uplifted, aroused, energetic , fatigue, headaches, stress ,,,,,,,,1. earthy,2. pine,3. sweet,3.0,n,n,n,n,n,n,n
indica,mr nice, relaxed, happy, uplifted, euphoric, sleepy , stress, pain, depression, insomnia, headaches , dry mouth, dry eyes, dizzy, headache, anxious ,1. earthy,2. pungent,3. spicy/herbal,780.0,g13,hash plant,n,n,n,n,n
hybrid,mr tusk, happy, euphoric, tingly, relaxed, talkative , depression, headaches, insomnia, lack of appetite, pain , dry mouth ,,,,,1. citrus,2. flowery,3. sweet,7.0,n,n,n,n,n,n,n
hybrid,ms universe, euphoric, happy, tingly, uplifted, talkative , cramps, pain, stress, fatigue, depression , dry mouth, paranoid, anxious ,,,1. vanilla,2. pineapple,3. sweet,14.0,space queen,n,n,n,n,n,n
indica,mt cook, euphoric, focused, happy, relaxed, aroused , depression, headaches, inflammation, lack of appetite, muscle spasms ,,,,,,1. ammonia,2. citrus,3. diesel,4.0,northern lights,afghani,hash plant,n,n,n,n
hybrid,mt hood magic, relaxed, happy, euphoric, tingly, focused , stress, depression, pain, insomnia, nausea , dry mouth, dry eyes, dizzy, paranoid ,,1. flowery,2. earthy,3. sage,72.0,northern lights 5,durban poison,n,n,n,n,n
hybrid,mt rainier, happy, relaxed, tingly, aroused, energetic , stress, lack of appetite, depression, fatigue, pain , dry mouth, dry eyes, paranoid ,,,1. earthy,2. woody,3. skunk,15.0,northern lights 5,white lotus,n,n,n,n,n
indica,mud bite, relaxed, giggly, happy, hungry, sleepy , fatigue, depression, insomnia, nausea, seizures , dry eyes, dry mouth ,,,,1. mint,2. apple,3. blue cheese,6.0,n,n,n,n,n,n,n
indica,murkle, euphoric, happy, hungry, relaxed, sleepy , depression, inflammation, insomnia, pain, stress , dry mouth, dizzy, dry eyes, paranoid ,,1. earthy,2. pungent,3. skunk,,m-39,purple urkle,n,n,n,n,n
hybrid,mystery 98, relaxed, happy, uplifted, energetic, euphoric , stress, inflammation, lack of appetite, insomnia, depression , dry eyes, dizzy, dry mouth ,,,1. earthy,2. berry,3. citrus,7.0,pre-98 bubba kush,n,n,n,n,n,n
hybrid,mystery jazz, happy, creative, uplifted, euphoric, focused , depression, pain, stress, fatigue, muscle spasms ,,,,,,1. diesel,2. pungent,3. sweet,3.0,n,n,n,n,n,n,n
hybrid,nanas fix, relaxed, happy, euphoric, focused, giggly , insomnia, cramps, fatigue, headaches, inflammation , dizzy, dry eyes, dry mouth ,,,1. flowery,2. diesel,3. tea,6,grandma’s sugar cookies,n,n,n,n,n,n
sativa,narnia, euphoric, happy, creative, aroused, uplifted , depression, stress, lack of appetite, insomnia, fatigue , dry mouth, paranoid, dry eyes, dizzy, anxious ,1. citrus,2. sweet,3. pine,60.0,jack herer,trainwreck,n,n,n,n,n
hybrid,nebula, euphoric, happy, uplifted, focused, relaxed , depression, stress, fatigue, pain, headaches , dry mouth, dry eyes, paranoid, dizzy, headache ,1. sweet,2. honey,3. chemical,268.0,n,n,n,n,n,n,n
hybrid,nebula ii cbd, focused, happy, euphoric, relaxed, uplifted , stress, pain, inflammation, depression, muscle spasms , headache, dry eyes, anxious, dry mouth ,,1. woody,2. earthy,3. sweet,29.0,nebula,n,n,n,n,n,n
sativa,nectarine lips, relaxed, happy, creative, euphoric, focused , stress, depression, lack of appetite ,,, dry mouth ,,,,,1. orange,2. citrus,3. mango,,n,n,n,n,n,n,n
indica,negra 44, creative, relaxed, sleepy, energetic, hungry , headaches, lack of appetite, insomnia, muscle spasms, pain , paranoid ,,,,,1. sweet,2. earthy,3. citrus,6.0,african,n,n,n,n,n,n
hybrid,neil haze, creative, euphoric, happy, talkative, energetic , depression, insomnia, stress ,,,,,,,,1. tropical,2. earthy,3. pungent,1.0,northern lights 5,haze,n,n,n,n,n
sativa,nepalese, happy, uplifted, energetic, relaxed, euphoric , depression, pain, insomnia, headaches, muscle spasms , dry mouth, dry eyes, dizzy, anxious, headache ,1. earthy,2. flowery,3. citrus,47.0,n,n,n,n,n,n,n
hybrid,nepalese jam, creative, relaxed, uplifted, focused, giggly ,,,,,, dry eyes ,,,,,1. earthy,2. pine,3. tropical,6.0,nepalese,jamaican,n,n,n,n,n
indica,neptune kush, relaxed, uplifted, euphoric, creative, happy , stress, depression, insomnia, pain, lack of appetite , dry mouth, headache, dry eyes, anxious, dizzy ,1. honey,2. sweet,3. apple,,n,n,n,n,n,n,n
indica,neptune og, euphoric, relaxed, sleepy, focused, happy , pain, insomnia, stress, nausea, muscle spasms , dry mouth, paranoid, dizzy, anxious, dry eyes ,1. berry,2. pungent,3. earthy,40.0,n,n,n,n,n,n,n
sativa,nevilles haze, creative, uplifted, energetic, euphoric, aroused , depression, fatigue, inflammation, pain, stress , dry eyes, dry mouth, anxious, dizzy, paranoid ,1. citrus,2. sweet,3. diesel,95.0,northern lights 5,haze,n,n,n,n,n
sativa,nevils wreck, energetic, tingly, giggly, talkative, hungry , inflammation, muscle spasms, nausea, pain, stress , dry mouth, headache, dry eyes, paranoid, anxious ,1. earthy,2. pine,3. sage,12.0,trainwreck,nevilles haze,n,n,n,n,n
hybrid,new glue, relaxed, happy, euphoric, tingly, uplifted , pain, headaches, depression, stress, insomnia , dry mouth, dry eyes, dizzy, paranoid, headache ,1. diesel,2. earthy,3. flowery,117.0,chems sister,chocolate diesel,sour dubble,n,n,n,n
indica,nice cherry, relaxed, happy, hungry, sleepy, talkative , depression, insomnia, lack of appetite, stress, headaches , dry eyes, dry mouth, headache ,,,1. berry,2. pine,3. pungent,14.0,mr nice,n,n,n,n,n,n
indica,nicole kush, relaxed, euphoric, happy, sleepy, uplifted , depression, insomnia, stress, fatigue, headaches , dry mouth, dry eyes ,,,,1. pungent,2. earthy,3. sweet,20.0,kosher kush,n,n,n,n,n,n
indica,night nurse, relaxed, sleepy, happy, euphoric, hungry , insomnia, pain, inflammation, stress, depression , dry mouth, dry eyes, dizzy, paranoid, anxious ,1. sage,2. spicy/herbal,3. sweet,64.0,hash plant,harmony,fire og,n,n,n,n
indica,night terror og, relaxed, sleepy, euphoric, happy, uplifted , stress, insomnia, pain, depression, nausea , dry mouth, dry eyes, paranoid, dizzy, anxious ,1. grape,2. pine,3. sweet,107.0,blue dream,rare darkness,n,n,n,n,n
indica,night train, euphoric, sleepy, relaxed, tingly, focused , insomnia, pain, muscle spasms, headaches, stress ,,,,,,1. pungent,2. woody,3. nutty,12.0,trainwreck,n,n,n,n,n,n
sativa,nightfire og, happy, euphoric, relaxed, energetic, focused , stress, depression, nausea, eye pressure, fatigue , dry mouth, dry eyes, anxious ,,,1. sweet,2. lemon,3. pungent,32.0,white fire og,white nightmare,n,n,n,n,n
hybrid,nightmare cookies, relaxed, euphoric, happy, sleepy, hungry , insomnia, stress, eye pressure, headaches, depression , dizzy, dry mouth, paranoid, anxious, dry eyes ,1. citrus,2. sweet,3. earthy,50.0,white nightmare,girl scout cookies,n,n,n,n,n
hybrid,nightmare og, happy, relaxed, talkative, focused, uplifted , eye pressure, fatigue, lack of appetite ,,, dry mouth, dizzy ,,,,1. blueberry,2. berry,3. citrus,4.0,n,n,n,n,n,n,n
sativa,nina limone, happy, energetic, uplifted, euphoric, creative , depression, stress, pain, cramps, muscle spasms , anxious, dry mouth ,,,,1. lemon,2. lime,3. pineapple,9.0,super lemon haze,rebel god smoke,n,n,n,n,n
hybrid,ninja fruit, happy, energetic, uplifted, relaxed, hungry , depression, stress, lack of appetite, nausea, headaches , dry mouth, dry eyes ,,,,1. sweet,2. grape,3. pine,37.0,grapefruit haze,grape ape,n,n,n,n,n
sativa,nl5 haze mist, euphoric, relaxed, uplifted, creative, energetic , stress, depression, headaches, insomnia, lack of appetite , dry eyes, dry mouth ,,,,1. berry,2. nutty,3. woody,9.0,northern lights 5,haze,kali mist,n,n,n,n
hybrid,nor cal purps, creative, focused, hungry, relaxed, tingly , stress ,,,,,,,,,,1. woody,,,,granddaddy purple,grape ape,n,n,n,n,n
indica,nordle, relaxed, talkative, uplifted, focused, sleepy , stress, insomnia, cramps, fatigue, pain , dizzy, dry mouth, dry eyes, anxious, paranoid ,1. earthy,2. sweet,3. pine,73.0,afghani,skunk no 1,n,n,n,n,n
sativa,north american sativa, happy, uplifted, focused, euphoric, energetic , cramps, depression, eye pressure, fatigue, headaches , anxious, dizzy, dry eyes, headache ,,1. pine,2. ammonia,3. earthy,8.0,n,n,n,n,n,n,n
indica,north indian, happy, uplifted, hungry, euphoric, focused , nausea, stress, depression, headaches, insomnia , dry eyes, dry mouth, dizzy ,,,1. earthy,2. tropical,3. woody,4.0,n,n,n,n,n,n,n
indica,northern berry, relaxed, sleepy, happy, euphoric, tingly , insomnia, pain, inflammation, muscle spasms, stress , dry mouth, dry eyes, dizzy, headache, paranoid ,1. berry,2. sweet,3. earthy,54,northern lights 5,blueberry,n,n,n,n,n
hybrid,northern cross, creative, energetic, euphoric, focused, happy , lack of appetite ,,,,, anxious ,,,,,1. flowery,2. sweet,3. tea,,chernobyl,permafrost,n,n,n,n,n
indica,northern lights, relaxed, happy, sleepy, euphoric, hungry , stress, pain, insomnia, depression, headaches , dry mouth, dry eyes, dizzy, paranoid, headache ,1. earthy,2. sweet,3. pine,2914.0,afghani,thai,n,n,n,n,n
indica,northern lights 5,happy,euphoric,giggly,talkative,aroused,stress,depression,pain,insomnia,muscle spasms,dry mouth,anxious,paranoid,dry eyes,headache,1. earthy,2. pine,3. flowery,179,afghani,n,n,n,n,n,n
sativa,northern lights 5 x haze, happy, uplifted, energetic, euphoric, relaxed , stress, insomnia, depression, fatigue, lack of appetite , dry mouth, dry eyes, dizzy, anxious ,,1. earthy,2. spicy/herbal,3. pungent,40.0,northern lights 5,haze,n,n,n,n,n
hybrid,northern skunk, happy, relaxed, euphoric, uplifted, tingly , stress, pain, inflammation, insomnia, nausea , dry mouth, dry eyes, anxious, paranoid ,,1. skunk,2. pepper,3. earthy,50.0,northern lights,super skunk,n,n,n,n,n
indica,northern wreck, euphoric, happy, uplifted, hungry, giggly , stress, pain, depression, headaches, insomnia , dry mouth, dry eyes, dizzy, anxious, paranoid ,1. earthy,2. sweet,3. flowery,80.0,northern lights,trainwreck,n,n,n,n,n
hybrid,northwest pineapple, euphoric, happy, relaxed, uplifted ,, inflammation, lack of appetite, stress ,,,,,,,,1. pineapple,2. sweet,,,oregon pineapple,northern lights,n,n,n,n,n
indica,nova, relaxed, euphoric, uplifted, happy, creative , depression, inflammation, cramps, nausea, spasticity , dry mouth ,,,,,1. pine,2. citrus,3. woody,,jack the ripper,harlequin,n,n,n,n,n
hybrid,nuclear cookies, happy, relaxed, uplifted, creative, tingly , stress, depression, pain, headaches, nausea , anxious, dry mouth, dry eyes ,,,1. earthy,2. citrus,3. pungent,20.0,chernobyl,girl scout cookies,n,n,n,n,n
indica,nuggetry og, euphoric, creative, giggly, happy, sleepy , insomnia, pain, stress, nausea, depression , dry mouth, dry eyes, dizzy, headache, paranoid ,1. earthy,2. pungent,,,n,n,n,n,n,n,n
hybrid,nukeheads, hungry, giggly, happy, creative, talkative , insomnia, headaches, muscle spasms, depression, lack of appetite , dry mouth, headache, dizzy, anxious, paranoid ,1. earthy,2. woody,3. citrus,9.0,n,n,n,n,n,n,n
indica,nuken, relaxed, euphoric, uplifted, happy, tingly , pain, stress, fatigue, muscle spasms, insomnia , dry mouth, dizzy, dry eyes, anxious, headache ,1. earthy,2. woody,3. flowery,206.0,shishkaberry,god bud,n,n,n,n,n
sativa,nurse jackie, happy, uplifted, relaxed, focused, creative , stress, depression, muscle spasms, eye pressure, fatigue , dry mouth, headache, dizzy ,,,1. earthy,2. lemon,3. woody,38.0,jack the ripper,n,n,n,n,n,n
hybrid,ny cheese, happy, creative, energetic, euphoric, uplifted , depression, fatigue, headaches, inflammation, eye pressure , dry mouth, dry eyes ,,,,1. earthy,2. pine,3. cheese,17.0,cheese,nyc diesel,n,n,n,n,n
hybrid,nyc diesel, uplifted, happy, euphoric, relaxed, energetic , stress, depression, pain, lack of appetite, nausea , dry mouth, dry eyes, headache, anxious, paranoid ,1. diesel,2. earthy,3. pungent,878.0,afghani,mexican,n,n,n,n,n
sativa,nypd, uplifted, happy, giggly, talkative, tingly , stress, depression, pain, fatigue, inflammation , dry mouth, dizzy, dry eyes, anxious, headache ,1. diesel,2. pungent,3. woody,56.0,aurora indica,mexican,n,n,n,n,n
indica,obama kush, relaxed, happy, euphoric, uplifted, sleepy , stress, pain, depression, insomnia, inflammation , dry mouth, dry eyes, dizzy, paranoid, headache ,1. earthy,2. sweet,3. grape,663.0,afghani,og kush,n,n,n,n,n
indica,oca gold, relaxed, sleepy, tingly, euphoric, happy , stress, insomnia, pain, depression, fatigue ,,,,,,1. earthy,2. flowery,3. spicy/herbal,,afghani,hindu kush,n,n,n,n,n
sativa,ocd, creative, energetic, aroused, euphoric, uplifted , nausea, pain, fatigue, stress, depression , dry mouth, paranoid, dry eyes, anxious, dizzy ,1. tar,,,,n,n,n,n,n,n,n
sativa,ocean view, uplifted, relaxed, happy, euphoric, sleepy , pain, stress, depression, insomnia, nausea , dry eyes, dry mouth, anxious ,,,1. sage,2. berry,3. earthy,17.0,n,n,n,n,n,n,n
hybrid,odyssey, focused, energetic, relaxed, sleepy, euphoric , pain, headaches, depression, nausea, stress , dry eyes, dry mouth, headache, paranoid ,,1. orange,2. sweet,3. pine,,n,n,n,n,n,n,n
indica,og 1 kenobi, relaxed, sleepy, euphoric, hungry, happy , insomnia, stress, depression, inflammation, lack of appetite , dry mouth, dry eyes, dizzy, headache, paranoid ,1. tropical,2. citrus,3. grape,16.0,n,n,n,n,n,n,n
hybrid,og 18, relaxed, euphoric, happy, uplifted, sleepy , pain, stress, depression, inflammation, muscle spasms , dry mouth, dry eyes, dizzy, anxious, headache ,1. earthy,2. diesel,3. pungent,359.0,og kush,n,n,n,n,n,n
hybrid,og cheese, uplifted, euphoric, creative, hungry, talkative , stress, pain, insomnia, depression, lack of appetite , dry mouth, dry eyes, dizzy, headache, paranoid ,1. cheese,2. earthy,3. pungent,91.0,afghani,n,n,n,n,n,n
hybrid,og chem, euphoric, happy, uplifted, creative, energetic , depression, stress, pain, fatigue, inflammation , paranoid, anxious, dry mouth, dry eyes, headache ,1. pine,2. chemical,3. diesel,145.0,chemdawg,og kush,n,n,n,n,n
hybrid,og diesel kush, happy, energetic, relaxed, creative, uplifted , stress, pain, insomnia, depression, nausea , dry mouth, dry eyes, dizzy, paranoid, headache ,1. strawberry,2. diesel,3. skunk,97.0,n,n,n,n,n,n,n
indica,og eddy lepp, happy, hungry, euphoric, focused, giggly ,,,,,, anxious, paranoid, dry mouth ,,,1. tropical,,,3.0,n,n,n,n,n,n,n
hybrid,og glue sniffer, euphoric, giggly, happy, creative, energetic , stress, depression, inflammation, muscle spasms, pain , dry eyes, dry mouth ,,,,1. diesel,2. sweet,3. pungent,11.0,gorilla glue 4,n,n,n,n,n,n
hybrid,og kush, relaxed, happy, euphoric, uplifted, hungry , stress, depression, pain, insomnia, fatigue , dry mouth, dry eyes, dizzy, paranoid, anxious ,1. earthy,2. woody,3. pine,5075.0,hindu kush,n,n,n,n,n,n
indica,og la affie, relaxed, happy, sleepy, uplifted, focused , pain, inflammation, cramps, stress, insomnia , dry mouth, dry eyes, anxious, dizzy, headache ,1. sweet,2. earthy,3. coffee,30.0,afghani,n,n,n,n,n,n
hybrid,og lime killer, happy, uplifted, creative, energetic ,, pain, stress ,,,,,,,,,1. lime,,,4.0,lemon og haze,n,n,n,n,n,n
indica,og los angeles kush, relaxed, hungry, happy, sleepy, euphoric , fatigue, pain, cramps, depression, insomnia , dry eyes ,,,,,1. earthy,2. citrus,3. pungent,17.0,king louis xiii,n,n,n,n,n,n
hybrid,og poison, relaxed, euphoric, happy, tingly, sleepy , stress, insomnia, pain, depression, nausea , dry mouth, dry eyes, dizzy, headache, paranoid ,1. earthy,2. sweet,3. pine,40.0,og kush,n,n,n,n,n,n
hybrid,og purple fire thai, creative, energetic, focused, happy, uplifted ,,,,,,,,,,,,,,2.0,fire og,purple thai,nevilles haze,n,n,n,n
hybrid,og ringo, relaxed, euphoric, focused, creative, energetic , stress, pain, depression, lack of appetite, inflammation , dry mouth, dizzy, dry eyes, headache ,,1. pine,2. earthy,3. sweet,21.0,n,n,n,n,n,n,n
hybrid,og shark, relaxed, happy, uplifted, euphoric, sleepy , stress, pain, fatigue, depression, insomnia , dry eyes, dry mouth, dizzy, paranoid, anxious ,1. earthy,2. woody,3. spicy/herbal,136.0,n,n,n,n,n,n,n
hybrid,og skunk, uplifted, happy, relaxed, euphoric, creative , stress, pain, lack of appetite, fatigue, insomnia , dry mouth, dry eyes, anxious, headache, dizzy ,1. skunk,2. pungent,3. diesel,48.0,og 18,skunk no 1,n,n,n,n,n
hybrid,og sour diesel, sleepy, happy, relaxed, hungry, talkative , eye pressure, pain, stress, lack of appetite, nausea , dry mouth, dry eyes ,,,,1. pine,2. diesel,3. pungent,11.0,sour og,east coast sour diesel,n,n,n,n,n
hybrid,og strawberry, relaxed, happy, creative, euphoric, focused , stress, pain, depression, muscle spasms, fatigue , dry mouth, dizzy, dry eyes ,,,1. sweet,2. strawberry,3. berry,28.0,og kush,afghani,n,n,n,n,n
hybrid,og tonic, aroused, energetic, euphoric, happy ,, depression, fatigue, headaches, insomnia, nausea , dry mouth ,,,,,1. earthy,2. pungent,3. woody,,n,n,n,n,n,n,n
hybrid,og wreck, happy, euphoric, uplifted, energetic, hungry , stress, pain, depression, fatigue, insomnia , dry mouth, dry eyes, headache, paranoid, anxious ,1. sweet,2. skunk,3. earthy,55.0,og kush,trainwreck,n,n,n,n,n
hybrid,ogiesel, happy, creative, focused, euphoric, uplifted , stress, depression, pain, lack of appetite, insomnia , dry mouth, dry eyes, dizzy, headache, paranoid ,1. diesel,2. pungent,3. citrus,69.0,sfv og kush,n,n,n,n,n,n
hybrid,ogkb, relaxed, happy, euphoric, tingly, hungry , pain, inflammation, stress, depression, insomnia , dry mouth, dry eyes, dizzy, anxious, headache ,1. earthy,2. pine,3. diesel,20.0,gsc,n,n,n,n,n,n
hybrid,ogkz, happy, energetic, euphoric, focused, relaxed ,,,,,,,,,,,1. grape,2. sweet,3. berry,2.0,zkittlez,ogkb,n,n,n,n,n
hybrid,ogre, relaxed, euphoric, focused, uplifted, happy , stress, depression, nausea, insomnia, pain , dry mouth, dry eyes, anxious, paranoid, headache ,1. citrus,2. skunk,3. tea,305.0,sensi star,n,n,n,n,n,n
indica,ogre berry, happy, euphoric, tingly, giggly, focused , stress, depression, pain, eye pressure, fatigue , dry mouth, dry eyes, dizzy, paranoid ,,1. sweet,2. mint,3. cheese,14.0,ogre,afghani,n,n,n,n,n
indica,ogs pearl, relaxed, happy, sleepy, euphoric, hungry , pain, stress, insomnia, depression, inflammation , dry mouth, anxious, dizzy, dry eyes, headache ,1. earthy,2. pungent,3. sweet,25.0,n,n,n,n,n,n,n
hybrid,ol betsy, energetic, euphoric, focused, hungry, relaxed , lack of appetite, stress ,,,,,,,,,1. pungent,2. skunk,3. sweet,1.0,n,n,n,n,n,n,n
hybrid,old lyme connecticut og, energetic, happy, euphoric, focused, hungry , fatigue, nausea, pain, stress ,, dry mouth ,,,,,1. pine,2. pungent,3. tree fruit,,n,n,n,n,n,n,n
sativa,old mother sativa, happy, energetic, focused, giggly, creative ,,,,,,,,,,,1. pine,2. tree fruit,3. tropical,4.0,n,n,n,n,n,n,n
hybrid,old school og, relaxed, sleepy, happy, tingly, euphoric , depression, insomnia, stress, headaches, muscle spasms , dry eyes, paranoid, dry mouth ,,,1. pungent,2. skunk,3. earthy,12.0,n,n,n,n,n,n,n
hybrid,old toby, creative, happy, energetic, euphoric, relaxed , stress, cramps, fatigue, pain, depression , dry eyes, dry mouth ,,,,1. lime,2. pine,3. chemical,10.0,n,n,n,n,n,n,n
hybrid,omega, happy, relaxed, uplifted, euphoric, energetic , depression, pain, stress, inflammation, headaches , dry mouth, anxious, dizzy, dry eyes, headache ,1. earthy,2. pine,3. spicy/herbal,31.0,white widow,afghani,nyc diesel,permafrost,n,n,n
hybrid,omega dawg, uplifted, relaxed, euphoric, aroused, happy , pain, stress, headaches, depression, fatigue , dizzy, dry eyes, dry mouth, headache ,,1. skunk,2. diesel,3. pine,24.0,chemdawg,space queen,n,n,n,n,n
hybrid,one to one, focused, relaxed, uplifted, energetic, creative , stress, insomnia, fatigue, pain, depression , dry mouth ,,,,,1. woody,2. earthy,3. lemon,18.0,amnesia haze,n,n,n,n,n,n
indica,opal og kush, relaxed, euphoric, aroused, happy, sleepy , stress, insomnia, muscle spasms, depression, eye pressure , dry mouth, paranoid, dizzy ,,,1. earthy,2. pine,3. sweet,18.0,n,n,n,n,n,n,n
hybrid,opium, euphoric, energetic, relaxed, happy, uplifted , depression, pain, insomnia, stress, eye pressure , dizzy, dry mouth, anxious, dry eyes ,,1. earthy,2. sweet,3. pungent,13.0,n,n,n,n,n,n,n
hybrid,or, hungry, relaxed, happy, euphoric, giggly , pain, stress, cramps, insomnia, depression , dry mouth, headache ,,,,1. earthy,2. flowery,3. berry,20.0,n,n,n,n,n,n,n
indica,orange afghani, relaxed, hungry, creative, sleepy, euphoric , pain, stress, insomnia, lack of appetite, inflammation ,,,,,,1. orange,2. citrus,3. earthy,,lashkar gah,n,n,n,n,n,n
hybrid,orange blossom, relaxed, happy, talkative, hungry, uplifted , nausea, headaches, stress, depression, inflammation , dry mouth, anxious, dry eyes, paranoid, headache ,1. orange,2. citrus,3. sweet,20.0,orange bud,og kush,n,n,n,n,n
hybrid,orange bud, happy, energetic, focused, relaxed, euphoric , stress, depression, fatigue, pain, nausea , dry mouth, dry eyes, paranoid, dizzy, headache ,1. orange,2. sweet,3. citrus,237.0,skunk 1,n,n,n,n,n,n
hybrid,orange bud, happy, energetic, focused, relaxed, euphoric , stress, depression, fatigue, pain, nausea , dry mouth, dry eyes, paranoid, dizzy, headache ,1. orange,2. sweet,3. citrus,,skunk 1,n,n,n,n,n,n
hybrid,orange cream, relaxed, euphoric, happy, sleepy, uplifted , depression, insomnia, nausea, pain, stress , dry eyes, dry mouth ,,,,1. citrus,2. flowery,3. orange,3.0,cookies and cream,n,n,n,n,n,n
hybrid,orange creamsicle, happy, relaxed, energetic, uplifted, talkative , stress, depression, pain, nausea, fatigue , paranoid, dizzy, headache, dry mouth, dry eyes ,1. orange,2. citrus,3. vanilla,81.0,orange crush,juicy fruit,n,n,n,n,n
