,strain,review_total
485,blueberry hashplant,2.0
486,blueberry haze,304.0
487,blueberry headband,394.0
488,blueberry jack,62.0
489,blueberry kush,969.0
490,blueberry lambsbread,16.0
491,blueberry muffins,116.0
492,blueberry og,52.0
493,blueberry pancakes,42.0
494,blueberry pie,69.0
495,blueberry silvertip,59.0
496,blueberry skunk,113.0
497,blueberry space cake,46.0
498,blue train,68.0
499,blueberry triple og,4.0
500,blueberry waltz,7.0
501,blueberry yum yum,115.0
502,blues,35.0
503,blukashima,
504,bluniverse,19.0
505,blurple,37.0
506,blush,
507,bob saget,16.0
508,bodega bubblegum,2.0
509,bog blue kush,1.0
510,bog sour grape,1.0
511,bogart,
512,bluniverse,19.0
513,blurple,37.0
514,blush,
515,bob saget,16.0
516,bodega bubblegum,2.0
517,bog blue kush,1.0
518,bog sour grape,1.0
519,bogart,
520,boggle gum,24.0
521,bogglegum,
522,bona dea,2.0
523,bonkers,1.0
524,booger,47.0
525,boombaye,2.0
526,bootlegger,5.0
527,bootylicious,7.0
528,bordello,84.0
529,boss hogg,65.0
530,boss og,55.0
531,boysenberry,22.0
532,brain candy,2.0
533,brains damage,21.0
534,brainstorm haze,44.0
535,brainwreck,15.0
536,brand x,63.0
537,brandywine,26.0
538,brazil amazonia,7.0
539,brian berry black currant,
540,brian berry citrus blend,1.0
541,brian berry cough,35.0
542,brian berry honey lemon,
543,bright fire,
544,bright moments,5.0
545,broke diesel,
546,bronze whaler,
547,brooklyn mango,
548,bruce banner,1061.0
549,bruce banner 3,306.0
550,bubba berry,11.0
551,bubba cheese auto,1.0
552,bubba doja,6.0
553,bubba fresh,1.0
554,bubba hash,
555,bubba kush,3197.0
556,bubba kush 20,2.0
557,bubba og,292.0
558,bubba tom hayes,
559,bubba x skunk,6.0
560,bubbas bitch,3.0
561,bubbas gift,65.0
562,bubble bomb,2.0
563,bubble cheese,20.0
564,bubble gum,1015.0
565,bubbleberry,164.0
566,bubblegum kush,342.0
567,bubblegun,25.0
568,bubbas bitch,3.0
569,bubbas gift,65.0
570,bubble bomb,2.0
571,bubble cheese,20.0
572,bubble gum,1015.0
573,bubbleberry,164.0
574,bubblegum kush,342.0
575,bubblegun,25.0
576,bubblicious,64.0
577,buckeye purple,23.0
578,buddha haze,38.0
579,buddha tahoe,100.0
580,buddhas hand,17.0
581,buddhas sister,147.0
582,buddhas tooth,1.0
583,buffalo bill,
584,bugatti og,48.0
585,burkle,47.0
586,burmese kush,162.0
587,burnt cookies,4.0
588,butter og,27.0
589,butterscotch,23.0
590,buzz bomb,
591,c13 haze,15.0
592,c3,2.0
593,c3po,18.0
594,c4,91.0
595,cbd blue shark,22.0
596,cbd critical cure,118.0
597,cbd critical mass,49.0
598,cbd kush,51.0
599,cbd lilly,6.0
600,cbd lilly,
601,cbd og,5.0
602,cbd ox,4.0
603,cbd rich blessing,1.0
604,cbd shark,92.0
605,chr super og,12.0
606,csg,3.0
607,cabbage patch,22.0
608,caboose,
609,cackleberry,11.0
610,cactus,107.0
611,cactus cooler,18.0
612,cadillac cookies,4.0
613,cadillac purple,144.0
614,cali dragon,5.0
615,cali gold,62.0
616,cali jack,8.0
617,cali kush,227.0
618,california grapefruit,13.0
619,california hash plant,9.0
620,california limes,2.0
621,california love og,7.0
622,california orange,331.0
623,california sour,
624,cali jack,8.0
625,cali kush,227.0
626,california grapefruit,13.0
627,california hash plant,9.0
628,california limes,2.0
629,california love og,7.0
630,california orange,331.0
631,california sour,
632,california sour diesel,2.0
633,calyx og,
634,cambodian,13.0
635,cambodian haze,8.0
636,candy apple,7.0
637,candy cane,48.0
638,candy jack,246.0
639,candyland,954.0
640,candyland,
641,candyland,
642,canna tsu,170.0
643,canna wreck,3.0
644,cannasutra,11.0
645,cannadential,56.0
646,cannalope haze,226.0
647,cannalope kush,140.0
648,cannatonic,786.0
649,capers,
650,capleton,4.0
651,captain america og,22.0
652,captains cake,72.0
653,caramel cake,
654,caramel candy kush,65.0
655,caramel kona coffee cookies,2.0
656,caramel kona coffee kush,8.0
657,caramelicious,72.0
658,caramella,7.0
659,caramelo,26.0
660,carl sagan,28.0
661,carmel cough,1.0
662,carnival,10.0
663,carpet tape,5.0
664,cascadia kush,
665,casey jones,432.0
666,cashus clay,5.0
667,casper og,13.0
668,cat piss,294.0
669,cataract kush,172.0
670,catfish,25.0
671,cello sweet og,
672,central american,
673,cerebro haze,5.0
674,chairman chem sou,5.0
675,champagne diesel,4.0
676,champagne kush,163.0
677,charlie sheen,160.0
678,charlottes web,252.0
679,cheese,1499.0
680,central american,
681,cerebro haze,5.0
682,chairman chem sou,5.0
683,champagne diesel,4.0
684,champagne kush,163.0
685,charlie sheen,160.0
686,charlottes web,252.0
687,cheese,1499.0
688,cheese candy,61.0
689,cheese candy,
690,cheeseburger,10.0
691,cheesewreck,65.0
692,chef kush,2.0
693,chem berry diesel,1.0
694,chem beyond diesel cbd,
695,chem crush,
696,chem dog,27.0
697,chem jack,3.0
698,chem jong ill,3.0
699,chem kesey,
700,chem scout,49.0
701,chem valley kush,85.0
702,chems sister,18.0
703,chemwreck,25.0
704,chemdawg sour diesel,99.0
705,chemdawg,2081.0
706,chemdawg 4 x alien og kush,27.0
707,chemdawg 4,326.0
708,chemdawg 91,170.0
709,chemmy jones,86.0
710,chemnesia,9.0
711,chemo,231.0
712,cherwillie,3.0
713,chernobyl,761.0
714,cherries jubilee,17.0
715,cherry ak 47,267.0
716,cherry bomb,171.0
717,cherry cookies,42.0
718,cherry cream pie,30.0
719,cherry diesel,149.0
720,cherry durban poison,19.0
721,cherry fire,3.0
722,cherry fuel,1.0
723,cherry grapefruit,4.0
724,cherry kola,60.0
725,cherry kush,330.0
726,cherry limeade,44.0
727,cherry mender,4.0
728,cherry og,142.0
729,cherry pie,1734.0
730,cherry pie kush,19.0
731,cherry sauce,2.0
732,cherry sherbet,32.0
733,cherry skunk,70.0
734,cherry slyder,
