,strain,effect_1,effect_2,effect_3,effect_4,effect_5
336,blackberry fire, relaxed, happy, uplifted, euphoric, giggly 
337,blackberry hashplant, euphoric, happy, energetic, uplifted, hungry 
338,blackberry haze, happy, relaxed, uplifted, hungry, energetic 
339,blackberry kush, relaxed, sleepy, happy, euphoric, hungry 
340,blackberry lime haze, happy, euphoric, energetic, giggly, uplifted 
341,blackberry pie, euphoric, relaxed, tingly, sleepy, creative 
342,blackberry rhino, relaxed, happy, uplifted, creative, euphoric 
343,blackberry snow cone, aroused, sleepy, creative, giggly, euphoric 
344,blackberry trainwreck, relaxed, uplifted, euphoric, hungry, happy 
345,blackberry x blueberry, relaxed, happy, sleepy, euphoric, uplifted 
346,blackwater, relaxed, sleepy, happy, euphoric, uplifted 
347,blaze, euphoric, uplifted, talkative, creative, tingly 
348,bleugenius, relaxed, tingly ,,,
349,blissful wizard, relaxed, euphoric, happy, uplifted, focused 
350,blizzard bush, creative, energetic, euphoric, focused, happy 
351,blob og, happy, uplifted, talkative, energetic, euphoric 
352,blockhead, relaxed, sleepy, happy, talkative, euphoric 
353,bloos kloos, energetic, focused, relaxed, happy, uplifted 
354,blood orange kush, relaxed, happy, euphoric, uplifted, sleepy 
355,bloodhound, happy, talkative, uplifted, energetic, relaxed 
356,bloodwalker, relaxed, uplifted, euphoric, happy, creative 
357,blowfish, relaxed, euphoric, uplifted, aroused, giggly 
358,blucifer, happy, uplifted, focused, euphoric, relaxed 
359,blue afghani, relaxed, euphoric, sleepy, uplifted, giggly 
360,blue alien, euphoric, relaxed, happy, giggly, focused 
361,blue bastard, happy, relaxed, euphoric, sleepy, uplifted 
362,blue bayou, giggly, creative, happy, uplifted, talkative 
363,blue blood, relaxed, sleepy, happy, creative, euphoric 
364,blue boy, happy, relaxed, creative, energetic, focused 
365,blue buddha, relaxed, euphoric, happy, creative, sleepy 
366,blue champange, uplifted, euphoric, relaxed, tingly, creative 
367,blue cheese, relaxed, happy, euphoric, sleepy, uplifted 
368,blue cinex, focused, euphoric, uplifted, happy, relaxed 
369,blue bastard, happy, relaxed, euphoric, sleepy, uplifted 
370,blue bayou, giggly, creative, happy, uplifted, talkative 
371,blue blood, relaxed, sleepy, happy, creative, euphoric 
372,blue boy, happy, relaxed, creative, energetic, focused 
373,blue buddha, relaxed, euphoric, happy, creative, sleepy 
374,blue champange, uplifted, euphoric, relaxed, tingly, creative 
375,blue cheese, relaxed, happy, euphoric, sleepy, uplifted 
376,blue cinex, focused, euphoric, uplifted, happy, relaxed 
377,blue cookies, relaxed, happy, euphoric, uplifted, giggly 
378,blue crack, relaxed, focused, euphoric, happy, uplifted 
379,blue diamond, relaxed, euphoric, focused, tingly, energetic 
380,blue diesel, happy, relaxed, uplifted, euphoric, giggly 
381,blue dot, energetic, creative, relaxed, hungry, uplifted 
382,blue dragon, relaxed, euphoric, happy, uplifted, sleepy 
383,blue dream, happy, relaxed, euphoric, uplifted, creative 
384,blue dream cbd, happy, uplifted, energetic, focused, euphoric 
385,blue dynamite, happy, euphoric, relaxed, uplifted, talkative 
386,blue fire, energetic, uplifted, euphoric, focused, creative 
387,blue frost, relaxed, euphoric, tingly, happy, uplifted 
388,blue galaxy, happy, relaxed, giggly, hungry, euphoric 
389,blue god, relaxed, sleepy, euphoric, happy, tingly 
390,blue goo, happy, euphoric, uplifted, relaxed, creative 
391,blue hash, uplifted, relaxed, happy, euphoric, sleepy 
392,blue hawaiian, energetic, euphoric, focused, creative, happy 
393,blue haze, happy, uplifted, relaxed, focused, creative 
394,blue heron, relaxed, happy, euphoric, uplifted, talkative 
395,blue iguana, relaxed, euphoric, happy, uplifted, giggly 
396,blue ivy, euphoric, happy, uplifted, talkative, hungry 
397,blue j, happy, relaxed, tingly, uplifted, euphoric 
398,blue jay way, relaxed, focused, sleepy, uplifted, euphoric 
399,blue kiss, relaxed, euphoric, focused, creative, hungry 
400,blue knight, euphoric, sleepy, relaxed, tingly, happy 
401,blue kripple, sleepy, euphoric, tingly, happy, relaxed 
402,blue kush, relaxed, happy, euphoric, uplifted, energetic 
403,blue lights, relaxed, sleepy, euphoric, happy, uplifted 
404,blue magic, happy, hungry, energetic, focused, creative 
405,blue magoo, relaxed, happy, uplifted, euphoric, energetic 
406,blue monster, happy, hungry, relaxed, giggly, tingly 
407,blue moon rocks, happy, relaxed, giggly, talkative, creative 
408,blue moonshine, relaxed, sleepy, focused, euphoric, happy 
409,blue mountain fire, euphoric, uplifted, tingly, happy, relaxed 
