,strain,effect_1,effect_2,effect_3,effect_4,effect_5
2364,raspberry cough, happy, uplifted, energetic, focused, creative 
2365,raspberry diesel, creative, happy, energetic, euphoric, focused 
2366,raspberry kush, relaxed, euphoric, happy, focused, sleepy 
2367,ramses, energetic, euphoric, focused, happy, relaxed 
2368,rare dankness 1, relaxed, giggly, sleepy, hungry, tingly 
2369,rare darkness, euphoric, relaxed, happy, sleepy, tingly 
2370,raskal og, uplifted, happy, energetic, relaxed, focused 
2371,raspberry cough, happy, uplifted, energetic, focused, creative 
2372,raspberry diesel, creative, happy, energetic, euphoric, focused 
2373,raspberry kush, relaxed, euphoric, happy, focused, sleepy 
2374,raw diesel, relaxed, euphoric, creative, energetic, happy 
2375,ray charles, relaxed, sleepy, euphoric, happy, tingly 
2376,rebel berry og, happy, uplifted, euphoric, relaxed, aroused 
2377,rebel god smoke, uplifted, happy, relaxed, energetic, giggly 
2378,rebel tangie kandy, energetic, euphoric, happy ,,
2379,reclining buddha, happy, relaxed, uplifted, euphoric, giggly 
2380,recon, euphoric, relaxed, happy, uplifted, sleepy 
2381,red cherry berry, euphoric, relaxed, happy, uplifted, tingly 
2382,red congolese, energetic, focused, uplifted, euphoric, creative 
2383,red diesel, happy, relaxed, uplifted, tingly, euphoric 
2384,red dragon, happy, giggly, euphoric, uplifted, talkative 
2385,red dwarf, relaxed, uplifted, focused, sleepy, happy 
2386,red eye og, relaxed, happy, euphoric, giggly, uplifted 
2387,red haze, energetic, happy, uplifted, euphoric, focused 
2388,red headed stranger, energetic, happy, focused, uplifted, euphoric 
2389,red poison, euphoric, happy, relaxed, hungry, uplifted 
2390,red rhino, creative, euphoric, giggly, hungry, uplifted 
2391,red velvet pie, euphoric, happy, giggly, hungry, uplifted 
2392,red widow, happy, giggly, relaxed, sleepy, energetic 
2393,redd cross, relaxed, sleepy, focused, tingly, euphoric 
2394,redding og, euphoric, giggly, happy, hungry, relaxed 
2395,redwood kush, relaxed, happy, sleepy, euphoric, uplifted 
2396,remedy, relaxed, happy, focused, euphoric, talkative 
2397,remo chemo, euphoric, happy, hungry, relaxed, sleepy 
2398,rene, happy, uplifted, relaxed, energetic, aroused 
2399,rene mist, happy, hungry, relaxed, uplifted, aroused 
2400,richie rich, happy, energetic, talkative, euphoric, creative 
2401,riddler og, aroused, creative, focused, giggly, happy 
2402,ridge berry, relaxed, sleepy, aroused, energetic, euphoric 
2403,ringos gift, relaxed, uplifted, happy, focused, sleepy 
2404,rip city purps, relaxed, euphoric, happy, hungry, uplifted 
2405,ripped bubba, happy, relaxed, uplifted, creative, hungry 
2406,rise n shine, happy, energetic, tingly, giggly, talkative 
2407,river song, aroused, energetic, euphoric, hungry, relaxed 
2408,road dawg, happy, relaxed, talkative, uplifted, euphoric 
2409,rob ford kush, relaxed, happy, giggly, sleepy, creative 
2410,robert plant, euphoric, relaxed, creative, hungry, uplifted 
2411,rockbud, relaxed, sleepy, euphoric, hungry, happy 
2412,rocket fuel, relaxed, focused, uplifted, euphoric, happy 
2413,rocklock, relaxed, uplifted, energetic, talkative, happy 
2414,rockstar, relaxed, sleepy, happy, uplifted, euphoric 
2415,rockstar kush, relaxed, happy, sleepy, euphoric, hungry 
2416,rockstar master kush, relaxed, hungry, focused, euphoric, happy 
2417,rocky dennis, relaxed, sleepy, euphoric, happy, uplifted 
2418,rocky mountain blueberry, euphoric, happy, relaxed, uplifted, giggly 
2419,rocky mountain high, euphoric, uplifted, relaxed, creative, focused 
2420,rocket fuel, relaxed, focused, uplifted, euphoric, happy 
2421,rocklock, relaxed, uplifted, energetic, talkative, happy 
2422,rockstar, relaxed, sleepy, happy, uplifted, euphoric 
2423,rockstar kush, relaxed, happy, sleepy, euphoric, hungry 
2424,rockstar master kush, relaxed, hungry, focused, euphoric, happy 
2425,rocky dennis, relaxed, sleepy, euphoric, happy, uplifted 
2426,rocky mountain blueberry, euphoric, happy, relaxed, uplifted, giggly 
2427,rocky mountain high, euphoric, uplifted, relaxed, creative, focused 
2428,rollex og kush, happy, relaxed, hungry, giggly, euphoric 
2429,rolls choice, happy, uplifted, relaxed, euphoric, tingly 
2430,romping goddess, happy, hungry, energetic, euphoric, creative 
2431,romulan, relaxed, sleepy, happy, euphoric, hungry 
2432,romulan grapefruit, relaxed, happy, uplifted, focused, tingly 
2433,romulan haze, relaxed, happy, energetic, uplifted, hungry 
2434,root beer kush, euphoric, relaxed, creative, happy, focused 
2435,rose bud, relaxed, happy, euphoric, creative, uplifted 
2436,royal chemdawg, relaxed, happy, creative, hungry, sleepy 
2437,royal dwarf, happy, relaxed, uplifted, hungry, talkative 
2438,royal haze, happy, creative, uplifted, euphoric, energetic 
2439,royal highness, energetic, happy, relaxed, uplifted, focused 
2440,royal kush, relaxed, euphoric, sleepy, tingly, happy 
2441,royal tree sherbet, relaxed, happy, uplifted ,,
2442,roz, euphoric, uplifted, creative, relaxed, tingly 
2443,rubicon, happy, relaxed, uplifted, giggly, focused 
2444,rudeboi og, relaxed, euphoric, focused, creative, happy 
2445,rug burn og, euphoric, relaxed, sleepy, happy, uplifted 
2446,russian assassin, euphoric, relaxed, aroused, happy, sleepy 
2447,russian doll, focused, talkative, creative, relaxed, euphoric 
2448,russian rocket fuel, happy, relaxed, energetic, euphoric, uplifted 
2449,russian roulette, euphoric, relaxed, sleepy ,,
2450,sage, happy, relaxed, euphoric, uplifted, creative 
2451,sage walker, euphoric, focused, hungry, relaxed, talkative 
2452,sfv dog, euphoric, happy, focused, relaxed, uplifted 
2453,sfv og, relaxed, happy, uplifted, euphoric, energetic 
2454,sfv og kush, relaxed, euphoric, happy, giggly, uplifted 
2455,safety meeting, happy, tingly, relaxed, focused, giggly 
2456,sage n sour, happy, uplifted, energetic, giggly, hungry 
2457,salmon river og, relaxed, euphoric, happy, sleepy, uplifted 
2458,santa maria, happy, energetic, relaxed, uplifted, giggly 
2459,santa sativa, energetic, aroused, euphoric, hungry, happy 
2460,sapphire scout, relaxed, happy, euphoric, uplifted, creative 
2461,sapphire star, happy, hungry, uplifted, focused, euphoric 
2462,sasquatch sap, creative, happy, euphoric, energetic, talkative 
2463,satellite og, euphoric, happy, relaxed, creative, sleepy 
2464,satori, focused, uplifted, creative, happy, energetic 
2465,satsuma, euphoric, happy, relaxed, uplifted, giggly 
2466,saturn og, happy, relaxed, sleepy, euphoric, uplifted 
2467,savage citrus sunshine, sleepy, aroused, creative, energetic, euphoric 
2468,savants grail, aroused, euphoric, focused, giggly, happy 
2469,schrom, happy, uplifted, relaxed, creative, focused 
2470,scooby snack, relaxed, uplifted, euphoric, happy, sleepy 
2471,scotts og, relaxed, sleepy, euphoric, happy, uplifted 
2472,satori, focused, uplifted, creative, happy, energetic 
2473,satsuma, euphoric, happy, relaxed, uplifted, giggly 
2474,saturn og, happy, relaxed, sleepy, euphoric, uplifted 
2475,savage citrus sunshine, sleepy, aroused, creative, energetic, euphoric 
2476,savants grail, aroused, euphoric, focused, giggly, happy 
2477,schrom, happy, uplifted, relaxed, creative, focused 
2478,scooby snack, relaxed, uplifted, euphoric, happy, sleepy 
2479,scotts og, relaxed, sleepy, euphoric, happy, uplifted 
2480,scouts honor, relaxed, happy, euphoric, hungry, sleepy 
2481,scroopy noopers, euphoric, relaxed, hungry, creative, sleepy 
2482,seattle blue, euphoric, uplifted, relaxed, happy, creative 
2483,seattle cough, creative, uplifted, happy, energetic, euphoric 
2484,seattle summer, creative, euphoric, happy, uplifted, energetic 
2485,seattlesoda, euphoric, relaxed, happy, creative, aroused 
2486,secret garden og, euphoric, focused, happy, creative, energetic 
2487,secret recipe, relaxed, creative, happy, uplifted, focused 
2488,sensi skunk, relaxed, euphoric, happy, hungry, focused 
2489,sensi star, relaxed, sleepy, happy, euphoric, uplifted 
2490,sequoia strawberry, uplifted, energetic, happy, focused, relaxed 
2491,serious 6, energetic, focused, relaxed, uplifted, creative 
2492,serious happiness, happy, uplifted, talkative, euphoric, focused 
2493,sexxpot, aroused, happy, relaxed, euphoric, energetic 
2494,shaman, uplifted, relaxed, focused, euphoric, happy 
2495,shangri la, relaxed, euphoric, happy, uplifted, focused 
2496,shark attack, happy, euphoric, focused, hungry, aroused 
2497,shark bite, euphoric, relaxed, focused, uplifted, energetic 
2498,shark shock, relaxed, uplifted, happy, euphoric, focused 
2499,sharks breath, relaxed, happy, talkative, uplifted, focused 
2500,sunset sherbert, relaxed, happy, euphoric, uplifted, creative 
2501,shiatsu kush, relaxed, sleepy, happy, euphoric, creative 
2502,shining silver haze, euphoric, energetic, uplifted, happy, talkative 
2503,shipwreck, happy, euphoric, energetic, uplifted, creative 
2504,shishkaberry, relaxed, happy, euphoric, sleepy, uplifted 
2505,shiskaquine, relaxed, uplifted, focused, happy, hungry 
2506,shiva skunk, relaxed, happy, sleepy, euphoric, uplifted 
2507,shoreline, euphoric, happy, energetic, relaxed, uplifted 
2508,shurman, relaxed, sleepy, focused, happy, uplifted 
2509,sidetracked, creative, focused, happy, relaxed, uplifted 
2510,sierra mist, euphoric, happy, uplifted, energetic, creative 
2511,silver back, uplifted, tingly, euphoric, relaxed, talkative 
2512,silver bubble, happy, relaxed, uplifted, euphoric, talkative 
2513,silver calyx, aroused, energetic, euphoric, focused, relaxed 
2514,silver cindy, aroused, energetic, euphoric, happy, uplifted 
2515,silver haze, happy, relaxed, uplifted, euphoric, talkative 
2516,silver kush, relaxed, happy, euphoric, uplifted, focused 
2517,silver mountain, focused, creative, happy, giggly, euphoric 
2518,silver nina, creative, energetic, focused, happy, aroused 
2519,silver pearl, happy, creative, energetic, relaxed, euphoric 
2520,silver surfer, happy, uplifted, euphoric, energetic, focused 
2521,silver train, happy, energetic, talkative, euphoric, uplifted 
2522,silverback gorilla, relaxed, happy, sleepy, euphoric, focused 
2523,silverfalls kush, relaxed, euphoric, giggly, happy, hungry 
2524,silverhawks og, uplifted, euphoric, happy, tingly, energetic 
2525,silver mountain, focused, creative, happy, giggly, euphoric 
2526,silver nina, creative, energetic, focused, happy, aroused 
2527,silver pearl, happy, creative, energetic, relaxed, euphoric 
2528,silver surfer, happy, uplifted, euphoric, energetic, focused 
2529,silver train, happy, energetic, talkative, euphoric, uplifted 
2530,silverback gorilla, relaxed, happy, sleepy, euphoric, focused 
2531,silverfalls kush, relaxed, euphoric, giggly, happy, hungry 
2532,silverhawks og, uplifted, euphoric, happy, tingly, energetic 
2533,sin city kush, uplifted, hungry, aroused, relaxed, euphoric 
2534,sin valley og, relaxed, happy, euphoric, hungry, creative 
2535,sinmint cookies, relaxed, tingly, happy, euphoric, focused 
2536,sinai, euphoric, relaxed, uplifted, happy, hungry 
2537,sirius black, relaxed, euphoric, uplifted, happy, giggly 
2538,sister glue, relaxed, sleepy, euphoric, happy, hungry 
2539,six shooter, creative, euphoric, focused, happy, relaxed 
2540,sizzurp, relaxed, uplifted, euphoric, focused, creative 
2541,skins skunk, euphoric, happy, relaxed, giggly, hungry 
2542,skunk 47, relaxed, happy, uplifted, euphoric, giggly 
2543,skunk dawg, relaxed, focused, happy, uplifted, energetic 
2544,skunk haze, relaxed, focused, uplifted, happy, energetic 
2545,skunk 1, happy, relaxed, uplifted, euphoric, creative 
2546,skunk plus, relaxed, happy, focused, hungry, aroused 
2547,skunkberry, happy, relaxed, tingly, uplifted, euphoric 
2548,skunky diesel, happy, uplifted, hungry, creative, relaxed 
2549,sky lotus, tingly, euphoric, relaxed, happy, sleepy 
2550,sky master, happy, energetic, euphoric, focused, creative 
2551,skydog, happy, uplifted, relaxed, hungry, sleepy 
2552,skywalker alien, relaxed, happy, focused, euphoric, sleepy 
2553,slazerbeam, relaxed, happy, energetic, uplifted, euphoric 
2554,sleeskunk, euphoric, uplifted, energetic, relaxed, creative 
2555,sleestack, uplifted, happy, euphoric, creative, relaxed 
2556,slice of heaven, creative, focused, happy ,,
2557,slimer og, euphoric, happy, uplifted, aroused, energetic 
2558,smelliot, happy, creative, euphoric, uplifted, focused 
2559,smooth operator, energetic, happy, talkative, uplifted ,
2560,snoop dogg og, happy, euphoric, relaxed, hungry, tingly 
2561,snoop s dream, relaxed, euphoric, happy, giggly, hungry 
2562,snow bud, relaxed, energetic, sleepy, happy, creative 
2563,snow diesel, uplifted, happy, relaxed, euphoric, hungry 
2564,snow goddess, aroused, happy, euphoric, uplifted, talkative 
2565,snow leopard, relaxed, euphoric, happy, uplifted, giggly 
2566,snow lotus, relaxed, euphoric, happy, uplifted, talkative 
2567,snow monster, relaxed, sleepy, happy, giggly, euphoric 
2568,snow mountain, relaxed, sleepy, uplifted, euphoric ,
2569,snow ryder, aroused, relaxed, sleepy, uplifted ,
2570,snow white, relaxed, uplifted, happy, giggly, euphoric 
2571,snowland, relaxed, happy, euphoric, uplifted, hungry 
2572,snowcap, relaxed, happy, creative, uplifted, energetic 
2573,sojay haze, uplifted, euphoric, energetic, happy, focused 
2574,somango, relaxed, happy, focused, talkative, uplifted 
2575,sonic screwdriver, creative, hungry, uplifted, happy, euphoric 
2576,sonoma coma, energetic, relaxed, happy, hungry, sleepy 
2577,snowcap, relaxed, happy, creative, uplifted, energetic 
2578,sojay haze, uplifted, euphoric, energetic, happy, focused 
2579,somango, relaxed, happy, focused, talkative, uplifted 
2580,sonic screwdriver, creative, hungry, uplifted, happy, euphoric 
2581,sonoma coma, energetic, relaxed, happy, hungry, sleepy 
2582,sorbetto, relaxed, uplifted, tingly, happy, focused 
2583,sorcerers apprentice, focused, tingly, aroused, energetic, giggly 
2584,soul assassin og, hungry, relaxed, happy, tingly, talkative 
2585,soul shine, euphoric, happy, creative, uplifted, giggly 
2586,soulshine aloha, happy, uplifted, relaxed, hungry, sleepy 
2587,sour alien, relaxed, happy, uplifted, euphoric, focused 
2588,sour amnesia, euphoric, creative, uplifted, happy, relaxed 
2589,sour ape, relaxed, happy, sleepy, energetic, euphoric 
2590,sour apple, happy, relaxed, euphoric, hungry, uplifted 
2591,sour banana sherbet, relaxed, happy, euphoric, uplifted, tingly 
2592,sour blueberry, euphoric, relaxed, uplifted, energetic, happy 
2593,sour boggle, aroused, relaxed ,,,
2594,sour breath, focused, happy, energetic, creative, uplifted 
2595,sour bubba, euphoric, happy, relaxed, uplifted, sleepy 
2596,sour bubble, relaxed, happy, uplifted, euphoric, sleepy 
2597,sour candy, uplifted, euphoric, happy, relaxed, focused 
2598,sour chees, creative, relaxed, energetic, happy, focused 
2599,sour cherry sherbert, uplifted, euphoric, relaxed, focused, happy 
2600,sour chocolate, uplifted, creative, sleepy, happy, energetic 
2601,sour chunk, relaxed, euphoric, hungry, creative, happy 
2602,sour cookies, relaxed, uplifted, euphoric, happy, giggly 
2603,sour cream, happy, relaxed, uplifted, euphoric, focused 
2604,sour diesel, happy, uplifted, energetic, euphoric, creative 
2605,sour dream, euphoric, happy, relaxed, talkative, uplifted 
2606,sour dubble, energetic, focused, creative, happy, talkative 
2607,sour flower, creative, uplifted, energetic, focused, happy 
2608,sour grape, relaxed, happy, uplifted, euphoric, talkative 
2609,sour haze, relaxed, energetic, happy, uplifted, euphoric 
2610,sour headband, relaxed, uplifted, happy, talkative, euphoric 
2611,sour jack, focused, energetic, uplifted, happy, euphoric 
2612,sour jilly, happy, euphoric, uplifted, energetic, creative 
2613,sour joker, energetic, euphoric, happy, relaxed, uplifted 
2614,sour kush, relaxed, happy, euphoric, uplifted, creative 
2615,sour lsd, happy, uplifted, energetic, euphoric, creative 
2616,sour lemon og, relaxed, creative, uplifted, euphoric, happy 
2617,sour lifesavers, hungry, relaxed ,,,
2618,sour maui, happy, energetic, talkative, relaxed, focused 
2619,sour og, relaxed, happy, uplifted, euphoric, energetic 
2620,sour patch kiss, energetic, uplifted, focused, creative, relaxed 
2621,sour pebbles, happy, energetic, euphoric, focused, uplifted 
2622,sour poison, uplifted, relaxed, energetic, happy, hungry 
2623,sour power, happy, relaxed, energetic, creative, euphoric 
2624,sour power og, relaxed, aroused, focused, sleepy, tingly 
2625,sour maui, happy, energetic, talkative, relaxed, focused 
2626,sour og, relaxed, happy, uplifted, euphoric, energetic 
2627,sour patch kiss, energetic, uplifted, focused, creative, relaxed 
2628,sour pebbles, happy, energetic, euphoric, focused, uplifted 
2629,sour poison, uplifted, relaxed, energetic, happy, hungry 
2630,sour power, happy, relaxed, energetic, creative, euphoric 
2631,sour power og, relaxed, aroused, focused, sleepy, tingly 
2632,sour space candy, happy, relaxed, uplifted, aroused, euphoric 
2633,sour spyder, euphoric, relaxed, uplifted, focused, happy 
2634,sour star head, happy, energetic, euphoric, talkative, uplifted 
2635,sour strawberry, uplifted, euphoric, creative, focused, talkative 
2636,sour strawberry diesel, happy, relaxed, euphoric, aroused, uplifted 
2637,sour sunset, happy, relaxed, euphoric, uplifted, focused 
2638,sour tangie, happy, uplifted, energetic, euphoric, relaxed 
2639,sour tsunami, relaxed, focused, happy, uplifted, energetic 
2640,sour urkle, euphoric, relaxed, happy, uplifted, creative 
2641,sour willie, uplifted, relaxed, happy, euphoric, energetic 
2642,sourlope, happy, focused, energetic, uplifted, talkative 
2643,south american, happy, hungry, sleepy, euphoric, energetic 
2644,south asian, euphoric, giggly, happy, hungry, relaxed 
2645,south asian sativa, energetic, euphoric, giggly, happy ,
2646,south central la, euphoric, focused, hungry, relaxed, uplifted 
2647,south indian, euphoric, relaxed, uplifted, happy, energetic 
2648,southern lights, uplifted, euphoric, creative, energetic, focused 
2649,space bomb, euphoric, happy, creative, uplifted, relaxed 
2650,space cake, happy, uplifted, euphoric, giggly, creative 
2651,space candy, euphoric, relaxed, tingly, energetic, hungry 
2652,space cream, relaxed, happy, talkative, euphoric, uplifted 
2653,space dawg, euphoric, relaxed, uplifted, focused, sleepy 
2654,space jill, creative, uplifted, focused, energetic, euphoric 
2655,space monster, relaxed, euphoric, sleepy, creative, happy 
2656,space needle, uplifted, happy, relaxed, euphoric, hungry 
2657,space queen, happy, uplifted, euphoric, relaxed, giggly 
2658,special k, happy, euphoric, energetic, focused, uplifted 
2659,special kush 1, relaxed, euphoric, happy, hungry, uplifted 
2660,special sauce, relaxed, happy, euphoric, uplifted, creative 
2661,spicy disco, focused, relaxed, talkative ,,
2662,spiked punch, relaxed, euphoric, creative, focused, happy 
2663,spirit of 76, relaxed, euphoric, uplifted, happy, creative 
2664,spliffs strawberry, creative, energetic, euphoric, focused, happy 
2665,spoetnik 1, euphoric, focused, relaxed, uplifted, creative 
2666,spumoni, happy, relaxed, sleepy, uplifted ,
2667,sputnik, happy, uplifted, relaxed, energetic, focused 
2668,spyder mon, creative, focused, happy, uplifted, energetic 
2669,star 47, happy, euphoric, giggly, relaxed, sleepy 
2670,star berry, relaxed, happy, uplifted, euphoric, energetic 
2671,star killer, relaxed, happy, euphoric, sleepy, uplifted 
2672,star master kush, relaxed, hungry, happy, tingly, euphoric 
2673,star pupil, relaxed, focused, hungry, uplifted, euphoric 
2674,star tonic, focused, happy, relaxed, creative, sleepy 
2675,starbud, relaxed, happy, euphoric, sleepy, uplifted 
2676,stardawg, happy, relaxed, euphoric, uplifted, creative 
2677,stardawg 91, relaxed, sleepy, uplifted, euphoric, aroused 
2678,star berry, relaxed, happy, uplifted, euphoric, energetic 
2679,star killer, relaxed, happy, euphoric, sleepy, uplifted 
2680,star master kush, relaxed, hungry, happy, tingly, euphoric 
2681,star pupil, relaxed, focused, hungry, uplifted, euphoric 
2682,star tonic, focused, happy, relaxed, creative, sleepy 
2683,starbud, relaxed, happy, euphoric, sleepy, uplifted 
2684,stardawg, happy, relaxed, euphoric, uplifted, creative 
2685,stardawg 91, relaxed, sleepy, uplifted, euphoric, aroused 
2686,stardawg guava, happy, relaxed, euphoric, uplifted, creative 
2687,starfighter, happy, euphoric, giggly, uplifted, hungry 
2688,starman, aroused, creative, energetic, euphoric, focused 
2689,starry night, uplifted, euphoric, focused, energetic, relaxed 
2690,stella blue, happy, uplifted, energetic, relaxed, hungry 
2691,stephen hawking kush, relaxed, happy, sleepy, euphoric, focused 
2692,stevie wonder, uplifted, focused, relaxed, hungry, sleepy 
2693,stinky pete, giggly, happy, relaxed, sleepy, tingly 
2694,stoopid fruits, creative, energetic, euphoric ,,
2695,straight as haze, euphoric, happy, creative, uplifted, energetic 
2696,strawberry, happy, uplifted, creative, energetic, relaxed 
2697,strawberry alien kush, relaxed, focused ,,,
2698,strawberry amnesia, relaxed, giggly, happy, aroused, euphoric 
2699,strawberry banana, relaxed, happy, euphoric, uplifted, sleepy 
2700,strawberry blonde, energetic, focused, uplifted, euphoric, happy 
2701,strawberry blondie, euphoric, relaxed, uplifted, happy, energetic 
2702,strawberry blue, happy, energetic, uplifted, relaxed, euphoric 
2703,strawberry cheesecake, relaxed, happy, euphoric, uplifted, sleepy 
2704,strawberry cough, happy, uplifted, euphoric, energetic, relaxed 
2705,strawberry diesel, happy, relaxed, euphoric, uplifted, energetic 
2706,strawberry dream, hungry, happy, euphoric, relaxed, uplifted 
2707,strawberry durban diesel, focused, euphoric, uplifted, happy, hungry 
2708,strawberry fields, relaxed, happy, euphoric, hungry, sleepy 
2709,strawberry frost, hungry, uplifted, euphoric, tingly, relaxed 
2710,strawberry ice, happy, talkative, focused, uplifted, euphoric 
2711,strawberry kush, happy, relaxed, uplifted, euphoric, sleepy 
2712,strawberry lemonade, relaxed, uplifted, euphoric, happy, focused 
2713,strawberry milkshake, relaxed, happy, uplifted, aroused, tingly 
2714,strawberry og, happy, euphoric, hungry, relaxed, giggly 
2715,strawberry satori, uplifted, creative, relaxed, happy, focused 
2716,strawberry shortcake, relaxed, creative, happy, euphoric, focused 
2717,strawberry snow cone, happy, euphoric, energetic, uplifted, talkative 
2718,sublime, happy, uplifted, euphoric, energetic, relaxed 
2719,sugar black rose, relaxed, happy, euphoric, uplifted, sleepy 
2720,sugar cookie, relaxed, sleepy, happy, euphoric, uplifted 
2721,sugar kush, relaxed, euphoric, talkative, sleepy, happy 
2722,sugar mama, relaxed, euphoric, happy, uplifted, tingly 
2723,sugar pine, focused, uplifted, energetic, euphoric, relaxed 
2724,sugar plum, relaxed, happy, tingly, uplifted, euphoric 
2725,joliet jake, relaxed, euphoric, happy, sleepy, tingly 
2726,sugar punch, creative, hungry, relaxed, uplifted, happy 
2727,sugar cookie, relaxed, sleepy, happy, euphoric, uplifted 
2728,sugar kush, relaxed, euphoric, talkative, sleepy, happy 
2729,sugar mama, relaxed, euphoric, happy, uplifted, tingly 
2730,sugar pine, focused, uplifted, energetic, euphoric, relaxed 
2731,sugar plum, relaxed, happy, tingly, uplifted, euphoric 
2732,joliet jake, relaxed, euphoric, happy, sleepy, tingly 
2733,sugar punch, creative, hungry, relaxed, uplifted, happy 
2734,sugar shack, happy, sleepy, relaxed, uplifted, euphoric 
2735,suicide girl, uplifted, euphoric, talkative, relaxed, tingly 
2736,summer breeze, euphoric, uplifted, relaxed, creative, happy 
2737,summertime squeeze, happy, uplifted, energetic, creative, aroused 
2738,sumo grande, focused, creative, energetic, talkative, happy 
2739,sumo og kush, hungry, relaxed, happy, focused, talkative 
2740,sun ra, happy, energetic, euphoric, uplifted, creative 
2741,sunburn, happy, uplifted, energetic, euphoric, talkative 
2742,sundae driver, happy, relaxed, uplifted, euphoric, creative 
2743,sunny d, relaxed, happy, focused, hungry, uplifted 
2744,sunset, relaxed, sleepy, tingly, happy, euphoric 
2745,sunset haze, uplifted, relaxed, happy, euphoric, creative 
2746,sunshine, happy, euphoric, energetic, uplifted, giggly 
2747,sunshine 4, uplifted, euphoric, relaxed, happy, talkative 
2748,sunshine daydream, relaxed, happy, euphoric, uplifted, tingly 
2749,supa don, creative, energetic, focused, uplifted, happy 
2750,super chronic, relaxed, euphoric, sleepy, creative, uplifted 
2751,super blue dream, energetic, happy, euphoric, focused, uplifted 
2752,super bud, giggly, aroused, tingly, happy, hungry 
2753,super cat piss, euphoric, happy, uplifted, energetic, giggly 
2754,super cheese, euphoric, relaxed, hungry, happy, tingly 
2755,super g, creative, energetic, happy, tingly, uplifted 
2756,super glu, relaxed, sleepy, hungry, uplifted, euphoric 
2757,super green crack, happy, uplifted, euphoric, giggly, talkative 
2758,super jack, happy, focused, energetic, creative, uplifted 
2759,super kush, relaxed, uplifted, focused, happy, euphoric 
2760,super lemon haze, happy, energetic, uplifted, euphoric, focused 
2761,super lemon og, happy, talkative, relaxed, focused, sleepy 
2762,super silver hash plant, energetic, happy, uplifted ,,
2763,super silver haze, happy, uplifted, energetic, euphoric, relaxed 
2764,super silver lights, happy, relaxed, creative, uplifted, giggly 
2765,super snow dog, relaxed, uplifted, happy, euphoric, focused 
2766,super snow lotus, focused, energetic, hungry, relaxed, talkative 
2767,super sour diesel, happy, euphoric, relaxed, energetic, uplifted 
2768,super sour lemon, focused, creative, happy, uplifted, energetic 
2769,super sour og, happy, euphoric, relaxed, talkative, hungry 
2770,super sour skunk, happy, uplifted, talkative, euphoric, relaxed 
2771,super sour widow, happy, uplifted, euphoric, energetic, focused 
2772,super sweet, giggly, happy, euphoric, uplifted, talkative 
2773,supergirl, relaxed, happy, sleepy, euphoric, hungry 
2774,superglue, relaxed, happy, euphoric, uplifted, focused 
2775,superman og, euphoric, relaxed, happy, sleepy, giggly 
2776,supermax og, relaxed, euphoric, happy, uplifted, sleepy 
2777,supernatural, euphoric, relaxed, happy, uplifted, creative 
2778,super sour skunk, happy, uplifted, talkative, euphoric, relaxed 
2779,super sour widow, happy, uplifted, euphoric, energetic, focused 
2780,super sweet, giggly, happy, euphoric, uplifted, talkative 
2781,supergirl, relaxed, happy, sleepy, euphoric, hungry 
2782,superglue, relaxed, happy, euphoric, uplifted, focused 
2783,superman og, euphoric, relaxed, happy, sleepy, giggly 
2784,supermax og, relaxed, euphoric, happy, uplifted, sleepy 
2785,supernatural, euphoric, relaxed, happy, uplifted, creative 
2786,supernova, relaxed, euphoric, happy, sleepy, uplifted 
2787,superstar, euphoric, uplifted, happy, creative, energetic 
2788,suver haze, relaxed, happy, euphoric, creative, uplifted 
2789,suzy q, relaxed, uplifted, hungry, sleepy, euphoric 
2790,swazi gold, euphoric, relaxed, talkative, energetic, giggly 
2791,sweet  sour cindy, aroused, creative, energetic, euphoric, giggly 
2792,sweet amnesia haze, happy, energetic, euphoric, focused, creative 
2793,sweet baby jane, happy, giggly, relaxed, sleepy, hungry 
2794,sweet berry, relaxed, uplifted, happy, focused, creative 
2795,sweet black angel, sleepy, relaxed, euphoric, happy, hungry 
2796,sweet cheese, uplifted, relaxed, giggly, focused, aroused 
2797,sweet cindy, creative, hungry, talkative ,,
2798,sweet deep grapefruit, relaxed, sleepy, hungry, euphoric, happy 
2799,sweet diesel, energetic, happy, creative, uplifted, talkative 
2800,sweet dream, relaxed, euphoric, happy, focused, sleepy 
2801,sweet dreams, relaxed, sleepy, happy, talkative, euphoric 
2802,sweet dreams b44e9f5d217a4d5eba9365ffa0047a94, aroused, euphoric, giggly, happy, hungry 
2803,sweet harlem diesel, aroused, creative, euphoric, happy, relaxed 
2804,sweet hawaiian tangie banana, happy, relaxed ,,,
2805,sweet jane, happy, aroused, hungry, relaxed, sleepy 
2806,sweet jesus, energetic, happy, focused, relaxed, euphoric 
2807,sweet kush, relaxed, sleepy, happy, hungry, creative 
2808,sweet lafayette, relaxed, happy, euphoric, uplifted, aroused 
2809,sweet nina, happy, relaxed, euphoric, focused, uplifted 
2810,sweet pebbles, creative, happy, relaxed, euphoric, uplifted 
2811,sweet pure cbd, relaxed, sleepy, creative, euphoric ,
2812,sweet skunk, creative, uplifted, energetic, talkative, relaxed 
2813,sweet tooth, relaxed, euphoric, happy, uplifted, sleepy 
2814,sweet valley kush, euphoric ,,,,
2815,sweet and sour widow, relaxed, uplifted, energetic, happy, focused 
2816,sweeties, energetic, aroused, euphoric, happy, relaxed 
2817,swiss bliss, euphoric, uplifted, happy, creative, relaxed 
