,category,strain,effect_1,effect_2,effect_3,effect_4,effect_5,medical_1,medical_2,medical_3,medical_4,medical_5,negative_1,negative_2,negative_3,negative_4,negative_5,flavor_1,flavor_2,flavor_3,review_total,parent_1,parent_2,parent_3,parent_4,parent_5,parent_6,parent_7
1478,indica,humdinger og, creative, euphoric, focused, relaxed ,, depression, headaches, inflammation, pain, stress ,,,,,, 1. apple, 2. sweet, 3. woody ,1.0,sour bubble,n,n,n,n,n,n
1479,hybrid,hurkle, relaxed, happy, sleepy, uplifted, tingly , stress, pain, insomnia, inflammation, headaches , dry mouth, dry eyes, dizzy ,,, 1. earthy, 2. coffee, 3. woody ,65.0,harlequin,querkle,n,n,n,n,n
1480,sativa,hurricane, uplifted, happy, energetic, euphoric, relaxed , depression, nausea, stress, pain, headaches , dry mouth, anxious, dry eyes, dizzy, paranoid , 1. sweet, 2. orange, 3. vanilla ,58.0,la confidential,n,n,n,n,n,n
1481,hybrid,hustler kush, happy, uplifted, energetic, euphoric, relaxed , lack of appetite, stress, depression, fatigue, insomnia , dry mouth, paranoid, anxious, dizzy, dry eyes , 1. sweet, 2. earthy, 3. pine ,14.0,n,n,n,n,n,n,n
1482,hybrid,iced grapefruit, uplifted, giggly, relaxed, energetic, creative , pain, depression, headaches, insomnia, cramps , dry mouth, headache, dry eyes, anxious, dizzy , 1. grapefruit, 2. citrus, 3. sweet ,56.0,ice,grapefruit,n,n,n,n,n
1483,indica,ifc og,,,,,,,,,,,,,,,,,,,,og kush,n,n,n,n,n,n
1485,hybrid,ig kush, happy, relaxed, sleepy, hungry, tingly , insomnia, lack of appetite, pain, stress, headaches , dry eyes, dry mouth ,,,, 1. sweet, 2. earthy, 3. orange ,,deadhead og,og kush,n,n,n,n,n
1487,hybrid,ice, happy, euphoric, giggly, relaxed, talkative , eye pressure, stress, pain, depression, insomnia , dry mouth, dizzy, dry eyes, paranoid, headache , 1. woody, 2. chemical, 3. earthy ,228.0,afghani,shiva skunk,northern lights,skunk no 1,n,n,n
1489,hybrid,ice cream, relaxed, happy, sleepy, euphoric, creative , stress, depression, pain, insomnia, eye pressure , dry mouth, dizzy, paranoid, dry eyes, anxious , 1. vanilla, 2. sweet, 3. earthy ,163.0,n,n,n,n,n,n,n
1491,indica,ice cream cake, relaxed, happy, euphoric, sleepy, tingly , stress, pain, depression, insomnia, headaches , dry eyes, dry mouth, dizzy, anxious, headache , 1. sweet, 2. vanilla, 3. pungent ,106.0,wedding cake,gelato 33,n,n,n,n,n
1493,hybrid,ice princess, uplifted, tingly, happy, relaxed, euphoric , depression, fatigue, insomnia, pain, stress , dry mouth, dry eyes ,,,, 1. menthol, 2. nutty, 3. tropical ,2.0,cinderella 99,white widow,n,n,n,n,n
1495,hybrid,ice queen, creative, energetic, happy, uplifted, relaxed , stress, depression, pain, nausea, lack of appetite , dry mouth, dry eyes, dizzy, headache, anxious , 1. sweet, 2. pepper, 3. earthy ,53.0,white widow,cinderella 99,n,n,n,n,n
1497,hybrid,ice wreck, relaxed, euphoric, uplifted, happy, giggly , pain, depression, stress, fatigue, headaches , dry mouth, dizzy, dry eyes, anxious, paranoid , 1. earthy, 2. chemical, 3. menthol ,43.0,ice,trainwreck,n,n,n,n,n
1499,indica,iced widow, relaxed, sleepy, focused, happy, uplifted , insomnia, pain, lack of appetite, fatigue, nausea , dry mouth, anxious, dry eyes, paranoid ,, 1. sweet, 2. berry, 3. earthy ,,white widow,ice,n,n,n,n,n
1500,indica,ill og, relaxed, euphoric, happy, sleepy, uplifted , depression, inflammation, insomnia, lack of appetite, pain , dry mouth, dry eyes ,,,, 1. earthy, 2. pine, 3. lemon ,8.0,true og,n,n,n,n,n,n
1501,indica,illuminati og, relaxed, happy, sleepy, tingly, euphoric , insomnia, depression, pain, stress, headaches , dry mouth, dry eyes, dizzy, headache ,, 1. earthy, 2. pungent, 3. sweet ,16.0,n,n,n,n,n,n,n
1502,sativa,in the pines, happy, relaxed, energetic, uplifted, focused , inflammation, cramps, pain, fatigue, stress , dry mouth, dizzy, dry eyes, headache, paranoid , 1. pine, 2. earthy, 3. tropical ,47.0,pineapple thai,master kush,pineapple,n,n,n,n
1503,indica,incredible bulk, relaxed, happy, sleepy, euphoric, creative , stress, insomnia, pain, depression, lack of appetite , dry mouth, dry eyes, dizzy, paranoid, anxious , 1. flowery, 2. woody, 3. citrus ,80.0,big bud,super skunk,n,n,n,n,n
1504,sativa,incredible hulk, energetic, uplifted, focused, happy, euphoric , fatigue, stress, depression, headaches, pain , dry mouth, dry eyes, anxious, dizzy, headache , 1. earthy, 2. nutty, 3. pineapple ,91.0,green crack,jack herer,n,n,n,n,n
1505,hybrid,industrial plant, uplifted, relaxed, energetic, euphoric, happy , stress, depression, insomnia, fatigue, headaches , dry mouth, dry eyes, paranoid, anxious, dizzy , 1. tropical, 2. lemon, 3. pine ,15.0,afghani,thai,n,n,n,n,n
1506,indica,ingrid, relaxed, happy, sleepy, euphoric, tingly , stress, insomnia, inflammation, pain, depression , dry eyes, dry mouth, headache, dizzy, paranoid , 1. cheese, 2. earthy, 3. flowery ,141.0,uk cheese,hash plant,n,n,n,n,n
1507,hybrid,intergalactic, relaxed, happy, hungry, euphoric, tingly , depression, insomnia, lack of appetite, pain, stress , dry mouth, anxious, dizzy, dry eyes, paranoid , 1. pine, 2. diesel, 3. sweet ,8.0,gorilla glue 4,n,n,n,n,n,n
1508,sativa,inzane in the membrane, focused, euphoric, uplifted, energetic, happy , depression, stress, fatigue, lack of appetite, eye pressure , dry mouth, dry eyes ,,,, 1. lemon, 2. pungent, 3. pine ,12.0,n,n,n,n,n,n,n
1509,indica,irish cream, relaxed, uplifted, focused, happy, euphoric , eye pressure, stress, muscle spasms, depression, spasticity , dry mouth, paranoid, headache ,,, 1. earthy, 2. nutty, 3. vanilla ,11.0,n,n,n,n,n,n,n
1510,hybrid,iron triangle, happy, relaxed, giggly, tingly, euphoric , pain, insomnia, depression, stress, muscle spasms , dizzy, paranoid, dry mouth, dry eyes ,, 1. diesel, 2. lemon, 3. earthy ,17.0,n,n,n,n,n,n,n
1511,sativa,island haze, creative, uplifted, relaxed, energetic, euphoric , depression, fatigue, stress ,,, dry mouth ,,,,, 1. sweet, 2. berry, 3. blueberry ,6.0,atomical haze,blueberry,cannalope kush,n,n,n,n
1512,sativa,island maui haze, relaxed, happy, talkative, euphoric, tingly , stress, depression, pain, headaches, inflammation , anxious, dry mouth, paranoid ,,, 1. citrus, 2. mango, 3. tropical ,15.0,n,n,n,n,n,n,n
1513,hybrid,island poison,,,,,,,,,,,,,,,,,,,,n,n,n,n,n,n,n
1514,sativa,island sweet skunk, happy, energetic, uplifted, focused, euphoric , depression, stress, pain, fatigue, headaches , dry mouth, dry eyes, anxious, dizzy, paranoid , 1. sweet, 2. skunk, 3. tropical ,813.0,skunk no 1,n,n,n,n,n,n
1515,hybrid,ivan,,,,,,,,,,,,,,,,,,,,cotton purple chem,granddaddy purple,original glue,chemdog,n,n,n
1516,hybrid,js famous kush, relaxed, uplifted, euphoric, aroused, energetic , spasticity, stress, cramps, depression, insomnia , dry eyes, dry mouth ,,,, 1. skunk, 2. earthy, 3. pepper ,4.0,n,n,n,n,n,n,n
1517,hybrid,j1, uplifted, happy, energetic, focused, creative , stress, fatigue, depression, pain, headaches , dry mouth, anxious, dry eyes, dizzy, headache , 1. citrus, 2. earthy, 3. lemon ,574.0,jack herer,skunk no 1,n,n,n,n,n
1518,indica,jt15, relaxed, happy, hungry, sleepy, creative , depression ,,,,, dry mouth, dry eyes ,,,,,,,,n,n,n,n,n,n,n
1519,hybrid,jabbas stash,,,,,,,,,,,,,,,,,,,,bubba kush,snow lotus,n,n,n,n,n
