,strain,negative_1,negative_2,negative_3,negative_4,negative_5
1394,jillybean, dry mouth, dry eyes, anxious, dizzy, paranoid 
1395,jimi hendrix, dry mouth, anxious, dizzy ,,
1396,jock horror, anxious, dizzy, paranoid, dry eyes, dry mouth 
1397,johnnys tonic, dry eyes, dry mouth ,,,
1398,jorges diamond, dry mouth, dry eyes ,,,
1399,josh d og, dry mouth, anxious, dry eyes, paranoid ,
1400,juicy fruit, dry mouth, dizzy, dry eyes, anxious, headache 
1401,juicy jack, dry mouth, dizzy, dry eyes, headache, paranoid 
1402,juliet, headache, dizzy, dry mouth, dry eyes ,
1403,julius caesar, dry mouth, dry eyes, dizzy, anxious ,
1404,jungle juice, dry eyes, dry mouth, paranoid ,,
1405,jungle scout cookies, dry eyes, dry mouth ,,,
1406,jungle spice, dry eyes, dry mouth ,,,
1407,jupiter og, dry mouth, dry eyes, paranoid, dizzy, headache 
1408,k train, dry mouth, dizzy, dry eyes, paranoid, headache 
1409,k1, dry mouth, anxious, dizzy, dry eyes, paranoid 
1410,k2, dry mouth, dry eyes, anxious, dizzy, headache 
1411,kc 33, dry mouth, dizzy ,,,
1412,kc 36, dry eyes, dry mouth, paranoid ,,
1413,kt dawg, dry mouth, dry eyes ,,,
1414,kaboom, dry mouth, dry eyes, paranoid, dizzy, anxious 
1415,kahuna, dry eyes, dry mouth ,,,
1416,k1, dry mouth, anxious, dizzy, dry eyes, paranoid 
1417,k2, dry mouth, dry eyes, anxious, dizzy, headache 
1418,kc 33, dry mouth, dizzy ,,,
1419,kc 36, dry eyes, dry mouth, paranoid ,,
1420,kt dawg, dry mouth, dry eyes ,,,
1421,kaboom, dry mouth, dry eyes, paranoid, dizzy, anxious 
1422,kahuna, dry eyes, dry mouth ,,,
1423,kaia kush, dry eyes, dry mouth, anxious, dizzy, paranoid 
1424,kalalau kush, dry eyes ,,,,
1425,kalashnikova, dry mouth, headache, dry eyes, paranoid ,
1426,kali dog, dry mouth, dizzy, dry eyes, anxious ,
1427,kali mist, dry mouth, dry eyes, headache, paranoid, anxious 
1428,kandahar, dry mouth, dizzy, dry eyes, headache ,
1429,kandy kush, dry mouth, dry eyes, dizzy, headache, anxious 
1430,kaptns grand dream, dry mouth, anxious, headache, paranoid, dry eyes 
1431,karibbean mango, anxious, dry eyes, dry mouth ,,
1432,karma bitch, dry eyes, dry mouth, dizzy ,,
1433,karma og, dry mouth ,,,,
1434,karmarado og, dry eyes, dry mouth ,,,
1435,kashmir kush, paranoid, dry mouth, anxious ,,
1436,katsu bubba kush, dry mouth, dry eyes, dizzy, anxious, paranoid 
1437,katsu kush, dry mouth, dry eyes, headache, paranoid ,
1438,kauai electric, dry eyes, dry mouth, paranoid ,,
1439,kelly hill gold, dry eyes, dry mouth ,,,
1440,kens kush, dry mouth, dry eyes, anxious ,,
1441,kerosene, dizzy ,,,,
1442,ketama, dry mouth, dizzy, headache, dry eyes, paranoid 
1443,key lime pie, dry mouth, dry eyes, anxious, dizzy, paranoid 
1444,keystone kush, dizzy, dry eyes, dry mouth, anxious ,
1445,khalifa kush, dry mouth, dry eyes, paranoid, anxious, dizzy 
1446,khola, dry eyes, dry mouth, paranoid ,,
1447,khufu, dry eyes, dry mouth ,,,
1448,kid n cookies, dry mouth, anxious, dizzy, paranoid ,
1449,kilimanjaro, dry mouth, dry eyes, anxious, dizzy, paranoid 
1450,kill bill, dry mouth, headache ,,,
1451,killer grape, dizzy, dry eyes, anxious, paranoid, dry mouth 
1452,killer queen, dry mouth, dry eyes, dizzy, paranoid, headache 
1453,killing fields, dry eyes, dry mouth, headache, dizzy, paranoid 
1454,kimbo kush, dry mouth, dry eyes, anxious, dizzy, paranoid 
1455,king cake, anxious, dry mouth, dizzy ,,
1456,king kong, dizzy, headache, dry mouth, dry eyes, paranoid 
1457,king louis, dry mouth, dry eyes, dizzy, anxious, paranoid 
1458,kings bread, headache, dry mouth, dizzy, dry eyes ,
1459,king kush, dry eyes, anxious, dry mouth, paranoid, dizzy 
1460,kiss, dry mouth, paranoid, anxious ,,
1461,kiwiskunk, headache, dry eyes, dry mouth ,,
1462,kobain kush, dry eyes, anxious, headache, dizzy, dry mouth 
1463,king louis, dry mouth, dry eyes, dizzy, anxious, paranoid 
1464,kings bread, headache, dry mouth, dizzy, dry eyes ,
1465,king kush, dry eyes, anxious, dry mouth, paranoid, dizzy 
1466,kiss, dry mouth, paranoid, anxious ,,
1467,kiwiskunk, headache, dry eyes, dry mouth ,,
1468,kobain kush, dry eyes, anxious, headache, dizzy, dry mouth 
1469,koloa sunrise, anxious, dizzy, paranoid ,,
1470,koloa sunrise 47e37470d89f4b7890fa89ea59393eb6, anxious, dizzy ,,,
1471,kona gold, headache, dry mouth, anxious, dry eyes, paranoid 
1472,kong, dry mouth, dry eyes, dizzy, headache, anxious 
1473,kool aid smile, dry mouth ,,,,
1474,koolato, dizzy, paranoid ,,,
1475,kosher kush, dry mouth, dry eyes, dizzy, paranoid, anxious 
1476,kosher tangie, dry mouth, dizzy, headache, paranoid, anxious 
1477,krakatoa, dry mouth, dry eyes ,,,
1478,kraken, dry mouth, dry eyes, anxious, dizzy, paranoid 
1479,krishna kush, dizzy, dry eyes, dry mouth ,,
1480,kritikal k, dry mouth, headache, dry eyes ,,
1481,kryptonite, dry eyes, dry mouth, dizzy, anxious, headache 
1482,kuato, dry mouth ,,,,
1483,kubbie kush, dry mouth, dizzy, dry eyes, anxious, headache 
1484,kuchi, anxious, dry mouth, paranoid ,,
1485,kurple fantasy, dry mouth, dry eyes, dizzy, anxious ,
1486,kush cleaner, dry mouth, dry eyes, dizzy, headache, paranoid 
1487,kush hemp, dry eyes, dry mouth ,,,
1488,kush rise, dry eyes, dry mouth, paranoid ,,
1489,kush n cheese, dry mouth ,,,,
1490,kushadelic, dry mouth, dry eyes, headache, paranoid ,
1491,kushage, dry eyes, dry mouth, dizzy, paranoid, anxious 
1492,kushberry, dry mouth, dizzy, dry eyes, anxious, headache 
1493,leagle eagle, anxious, dizzy, dry eyes, headache, paranoid 
1494,la sunshine, dizzy ,,,,
1495,lak federal reserve, dry eyes, dry mouth ,,,
1496,la cake, dry eyes, anxious, paranoid, dizzy, dry mouth 
1497,la chocolat, dry mouth, dry eyes, headache, anxious, dizzy 
1498,la confidential, dry mouth, dry eyes, dizzy, anxious, paranoid 
1499,la jack, dry mouth, anxious, paranoid, dry eyes, headache 
1500,la kookies, dry mouth, anxious, dizzy, dry eyes, headache 
1501,la kush, anxious, dizzy, dry mouth, dry eyes, paranoid 
1502,la og, dry mouth, anxious, dry eyes, paranoid, dizzy 
1503,la ultra, dry mouth, dry eyes, dizzy, paranoid ,
1504,la woman, dry mouth, dry eyes, headache, paranoid, anxious 
1505,lsd, dry mouth, dry eyes, anxious, paranoid, dizzy 
1506,lvpk, paranoid, dry eyes, dry mouth, dizzy ,
1507,la blanca, dry mouth, dry eyes, paranoid, anxious ,
1508,la blanca gold, dry mouth ,,,,
1509,la reina de africa, dry mouth ,,,,
1510,ladyburn 1974, dry mouth, paranoid ,,,
1511,lsd, dry mouth, dry eyes, anxious, paranoid, dizzy 
1512,lvpk, paranoid, dry eyes, dry mouth, dizzy ,
1513,la blanca, dry mouth, dry eyes, paranoid, anxious ,
1514,la blanca gold, dry mouth ,,,,
1515,la reina de africa, dry mouth ,,,,
1516,ladyburn 1974, dry mouth, paranoid ,,,
1517,lake of fire, dry mouth, dry eyes, anxious, dizzy ,
1518,lamb s bread, dry mouth, dry eyes, anxious, headache, dizzy 
1519,lambo og, dry eyes, dry mouth, dizzy, headache, paranoid 
1520,lamborghini, dry eyes, dizzy, dry mouth, paranoid ,
1521,lambs in space, dry eyes, dry mouth, anxious, dizzy, paranoid 
1522,larry bird kush, dry mouth, dry eyes, headache, anxious, dizzy 
1523,larry og, dry mouth, dry eyes, anxious, paranoid, dizzy 
1524,las vegas purple kush bx, dry eyes, dry mouth ,,,
1525,lashkar gah, dry mouth, dry eyes ,,,
1526,laughing buddha, dry mouth, dry eyes, paranoid, anxious, dizzy 
1527,laughing gas, anxious, dry mouth, dry eyes ,,
1528,lavender, dry mouth, dry eyes, dizzy, headache, anxious 
1529,lavender haze, dry mouth, anxious, paranoid, dizzy, dry eyes 
1530,lavender jones, dry mouth, paranoid, anxious, dry eyes, dizzy 
1531,le silver royale, dry eyes ,,,,
1532,lee roy, dry mouth, dry eyes, headache, anxious, paranoid 
1533,legalized og, dry mouth, dry eyes, dizzy, paranoid ,
1534,legend og, dry mouth, dry eyes, dizzy, headache ,
1535,legend of nigeria, dry eyes, dry mouth, paranoid, dizzy ,
1536,legendary lemon, dry eyes, dry mouth ,,,
1537,lem chem, dry mouth, anxious, paranoid ,,
1538,lemon alien dawg, dry eyes, dry mouth, dizzy, headache, anxious 
1539,lemon banana sherbet, dry eyes, dry mouth ,,,
1540,lemon bananas, dry mouth ,,,,
1541,lemon bubble, anxious, paranoid, dry mouth, dizzy, dry eyes 
1542,lemon cake, dry mouth, dizzy, dry eyes, anxious, paranoid 
1543,lemon cookies, anxious, paranoid, dry eyes, dry mouth ,
1544,lemon crme, dry mouth ,,,,
1545,lemon daddy, paranoid, dry mouth, anxious, dizzy, headache 
1546,lemon diesel, dry mouth, dry eyes, dizzy, paranoid, anxious 
1547,lemon drop, dry eyes, dry mouth, anxious, paranoid, dizzy 
1548,lemon fire, dry mouth, dry eyes, headache ,,
1549,lemon g, dry mouth, dry eyes, anxious, paranoid, dizzy 
1550,lemon garlic og, dry mouth ,,,,
1551,lemon haze, dry mouth, dry eyes, paranoid, dizzy, anxious 
1552,lemon ice, dry mouth, dry eyes, paranoid, anxious ,
1553,lemon jack, dry mouth, dry eyes, anxious, paranoid, dizzy 
1554,lemon kush, dry mouth, dry eyes, paranoid, anxious, dizzy 
1555,lemon kush headband, dry eyes, headache ,,,
1556,lemon larry lavender, dry eyes, dry mouth ,,,
1557,lemon marmalade, dry mouth, anxious, dry eyes ,,
1558,lemon meringue, dry mouth, dizzy, headache, dry eyes, anxious 
1559,lemon og haze, dry mouth, dry eyes, anxious, paranoid, dizzy 
1560,lemon jack, dry mouth, dry eyes, anxious, paranoid, dizzy 
1561,lemon kush, dry mouth, dry eyes, paranoid, anxious, dizzy 
1562,lemon kush headband, dry eyes, headache ,,,
1563,lemon larry lavender, dry eyes, dry mouth ,,,
1564,lemon marmalade, dry mouth, anxious, dry eyes ,,
1565,lemon meringue, dry mouth, dizzy, headache, dry eyes, anxious 
1566,lemon og haze, dry mouth, dry eyes, anxious, paranoid, dizzy 
1567,lemon og, dry mouth, dizzy, dry eyes, anxious, paranoid 
1568,lemon pie, dry mouth, dry eyes, dizzy, anxious, headache 
1569,lemon sativa, dry mouth, dry eyes, anxious, paranoid, dizzy 
1570,lemon skunk, dry mouth, dry eyes, anxious, headache, dizzy 
1571,lemon sorbet 3, dry mouth ,,,,
1572,lemon tangie, dizzy, dry eyes, dry mouth ,,
1573,lemon thai, dry mouth, anxious, dry eyes, paranoid, dizzy 
1574,lemon thai kush, anxious, dry eyes ,,,
1575,lemon tree, dry mouth, dry eyes, anxious, dizzy ,
1576,lemon walker og, dry mouth, dry eyes, dizzy, headache, anxious 
1577,lemon wreck, headache, dry mouth, dizzy, anxious, dry eyes 
1578,lemonberry, dry mouth, dizzy, dry eyes, headache, anxious 
1579,lemonchello 28, anxious, dry eyes ,,,
1580,lemonder, dry eyes, dry mouth ,,,
1581,lemonhead og, dry mouth, dry eyes, dizzy, anxious, headache 
1582,lennon, dizzy, dry mouth ,,,
1583,leonidas, dry mouth ,,,,
1584,lethal purple, dry eyes, dry mouth, dizzy, headache ,
1585,lifesaver, dry mouth, dry eyes, dizzy, paranoid ,
1586,lifestar, dry eyes, dry mouth, headache, paranoid ,
1587,lifter, anxious ,,,,
1588,light of jah, dry mouth, anxious, dry eyes, headache, dizzy 
1589,lil sebastian, dry mouth, anxious ,,,
1590,lime green skunk, dry mouth, dry eyes, paranoid, dizzy, headache 
1591,key lime haze, dry eyes, dry mouth, dizzy, anxious, headache 
1592,lime purple mist, dry mouth ,,,,
1593,lime skunk, dry eyes, dry mouth, anxious, dizzy, headache 
1594,lime sorbet, dry eyes, dry mouth, anxious, dizzy ,
1595,lime tart, dry mouth ,,,,
1596,limon, dry eyes, anxious, dry mouth, dizzy, paranoid 
1597,lions gate, dry mouth, dry eyes, dizzy, headache, paranoid 
1598,liquid butter, dry mouth, dry eyes, dizzy, paranoid, anxious 
1599,little devil, dry eyes, dry mouth ,,,
1600,locktite, dry mouth, headache, dry eyes, anxious, dizzy 
1601,locomotion, dry mouth, dry eyes, dizzy, paranoid, headache 
1602,lodi dodi, dry mouth, dry eyes, headache, dizzy, anxious 
1603,logic diesel, anxious, dizzy, dry eyes, dry mouth ,
1604,longbottom leaf, dry mouth, paranoid, anxious, dry eyes ,
1605,loopy fruit, anxious, dry mouth ,,,
1606,locktite, dry mouth, headache, dry eyes, anxious, dizzy 
1607,locomotion, dry mouth, dry eyes, dizzy, paranoid, headache 
1608,lodi dodi, dry mouth, dry eyes, headache, dizzy, anxious 
1609,logic diesel, anxious, dizzy, dry eyes, dry mouth ,
1610,longbottom leaf, dry mouth, paranoid, anxious, dry eyes ,
1611,loopy fruit, anxious, dry mouth ,,,
1612,lost coast og, anxious, dry mouth, dizzy, paranoid, dry eyes 
1613,lost sierra night nurse, dry mouth ,,,,
1614,loud dream, dry mouth, dry eyes, dizzy, paranoid, anxious 
1615,loud scout, dry mouth, headache, dry eyes ,,
1616,love boat, dry mouth ,,,,
1617,love potion, dry eyes, dry mouth, paranoid, anxious, dizzy 
1618,love potion 9, headache, dry mouth, dry eyes, dizzy ,
1619,lowryder, dry mouth, paranoid, dizzy, dry eyes ,
1620,loyality, dry eyes, anxious, dizzy, dry mouth, headache 
1621,luca brasi x sour diesel, dry mouth, anxious, dry eyes ,,
1622,lucid bolt, dry mouth ,,,,
1623,lucid dream, dry mouth, paranoid, dry eyes, anxious, dizzy 
1624,lucifer og, anxious, dry mouth, headache, dizzy, dry eyes 
1625,lucky charms, dry mouth, dry eyes, dizzy, anxious, headache 
1626,lucy, dry mouth, dry eyes ,,,
1627,m 39, dry mouth, dry eyes, paranoid, dizzy, headache 
1628,mac, dry mouth, dry eyes, dizzy, headache, paranoid 
1629,mc1, dry eyes, dry mouth ,,,
1630,milf, dizzy, dry mouth, dry eyes, headache, paranoid 
1631,mk ultra, dry mouth, dry eyes, dizzy, paranoid, anxious 
1632,mad dawg, dry eyes, headache, dry mouth, anxious, dizzy 
1633,mad scientist, dry mouth, headache, dry eyes, paranoid ,
1634,madagascar, dry eyes, dry mouth, dizzy ,,
1635,madcow, dry mouth, anxious, dry eyes ,,
1636,madman og, dry eyes, dry mouth, dizzy, anxious, paranoid 
1637,madzilla, dry eyes, dry mouth, anxious ,,
1638,mag 91, anxious, dizzy, paranoid ,,
1639,mag landrace, dry mouth, dry eyes, anxious ,,
1640,magellan, dry mouth, anxious, dizzy, paranoid ,
1641,magic beans og, dry eyes, dry mouth ,,,
1642,magic jordan, dry eyes, dry mouth, headache ,,
1643,magnificent mile, dizzy, dry eyes, dry mouth, headache ,
1644,magnum, dry eyes, dry mouth, dizzy, paranoid ,
1645,magnum opus, dry mouth ,,,,
1646,magnum pi, anxious, dry mouth ,,,
1647,mai tai cookies, dry mouth, dizzy, dry eyes, headache, anxious 
1648,majestic 12, dry mouth, dizzy ,,,
1649,mako haze, dry eyes, paranoid, dry mouth, headache, dizzy 
1650,malakoff, dry mouth, dry eyes ,,,
1651,malawi, paranoid, dry mouth, dry eyes, dizzy, anxious 
1652,malawi gold, dizzy, dry mouth, dry eyes, paranoid ,
1653,magnum opus, dry mouth ,,,,
1654,magnum pi, anxious, dry mouth ,,,
1655,mai tai cookies, dry mouth, dizzy, dry eyes, headache, anxious 
1656,majestic 12, dry mouth, dizzy ,,,
1657,mako haze, dry eyes, paranoid, dry mouth, headache, dizzy 
1658,malakoff, dry mouth, dry eyes ,,,
1659,malawi, paranoid, dry mouth, dry eyes, dizzy, anxious 
1660,malawi gold, dizzy, dry mouth, dry eyes, paranoid ,
1661,mammoth, dry eyes, dry mouth ,,,
1662,mandala 1, dry mouth, anxious, dry eyes, dizzy, paranoid 
1663,mandarin cookies, dry mouth, dry eyes ,,,
1664,mandarin dreams, anxious, dry eyes, dry mouth, headache, paranoid 
1665,mandarin sunset, dry mouth, dizzy, dry eyes, anxious ,
1666,mandarin zkittlez, headache, paranoid ,,,
1667,mango, dry eyes, dry mouth, headache, anxious, dizzy 
1668,mango dream, dry mouth, dry eyes, dizzy, headache, anxious 
1669,mango habanero, dry eyes, dry mouth ,,,
1670,mango kush, dry mouth, dry eyes, dizzy, anxious, headache 
1671,mango sapphire, dry mouth, dizzy ,,,
1672,mango sherbert, dizzy, dry mouth, dry eyes ,,
1673,mango tango, dry mouth, dry eyes, paranoid, anxious, dizzy 
1674,mangolicious, dry eyes ,,,,
1675,manitoba poison, dry mouth, dry eyes, dizzy, paranoid ,
1676,maple leaf indica, dry mouth, headache, dizzy, dry eyes, paranoid 
1677,maramota 10, dry mouth ,,,,
1678,marcosus marshmellow, anxious, dizzy ,,,
1679,margaret cho g, dry mouth, dry eyes ,,,
1680,marionberry kush, dry mouth, dry eyes, headache, dizzy, paranoid 
1681,marionberry pie, anxious ,,,,
1682,marleys collie, anxious, dizzy, dry mouth, paranoid ,
1683,marmalade, anxious, paranoid, dry eyes, dry mouth ,
1684,mars og, dry mouth, dry eyes, dizzy, headache, paranoid 
1685,martian candy, anxious, paranoid, dry mouth, dry eyes ,
1686,martian mean green, dry mouth, dry eyes, dizzy, headache, anxious 
1687,martian muffins, dry eyes ,,,,
1688,master bubba, dry mouth, dry eyes, dizzy, paranoid, headache 
1689,master jedi, dry mouth, dry eyes, dizzy, headache, anxious 
1690,master kush, dry mouth, dry eyes, paranoid, dizzy, anxious 
1691,master og, anxious, dry mouth, dizzy, dry eyes, paranoid 
1692,master skunk, dry mouth, dry eyes, dizzy, paranoid, anxious 
1693,master yoda, dry mouth, dry eyes, headache, dizzy, paranoid 
1694,matanuska thunder fuck, dry eyes, headache, paranoid, dry mouth, dizzy 
1695,mataro blue, dry mouth, dizzy, dry eyes, headache, anxious 
1696,matsu, dry eyes, dry mouth, headache, dizzy ,
1697,mau mau, dry mouth ,,,,
1698,maui, dry eyes, dry mouth, anxious, dizzy, headache 
1699,maui bubble gift, dry eyes, anxious, dry mouth, dizzy, headache 
1700,maui citrus punch, dizzy, dry mouth, dry eyes ,,
1701,maui haole, dizzy, dry mouth ,,,
1702,maui mango diesel, paranoid, dry mouth, anxious, dry eyes ,
1703,maui wowie, dry mouth, dry eyes, paranoid, anxious, dizzy 
1704,maui, dry eyes, dry mouth, anxious, dizzy, headache 
1705,maui bubble gift, dry eyes, anxious, dry mouth, dizzy, headache 
1706,maui citrus punch, dizzy, dry mouth, dry eyes ,,
1707,maui haole, dizzy, dry mouth ,,,
1708,maui mango diesel, paranoid, dry mouth, anxious, dry eyes ,
1709,maui wowie, dry mouth, dry eyes, paranoid, anxious, dizzy 
1710,mazar i sharif, dry mouth, dry eyes, paranoid, dizzy, headache 
1711,mazar kush, dry mouth, dry eyes, anxious, headache, dizzy 
1712,mazar x blueberry, dry eyes, dry mouth, dizzy, paranoid, anxious 
1713,mazar x blueberry, dry eyes, dry mouth, dizzy, paranoid, anxious 
1714,mazari, dry eyes, dry mouth ,,,
1715,medihaze, dry mouth, headache, dizzy, anxious, paranoid 
1716,medibud, dry mouth, dry eyes, anxious, dizzy, headache 
1717,medicine man, dry mouth, dry eyes, paranoid, anxious, dizzy 
1718,medicine woman, dry mouth, anxious, dry eyes, paranoid ,
1719,medusa, anxious, paranoid, dry mouth, dry eyes, dizzy 
1720,mega jackpot, dry mouth ,,,,
1721,megalodon, dizzy, dry mouth, dry eyes, headache, paranoid 
1722,mekamika haze, paranoid ,,,,
1723,melon gum, dizzy, dry eyes, dry mouth, anxious, paranoid 
1724,member berry, dry mouth, dry eyes, headache ,,
1725,memory loss, dry mouth, anxious, dry eyes, paranoid, headache 
1726,mendo afgoo, dry mouth, dry eyes ,,,
1727,mendo breath, dry mouth, dry eyes, paranoid, dizzy, anxious 
1728,mendo queen, dry eyes, dry mouth, headache, paranoid ,
1729,mendocino madness, dry mouth ,,,,
1730,mendocino purps, dry mouth, dry eyes, dizzy, headache, paranoid 
1731,mercury og, dry mouth, dry eyes, dizzy, paranoid ,
1732,merlot og, dizzy, dry mouth, dry eyes ,,
1733,mexican, dry mouth, dry eyes, headache, paranoid, dizzy 
1734,mexican sativa, dry mouth, paranoid, dry eyes, headache, dizzy 
1735,michael phelps og, dry mouth, dry eyes, anxious, dizzy, paranoid 
1736,mickey kush, dry mouth, paranoid, anxious, dry eyes, dizzy 
1737,middlefork, dry eyes, anxious, dry mouth, dizzy, headache 
1738,middlefork x pineapple express, anxious, dizzy, dry mouth ,,
1739,midnight, dizzy, headache, dry mouth, dry eyes, anxious 
1740,mighty glue, dry mouth, dizzy, paranoid ,,
1741,milky way, dry eyes, dry mouth, dizzy, headache, paranoid 
1742,millennium, dry mouth, dry eyes, paranoid, dizzy, headache 
1743,mimosa, dry mouth, dry eyes, dizzy, anxious, paranoid 
1744,mint chocolate chip, dry mouth, anxious, dry eyes, headache ,
1745,mission kush, headache, dry eyes, paranoid ,,
1746,misty kush, dry mouth, dry eyes, dizzy, headache, paranoid 
1747,milky way, dry eyes, dry mouth, dizzy, headache, paranoid 
1748,millennium, dry mouth, dry eyes, paranoid, dizzy, headache 
1749,mimosa, dry mouth, dry eyes, dizzy, anxious, paranoid 
1750,mint chocolate chip, dry mouth, anxious, dry eyes, headache ,
1751,mission kush, headache, dry eyes, paranoid ,,
1752,misty kush, dry mouth, dry eyes, dizzy, headache, paranoid 
1753,misty morning, dry eyes ,,,,
1754,mob boss, headache, dry mouth, dizzy, dry eyes, paranoid 
1755,moby dick, dry mouth, dry eyes, paranoid, dizzy, headache 
1756,mochi, dry eyes, dry mouth, anxious, paranoid, headache 
1757,molokai frost, dry mouth, dizzy, dry eyes ,,
1758,molokai purpz, anxious, dry mouth ,,,
1759,money maker, dry mouth, dry eyes, paranoid, anxious, dizzy 
1760,monkey paw, dry mouth, paranoid, anxious, dry eyes, dizzy 
1761,monkey thunder, dry eyes ,,,,
1762,monster cookies, dry mouth, dry eyes, dizzy, headache, paranoid 
1763,monster og, dry mouth, paranoid, headache, anxious, dry eyes 
1764,montana silvertip, dry mouth, dry eyes, anxious, headache ,
1765,moon cookies, dry mouth, dry eyes, dizzy ,,
1766,moon drops, dizzy, dry eyes ,,,
1767,moon walk, dry eyes, dry mouth, paranoid ,,
1768,moonbeam, dry mouth, dry eyes, anxious, dizzy, headache 
1769,moondance, dry mouth, anxious, dry eyes ,,
1770,moonshine haze, dry mouth, dry eyes, dizzy, anxious, headache 
1771,moonwalker kush, dry mouth, dry eyes ,,,
1772,moose and lobsta, dry mouth, dry eyes, dizzy, headache, paranoid 
1773,more cowbell, dry eyes ,,,,
1774,morning glory, dry eyes, dry mouth, dizzy ,,
1775,morning star, dry mouth, dizzy, headache, dry eyes, paranoid 
1776,mossad, anxious, headache, paranoid ,,
1777,mossimo og, dry mouth ,,,,
1778,motavation, dry mouth, dizzy, dry eyes, anxious, paranoid 
1779,mother tongue, anxious, dry mouth, dry eyes, dizzy, paranoid 
1780,mother of all cherries, dry mouth ,,,,
1781,mother of berries, dry mouth, anxious, paranoid, headache, dry eyes 
1782,mothers milk, dry eyes, dry mouth, anxious, dizzy, paranoid 
1783,mothers finest, dry mouth, dizzy, anxious, headache, paranoid 
1784,mothers helper, dry mouth, dry eyes, anxious, headache ,
1785,motorbreath, anxious, dry eyes ,,,
1786,mountain girl, dry eyes, dizzy, dry mouth ,,
1787,mountain girl x grape ape, anxious, dizzy, dry mouth, paranoid ,
1788,mr nice, dry mouth, dry eyes, dizzy, headache, anxious 
1789,mr tusk, dry mouth ,,,,
1790,ms universe, dry mouth, paranoid, anxious ,,
1791,mt hood magic, dry mouth, dry eyes, dizzy, paranoid ,
1792,mt rainier, dry mouth, dry eyes, paranoid ,,
1793,mr nice, dry mouth, dry eyes, dizzy, headache, anxious 
1794,mr tusk, dry mouth ,,,,
1795,ms universe, dry mouth, paranoid, anxious ,,
1796,mt hood magic, dry mouth, dry eyes, dizzy, paranoid ,
1797,mt rainier, dry mouth, dry eyes, paranoid ,,
1798,mud bite, dry eyes, dry mouth ,,,
1799,murkle, dry mouth, dizzy, dry eyes, paranoid ,
1800,mystery 98, dry eyes, dizzy, dry mouth ,,
1801,nl5 haze mist, dry eyes, dry mouth ,,,
1802,ny cheese, dry mouth, dry eyes ,,,
1803,ny 47, dry mouth, dry eyes ,,,
1804,nyc diesel, dry mouth, dry eyes, headache, anxious, paranoid 
1805,nypd, dry mouth, dizzy, dry eyes, anxious, headache 
1806,nanas fix, dizzy, dry eyes, dry mouth ,,
1807,narnia, dry mouth, paranoid, dry eyes, dizzy, anxious 
1808,nebula, dry mouth, dry eyes, paranoid, dizzy, headache 
1809,nebula ii cbd, headache, dry eyes, anxious, dry mouth ,
1810,nectarine lips, dry mouth ,,,,
1811,negra 44, paranoid ,,,,
1812,nepalese, dry mouth, dry eyes, dizzy, anxious, headache 
1813,nepalese jam, dry eyes ,,,,
1814,neptune kush, dry mouth, headache, dry eyes, anxious, dizzy 
1815,neptune og, dry mouth, paranoid, dizzy, anxious, dry eyes 
1816,nevils wreck, dry mouth, headache, dry eyes, paranoid, anxious 
1817,nevilles haze, dry eyes, dry mouth, anxious, dizzy, paranoid 
1818,new glue, dry mouth, dry eyes, dizzy, paranoid, headache 
1819,nexus og, dry mouth, dry eyes ,,,
1820,nice cherry, dry eyes, dry mouth, headache ,,
1821,nicole kush, dry mouth, dry eyes ,,,
1822,night nurse, dry mouth, dry eyes, dizzy, paranoid, anxious 
1823,night terror og, dry mouth, dry eyes, paranoid, dizzy, anxious 
1824,nightfire og, dry mouth, dry eyes, anxious ,,
1825,nightmare cookies, dizzy, dry mouth, paranoid, anxious, dry eyes 
1826,nightmare og, dry mouth, dizzy ,,,
1827,nina limone, anxious, dry mouth ,,,
1828,ninja fruit, dry mouth, dry eyes ,,,
1829,nordle, dizzy, dry mouth, dry eyes, anxious, paranoid 
1830,north american, dry mouth, dry eyes, dizzy, headache ,
1831,north american sativa, anxious, dizzy, dry eyes, headache ,
1832,north indian, dry eyes, dry mouth, dizzy ,,
1833,northernberry, dry mouth, dry eyes, dizzy, headache, paranoid 
1834,northern cross, anxious ,,,,
1835,northern lights, dry mouth, dry eyes, dizzy, paranoid, headache 
1836,northern lights  5, dry mouth, anxious, paranoid, dry eyes, headache 
1837,northern lights 5 x haze, dry mouth, dry eyes, dizzy, anxious ,
1838,northern skunk, dry mouth, dry eyes, anxious, paranoid ,
1839,north american sativa, anxious, dizzy, dry eyes, headache ,
1840,north indian, dry eyes, dry mouth, dizzy ,,
1841,northernberry, dry mouth, dry eyes, dizzy, headache, paranoid 
1842,northern cross, anxious ,,,,
1843,northern lights, dry mouth, dry eyes, dizzy, paranoid, headache 
1844,northern lights  5, dry mouth, anxious, paranoid, dry eyes, headache 
1845,northern lights 5 x haze, dry mouth, dry eyes, dizzy, anxious ,
1846,northern skunk, dry mouth, dry eyes, anxious, paranoid ,
1847,northern wreck, dry mouth, dry eyes, dizzy, anxious, paranoid 
1848,nova, dry mouth ,,,,
1849,nuclear cookies, anxious, dry mouth, dry eyes ,,
1850,nuggetry og, dry mouth, dry eyes, dizzy, headache, paranoid 
1851,nukeheads, dry mouth, headache, dizzy, anxious, paranoid 
1852,nuken, dry mouth, dizzy, dry eyes, anxious, headache 
1853,nurse jackie, dry mouth, headache, dizzy ,,
