,strain,negative_1,negative_2,negative_3,negative_4,negative_5
452,boombaye, dizzy, dry eyes, dry mouth ,,
453,bootlegger, dry mouth, paranoid, dry eyes, dizzy ,
454,bordello, dry mouth, paranoid, dry eyes, anxious, dizzy 
455,boss hogg, dry mouth, dry eyes, paranoid, anxious, headache 
456,boss og, dry mouth, anxious, headache, dry eyes, dizzy 
457,boysenberry, dry eyes, dry mouth, paranoid, headache, dizzy 
458,brains damage, dry mouth, dizzy, anxious, headache, dry eyes 
459,brainstorm haze, dry mouth, dry eyes, dizzy, headache, paranoid 
460,brainwreck, dry mouth ,,,,
461,brand x, dry eyes, dry mouth, paranoid ,,
462,brandywine, headache, dry eyes, dry mouth, anxious, dizzy 
463,brazil amazonia, dry mouth ,,,,
464,brian berry cough, anxious, dry mouth, paranoid, dry eyes, dizzy 
465,bright fire, dry mouth, dizzy, dry eyes ,,
466,bright moments, dry mouth, anxious, headache ,,
467,broke diesel, dry eyes, headache ,,,
468,bronze whaler, dry mouth ,,,,
469,brooklyn mango, dry mouth, anxious, dizzy, dry eyes ,
