,strain,medical_1,medical_2,medical_3,medical_4,medical_5
2295,rob ford kush, stress, pain, depression, insomnia, lack of appetite 
2296,robert plant, headaches, insomnia, lack of appetite, nausea, depression 
2297,rockbud, stress, muscle spasms, depression, pain, nausea 
2298,rocket fuel, stress, depression, nausea, pain, headaches 
2299,rocklock, stress, muscle spasms, nausea, inflammation, cramps 
2300,rockstar, stress, headaches, pain, lack of appetite, depression 
2301,rockstar kush, insomnia, stress, lack of appetite, fatigue, inflammation 
2302,rockstar master kush, stress, pain, inflammation, depression, insomnia 
2303,rocky dennis, stress, depression, pain, fatigue, headaches 
2304,rocky mountain blueberry, stress, depression, pain, fatigue, headaches 
2305,rocky mountain high, pain, nausea, stress, depression, fatigue 
2306,rocket fuel, stress, depression, nausea, pain, headaches 
2307,rocklock, stress, muscle spasms, nausea, inflammation, cramps 
2308,rockstar, stress, headaches, pain, lack of appetite, depression 
2309,rockstar kush, insomnia, stress, lack of appetite, fatigue, inflammation 
2310,rockstar master kush, stress, pain, inflammation, depression, insomnia 
2311,rocky dennis, stress, depression, pain, fatigue, headaches 
2312,rocky mountain blueberry, stress, depression, pain, fatigue, headaches 
2313,rocky mountain high, pain, nausea, stress, depression, fatigue 
2314,rollex og kush, stress, depression, lack of appetite, inflammation, eye pressure 
2315,rolls choice, nausea, lack of appetite, pain, stress, depression 
2316,romping goddess, stress, nausea, pain, insomnia, muscle spasms 
2317,romulan, stress, pain, insomnia, depression, lack of appetite 
2318,romulan grapefruit, stress, depression, pain, fatigue, insomnia 
2319,romulan haze, pain, inflammation, depression, eye pressure, fatigue 
2320,root beer kush, depression, pain, headaches, inflammation, stress 
2321,rose bud, headaches, stress, pain, depression, insomnia 
2322,royal chemdawg, stress, inflammation, pain, headaches, insomnia 
2323,royal dwarf, insomnia, stress, pain, depression, muscle spasms 
2324,royal haze, depression, stress, pain, fatigue, eye pressure 
2325,royal highness, pain, stress, lack of appetite, headaches, fatigue 
2326,royal kush, cramps, stress, insomnia, pain, depression 
2327,royal tree sherbet, inflammation, lack of appetite, stress ,,
2328,roz, depression, stress, muscle spasms, inflammation, pain 
2329,rubicon, eye pressure, stress, inflammation, pain, fatigue 
2330,rudeboi og, stress, depression, fatigue, muscle spasms, inflammation 
2331,rug burn og, depression, insomnia, lack of appetite, stress, pain 
2332,russian assassin, pain, stress, headaches, muscle spasms, nausea 
2333,russian doll, stress, depression, eye pressure, headaches ,
2334,russian rocket fuel, stress, pain, depression, nausea, lack of appetite 
2335,sage, pain, depression, lack of appetite, stress, headaches 
2336,sage walker, eye pressure, nausea ,,,
2337,sfv dog, pain, stress, depression, insomnia, inflammation 
2338,sfv og, stress, depression, pain, fatigue, headaches 
2339,sfv og kush, stress, pain, insomnia, headaches, depression 
2340,safety meeting, pain, headaches, stress, inflammation, insomnia 
2341,sage n sour, stress, depression, pain, lack of appetite, fatigue 
2342,salmon river og, stress, pain, insomnia, depression, inflammation 
2343,santa maria, stress, depression, lack of appetite, pain, headaches 
2344,santa sativa, lack of appetite, stress, eye pressure, fatigue, spasticity 
2345,sapphire scout, stress, insomnia, depression, lack of appetite, pain 
2346,sapphire star, depression, pain, lack of appetite, cramps, insomnia 
2347,sasquatch sap, insomnia, lack of appetite, stress, depression, fatigue 
2348,satellite og, stress, depression, insomnia, lack of appetite, headaches 
2349,satori, stress, pain, insomnia, muscle spasms, lack of appetite 
2350,satsuma, depression, fatigue, stress ,,
2351,saturn og, depression, stress, nausea, insomnia, pain 
2352,savage citrus sunshine, fatigue, cramps, depression, eye pressure, inflammation 
2353,schrom, pain, stress, depression, lack of appetite, muscle spasms 
2354,scooby snack, depression, stress, pain, headaches, nausea 
2355,scotts og, stress, pain, depression, insomnia, lack of appetite 
2356,satori, stress, pain, insomnia, muscle spasms, lack of appetite 
2357,satsuma, depression, fatigue, stress ,,
2358,saturn og, depression, stress, nausea, insomnia, pain 
2359,savage citrus sunshine, fatigue, cramps, depression, eye pressure, inflammation 
2360,schrom, pain, stress, depression, lack of appetite, muscle spasms 
2361,scooby snack, depression, stress, pain, headaches, nausea 
2362,scotts og, stress, pain, depression, insomnia, lack of appetite 
2363,scouts honor, depression, lack of appetite, stress, insomnia, cramps 
2364,scroopy noopers, nausea, pain, inflammation, insomnia, lack of appetite 
2365,seattle blue, pain, stress, insomnia, muscle spasms, headaches 
2366,seattle cough, depression, fatigue, inflammation, stress, nausea 
2367,seattle summer, fatigue, headaches, stress ,,
2368,seattlesoda, depression ,,,,
2369,secret recipe, stress, nausea, lack of appetite, depression, pain 
2370,sensi skunk, pain, insomnia, lack of appetite, stress, depression 
2371,sensi star, pain, stress, insomnia, depression, inflammation 
2372,sequoia strawberry, depression, fatigue, stress, nausea, pain 
2373,serious 6, stress, eye pressure, depression, fatigue, inflammation 
2374,serious happiness, stress, depression, lack of appetite, pain, fatigue 
2375,sexxpot, pain, stress, fatigue, lack of appetite, muscle spasms 
2376,shaman, stress, depression, fatigue, pain, headaches 
2377,shangri la, pain, stress, depression, nausea, inflammation 
2378,shark attack, pain, stress, insomnia, cramps, headaches 
2379,shark bite, stress, headaches, pain, depression, cramps 
2380,shark shock, depression, pain, stress, inflammation, fatigue 
2381,sharks breath, stress, pain, depression, insomnia, fatigue 
2382,sunset sherbert, stress, depression, pain, insomnia, lack of appetite 
2383,shiatsu kush, nausea, stress, pain, depression, insomnia 
2384,shining silver haze, stress, depression ,,,
2385,shipwreck, stress, pain, depression, fatigue, nausea 
2386,shishkaberry, stress, depression, insomnia, pain, fatigue 
2387,shiskaquine, pain, stress, headaches, insomnia, inflammation 
2388,shiva skunk, pain, insomnia, stress, depression, headaches 
2389,shoreline, stress, pain, depression, headaches, eye pressure 
2390,shurman, pain, stress, eye pressure, headaches, depression 
2391,sidetracked, eye pressure, headaches, pain, stress, depression 
2392,sierra mist, stress, pain, headaches, nausea, cramps 
2393,silver back, lack of appetite, fatigue, nausea, depression, stress 
2394,silver bubble, stress, depression, insomnia, lack of appetite, pain 
2395,silver calyx, depression, pain ,,,
2396,silver haze, stress, depression, pain, lack of appetite, insomnia 
2397,silver kush, depression, fatigue, stress, pain, lack of appetite 
2398,silver mountain, depression, fatigue, inflammation, lack of appetite, pain 
2399,silver nina, depression, inflammation, pain, cramps, nausea 
2400,silver pearl, stress, pain, depression, fatigue, insomnia 
2401,silver surfer, stress, depression, fatigue, pain, insomnia 
2402,silver train, depression, stress, lack of appetite, pain, fatigue 
2403,silverback gorilla, pain, depression, stress, insomnia, inflammation 
2404,silverfalls kush, cramps, pain, stress, inflammation, insomnia 
2405,silverhawks og, stress, depression, fatigue, headaches, pain 
2406,silver mountain, depression, fatigue, inflammation, lack of appetite, pain 
2407,silver nina, depression, inflammation, pain, cramps, nausea 
2408,silver pearl, stress, pain, depression, fatigue, insomnia 
2409,silver surfer, stress, depression, fatigue, pain, insomnia 
2410,silver train, depression, stress, lack of appetite, pain, fatigue 
2411,silverback gorilla, pain, depression, stress, insomnia, inflammation 
2412,silverfalls kush, cramps, pain, stress, inflammation, insomnia 
2413,silverhawks og, stress, depression, fatigue, headaches, pain 
2414,sin city kush, stress, lack of appetite, nausea, muscle spasms, depression 
2415,sin valley og, stress, insomnia, pain, lack of appetite, depression 
2416,sinmint cookies, pain, stress, depression, insomnia, lack of appetite 
2417,sinai, depression, pain, lack of appetite, stress ,
2418,sirius black, stress, depression, lack of appetite, fatigue, insomnia 
2419,sister glue, insomnia, pain, depression, stress, lack of appetite 
2420,six shooter, depression, headaches, stress, fatigue, lack of appetite 
2421,sizzurp, depression, stress, headaches, inflammation, insomnia 
2422,skins skunk, cramps, pain, depression, insomnia, muscle spasms 
2423,skunk 47, stress, pain, depression, insomnia, nausea 
2424,skunk dawg, depression, stress, pain, headaches, nausea 
2425,skunk haze, stress, depression, nausea, fatigue, lack of appetite 
2426,skunk 1, stress, depression, pain, fatigue, muscle spasms 
2427,skunk plus, depression, stress, pain, headaches, insomnia 
2428,skunkberry, pain, depression, muscle spasms, stress, lack of appetite 
2429,skunky diesel, stress, pain, depression, insomnia, muscle spasms 
2430,sky lotus, pain, insomnia, muscle spasms, depression, stress 
2431,sky master, stress, depression, fatigue, pain, nausea 
2432,skydog, stress, pain, depression, headaches, insomnia 
2433,skywalker alien, stress, pain, inflammation, depression, muscle spasms 
2434,slazerbeam, stress, pain, depression, headaches, inflammation 
2435,sleeskunk, stress, nausea, spasticity, fatigue, headaches 
2436,sleestack, stress, depression, fatigue, lack of appetite, nausea 
2437,slimer og, cramps, eye pressure, fatigue, depression, lack of appetite 
2438,smelliot, depression, insomnia, fatigue, muscle spasms, stress 
2439,snoop dogg og, pain, stress, depression, fatigue, insomnia 
2440,snoop s dream, depression, stress, pain, lack of appetite, insomnia 
2441,snow bud, stress, pain, depression, nausea, inflammation 
2442,snow diesel, depression, headaches, lack of appetite, nausea, pain 
2443,snow goddess, depression, stress, headaches ,,
2444,snow leopard, stress, pain, insomnia, inflammation, depression 
2445,snow lotus, depression, fatigue, insomnia, stress, pain 
2446,snow monster, pain, insomnia, stress, depression, inflammation 
2447,snow mountain, inflammation, insomnia, muscle spasms, pain, stress 
2448,snow ryder, depression, insomnia, muscle spasms, stress ,
2449,snow white, depression, stress, pain, nausea, fatigue 
2450,snowland, stress, nausea, headaches, cramps, fatigue 
2451,snowcap, stress, pain, depression, inflammation, fatigue 
2452,sojay haze, stress, depression, fatigue, lack of appetite, nausea 
2453,somango, lack of appetite, stress, pain, insomnia, depression 
2454,sonic screwdriver, depression, fatigue, stress, pain, cramps 
2455,sonoma coma, depression, stress, fatigue, insomnia, inflammation 
2456,snowcap, stress, pain, depression, inflammation, fatigue 
2457,sojay haze, stress, depression, fatigue, lack of appetite, nausea 
2458,somango, lack of appetite, stress, pain, insomnia, depression 
2459,sonic screwdriver, depression, fatigue, stress, pain, cramps 
2460,sonoma coma, depression, stress, fatigue, insomnia, inflammation 
2461,sorbetto, inflammation, lack of appetite, muscle spasms, eye pressure, nausea 
2462,sorcerers apprentice, muscle spasms, spasticity, stress ,,
2463,soul assassin og, insomnia, stress, pain, fatigue, lack of appetite 
2464,soul shine, stress, pain, muscle spasms, fatigue, insomnia 
2465,soulshine aloha, fatigue, lack of appetite, pain, stress, cramps 
2466,sour alien, pain, stress, lack of appetite, depression, muscle spasms 
2467,sour amnesia, depression, stress, pain, lack of appetite, fatigue 
2468,sour ape, pain, depression, stress, headaches, lack of appetite 
2469,sour apple, stress, lack of appetite, depression, pain, inflammation 
2470,sour banana sherbet, stress, depression, lack of appetite, pain, nausea 
2471,sour blueberry, nausea, stress, depression, inflammation, lack of appetite 
2472,sour boggle, depression, insomnia, nausea, pain, stress 
2473,sour breath, stress, depression, cramps, eye pressure, pain 
2474,sour bubba, stress, depression, inflammation, nausea, insomnia 
2475,sour bubble, depression, pain, stress, insomnia, fatigue 
2476,sour candy, depression, fatigue, lack of appetite, inflammation, stress 
2477,sour chees, spasticity, stress, depression, pain, headaches 
2478,sour cherry sherbert, pain, stress, insomnia, fatigue, headaches 
2479,sour chocolate, insomnia, stress, fatigue, nausea, pain 
2480,sour chunk, stress, cramps, depression, headaches, inflammation 
2481,sour cookies, depression, pain, insomnia, stress, fatigue 
2482,sour cream, stress, pain, depression, fatigue, headaches 
2483,sour diesel, stress, depression, pain, fatigue, lack of appetite 
2484,sour dream, stress, fatigue, pain, muscle spasms, inflammation 
2485,sour dubble, depression, insomnia, fatigue, lack of appetite, pain 
2486,sour flower, stress, depression, fatigue, pain, headaches 
2487,sour grape, stress, depression, pain, lack of appetite, nausea 
2488,sour haze, stress, pain, fatigue, lack of appetite, muscle spasms 
2489,sour headband, depression, stress, headaches, fatigue, inflammation 
2490,sour jack, depression, stress, fatigue, headaches, pain 
2491,sour jilly, stress, depression, fatigue, headaches, inflammation 
2492,sour joker, stress, depression, fatigue, pain, inflammation 
2493,sour kush, stress, depression, pain, headaches, lack of appetite 
2494,sour lsd, stress, pain, lack of appetite, depression, fatigue 
2495,sour lemon og, fatigue, depression, stress, headaches, nausea 
2496,sour lifesavers, depression, insomnia, nausea, pain, stress 
2497,sour maui, stress, depression, fatigue, lack of appetite, pain 
2498,sour og, stress, depression, pain, fatigue, headaches 
2499,sour patch kiss, stress, depression, fatigue, pain, spasticity 
2500,sour pebbles, depression, stress, fatigue, pain, headaches 
2501,sour poison, depression, stress, lack of appetite, pain, insomnia 
2502,sour power, stress, depression, fatigue, pain, headaches 
2503,sour power og, stress, insomnia, depression, pain, muscle spasms 
2504,sour maui, stress, depression, fatigue, lack of appetite, pain 
2505,sour og, stress, depression, pain, fatigue, headaches 
2506,sour patch kiss, stress, depression, fatigue, pain, spasticity 
2507,sour pebbles, depression, stress, fatigue, pain, headaches 
2508,sour poison, depression, stress, lack of appetite, pain, insomnia 
2509,sour power, stress, depression, fatigue, pain, headaches 
2510,sour power og, stress, insomnia, depression, pain, muscle spasms 
2511,sour space candy, insomnia, depression, eye pressure, inflammation, pain 
2512,sour spyder, pain, stress, insomnia, muscle spasms, depression 
2513,sour star head, eye pressure, depression, inflammation, lack of appetite, spasticity 
2514,sour strawberry, depression, insomnia, pain, stress, eye pressure 
2515,sour strawberry diesel, fatigue, stress, depression, eye pressure, pain 
2516,sour sunset, stress, depression, nausea, headaches, insomnia 
2517,sour tangie, stress, depression, pain, fatigue, headaches 
2518,sour tsunami, stress, pain, depression, muscle spasms, inflammation 
2519,sour urkle, pain, stress, depression, fatigue, inflammation 
2520,sour willie, depression, stress, lack of appetite, pain, nausea 
2521,sourlope, stress, fatigue, muscle spasms, depression, pain 
2522,south american, nausea, eye pressure, stress, pain, lack of appetite 
2523,south asian, stress, pain, headaches, inflammation, insomnia 
2524,south central la, depression, stress ,,,
2525,south indian, stress, pain, inflammation, depression, muscle spasms 
2526,southern lights, headaches, seizures ,,,
2527,space bomb, stress, depression, inflammation, headaches, insomnia 
2528,space cake, depression, fatigue, muscle spasms, stress, inflammation 
2529,space candy, stress, fatigue, depression, insomnia, spasticity 
2530,space cream, pain, stress, depression, fatigue, muscle spasms 
2531,space dawg, headaches, stress, pain, depression, insomnia 
2532,space jill, pain, stress, depression, fatigue, nausea 
2533,space monster, stress, cramps, fatigue, headaches, inflammation 
2534,space needle, depression, stress, fatigue, headaches, pain 
2535,space queen, stress, depression, pain, nausea, fatigue 
2536,special k, headaches, nausea, eye pressure, inflammation, depression 
2537,special kush 1, pain, insomnia, lack of appetite, depression, stress 
2538,special sauce, depression, stress, inflammation, insomnia, pain 
2539,spicy disco, eye pressure ,,,,
2540,spirit of 76, pain, depression, stress, fatigue, inflammation 
2541,spliffs strawberry, fatigue, lack of appetite, stress ,,
2542,spoetnik 1, depression, insomnia, eye pressure, fatigue, headaches 
2543,sputnik, depression, stress, pain, muscle spasms, headaches 
2544,spyder mon, depression, headaches, insomnia, muscle spasms, pain 
2545,star 47, depression, insomnia, lack of appetite, nausea, stress 
2546,star berry, stress, pain, insomnia, fatigue, inflammation 
2547,star killer, stress, insomnia, depression, pain, inflammation 
2548,star master kush, stress, depression, insomnia, pain, lack of appetite 
2549,star pupil, stress, depression, pain, insomnia, headaches 
2550,star tonic, stress, pain, depression, inflammation, headaches 
2551,starbud, insomnia, stress, depression, fatigue, pain 
2552,stardawg, stress, depression, pain, lack of appetite, headaches 
2553,stardawg 91, depression, insomnia, stress ,,
2554,star berry, stress, pain, insomnia, fatigue, inflammation 
2555,star killer, stress, insomnia, depression, pain, inflammation 
2556,star master kush, stress, depression, insomnia, pain, lack of appetite 
2557,star pupil, stress, depression, pain, insomnia, headaches 
2558,star tonic, stress, pain, depression, inflammation, headaches 
2559,starbud, insomnia, stress, depression, fatigue, pain 
2560,stardawg, stress, depression, pain, lack of appetite, headaches 
2561,stardawg 91, depression, insomnia, stress ,,
2562,stardawg guava, stress, depression, pain, insomnia, headaches 
2563,starfighter, stress, pain, insomnia, depression, headaches 
2564,starman, depression ,,,,
2565,starry night, depression, stress, lack of appetite, pain, fatigue 
2566,stella blue, fatigue, stress, pain, muscle spasms, depression 
2567,stephen hawking kush, pain, insomnia, stress, fatigue, inflammation 
2568,stevie wonder, pain, depression, stress, lack of appetite, insomnia 
2569,stinky pete, pain, depression, headaches, insomnia, nausea 
2570,straight as haze, stress, depression, headaches, cramps, pain 
2571,strawberry, pain, depression, stress, cramps, muscle spasms 
2572,strawberry alien kush, depression, insomnia, stress ,,
2573,strawberry amnesia, stress, depression, headaches, insomnia, fatigue 
2574,strawberry banana, stress, depression, pain, insomnia, headaches 
2575,strawberry blonde, stress, depression, fatigue, pain, lack of appetite 
2576,strawberry blondie, stress, inflammation, lack of appetite, insomnia, pain 
2577,strawberry blue, stress, depression, pain, nausea, muscle spasms 
2578,strawberry cheesecake, stress, pain, depression, lack of appetite, insomnia 
2579,strawberry cough, stress, depression, pain, fatigue, lack of appetite 
2580,strawberry diesel, depression, stress, pain, insomnia, lack of appetite 
2581,strawberry dream, stress, depression, nausea, inflammation, fatigue 
2582,strawberry durban diesel, depression, stress, fatigue ,,
2583,strawberry fields, insomnia, stress, headaches, pain, lack of appetite 
2584,strawberry frost, stress, depression, lack of appetite, pain, fatigue 
2585,strawberry ice, stress, lack of appetite, fatigue, pain, depression 
2586,strawberry kush, stress, depression, lack of appetite, inflammation, pain 
2587,strawberry lemonade, stress, depression, pain, fatigue, headaches 
2588,strawberry milkshake, stress, depression, headaches, insomnia, pain 
2589,strawberry og, stress, inflammation, eye pressure, cramps, depression 
2590,strawberry satori, stress, depression, fatigue, pain, insomnia 
2591,strawberry shortcake, insomnia, lack of appetite, pain, stress, nausea 
2592,strawberry snow cone, stress, depression, pain, headaches, inflammation 
2593,sublime, stress, lack of appetite, nausea, pain, fatigue 
2594,sugar black rose, stress, pain, depression, headaches, insomnia 
2595,sugar cookie, lack of appetite, nausea, headaches, pain, stress 
2596,sugar kush, stress, depression, nausea, insomnia, eye pressure 
2597,sugar mama, stress, depression, pain, insomnia, headaches 
2598,sugar pine, inflammation, pain, depression, muscle spasms ,
2599,sugar plum, stress, depression, insomnia, pain, fatigue 
2600,joliet jake, pain, stress, insomnia, depression, inflammation 
2601,sugar punch, stress, depression, pain, fatigue, eye pressure 
2602,sugar cookie, lack of appetite, nausea, headaches, pain, stress 
2603,sugar kush, stress, depression, nausea, insomnia, eye pressure 
2604,sugar mama, stress, depression, pain, insomnia, headaches 
2605,sugar pine, inflammation, pain, depression, muscle spasms ,
2606,sugar plum, stress, depression, insomnia, pain, fatigue 
2607,joliet jake, pain, stress, insomnia, depression, inflammation 
2608,sugar punch, stress, depression, pain, fatigue, eye pressure 
2609,sugar shack, stress, insomnia, pain, inflammation, depression 
2610,suicide girl, depression, eye pressure, fatigue, muscle spasms, nausea 
2611,summer breeze, depression, stress, pain, lack of appetite, fatigue 
2612,summertime squeeze, fatigue ,,,,
2613,sumo grande, depression, fatigue, lack of appetite, stress ,
2614,sumo og kush, insomnia, nausea, pain, stress ,
2615,sun ra, stress, fatigue, insomnia, lack of appetite ,
2616,sunburn, depression, stress, pain, fatigue, inflammation 
2617,sundae driver, pain, depression, stress, headaches, insomnia 
2618,sunny d, lack of appetite, depression, stress, headaches, insomnia 
2619,sunset, stress, insomnia, pain, depression, fatigue 
2620,sunset haze, pain, stress, depression, inflammation, insomnia 
2621,sunshine, depression, stress, pain, headaches, lack of appetite 
2622,sunshine 4, inflammation, stress, pain, depression, muscle spasms 
2623,sunshine daydream, fatigue, pain, eye pressure, insomnia, stress 
2624,supa don, fatigue, depression, headaches, insomnia, stress 
2625,super chronic, inflammation, pain, insomnia, nausea, stress 
2626,super blue dream, stress, depression, pain, lack of appetite, fatigue 
2627,super bud, depression, fatigue, nausea, insomnia, lack of appetite 
2628,super cat piss, stress, depression, insomnia, nausea ,
2629,super cheese, muscle spasms, lack of appetite, eye pressure, pain, insomnia 
2630,super glu, stress, fatigue, lack of appetite, nausea, pain 
2631,super green crack, depression, fatigue, pain, stress, inflammation 
2632,super jack, stress, depression, fatigue, pain, lack of appetite 
2633,super kush, stress, pain, depression, insomnia, lack of appetite 
2634,super lemon haze, stress, depression, fatigue, pain, headaches 
2635,super lemon og, pain, muscle spasms, depression, inflammation, fatigue 
2636,super silver haze, stress, depression, pain, fatigue, lack of appetite 
2637,super silver lights, stress, muscle spasms, depression, headaches, inflammation 
2638,super snow dog, depression, stress, headaches, pain, fatigue 
2639,super snow lotus, headaches, stress, depression, fatigue, lack of appetite 
2640,super sour diesel, stress, depression, pain, fatigue, headaches 
2641,super sour lemon, depression, pain, stress, fatigue, muscle spasms 
2642,super sour og, stress, inflammation, lack of appetite, pain, insomnia 
2643,super sour skunk, stress, depression, eye pressure, insomnia, headaches 
2644,super sour widow, fatigue, stress, eye pressure, pain, depression 
2645,super sweet, stress, depression, fatigue, cramps, inflammation 
2646,supergirl, stress, insomnia, depression, pain, fatigue 
2647,superglue, stress, pain, depression, insomnia, nausea 
2648,superman og, pain, stress, depression, insomnia, muscle spasms 
2649,supermax og, headaches, pain, stress, lack of appetite, insomnia 
2650,supernatural, stress, pain, fatigue, depression, headaches 
2651,super sour skunk, stress, depression, eye pressure, insomnia, headaches 
2652,super sour widow, fatigue, stress, eye pressure, pain, depression 
2653,super sweet, stress, depression, fatigue, cramps, inflammation 
2654,supergirl, stress, insomnia, depression, pain, fatigue 
2655,superglue, stress, pain, depression, insomnia, nausea 
2656,superman og, pain, stress, depression, insomnia, muscle spasms 
2657,supermax og, headaches, pain, stress, lack of appetite, insomnia 
2658,supernatural, stress, pain, fatigue, depression, headaches 
2659,supernova, pain, insomnia, stress, depression, headaches 
2660,superstar, depression, stress, muscle spasms, pain, fatigue 
2661,suver haze, stress, depression, inflammation, pain, lack of appetite 
2662,suzy q, pain, stress, muscle spasms, inflammation, fatigue 
2663,swazi gold, depression, stress, pain, nausea, insomnia 
2664,sweet  sour cindy, cramps, depression, headaches, insomnia, nausea 
2665,sweet amnesia haze, depression, fatigue, lack of appetite, pain, stress 
2666,sweet baby jane, stress, insomnia, pain, depression, fatigue 
2667,sweet berry, spasticity, fatigue, pain, stress ,
2668,sweet black angel, pain, depression, insomnia, stress, inflammation 
2669,sweet cheese, stress, depression, pain, nausea, lack of appetite 
2670,sweet cindy, depression, insomnia, nausea, pain, stress 
2671,sweet deep grapefruit, stress, pain, lack of appetite, insomnia, fatigue 
2672,sweet diesel, fatigue, pain, depression, headaches, lack of appetite 
2673,sweet dream, depression, insomnia, pain, nausea, inflammation 
2674,sweet dreams, stress, insomnia, pain, depression, fatigue 
2675,sweet dreams b44e9f5d217a4d5eba9365ffa0047a94, depression, insomnia, lack of appetite, pain, seizures 
2676,sweet harlem diesel, depression, fatigue, inflammation, lack of appetite, pain 
2677,sweet hawaiian tangie banana, eye pressure, headaches, insomnia, lack of appetite, pain 
2678,sweet jane, depression, pain, fatigue, stress, lack of appetite 
2679,sweet jesus, depression, eye pressure, stress, fatigue, headaches 
2680,sweet kush, stress, depression, pain, headaches, nausea 
2681,sweet lafayette, stress, depression, pain, headaches, insomnia 
2682,sweet nina, stress, inflammation, nausea, pain, depression 
2683,sweet pebbles, inflammation, pain, lack of appetite, depression, stress 
2684,sweet skunk, pain, stress, depression, insomnia, nausea 
2685,sweet tooth, stress, pain, depression, insomnia, lack of appetite 
2686,sweet valley kush, headaches, inflammation, insomnia, lack of appetite, pain 
2687,sweet and sour widow, depression, stress, lack of appetite, pain, insomnia 
2688,sweeties, stress, pain, depression, fatigue, seizures 
2689,swiss bliss, stress, depression, pain, fatigue, lack of appetite 
2690,swiss gold, inflammation, fatigue, muscle spasms, seizures, pain 
2691,swiss, insomnia, depression, eye pressure, pain, stress 
2692,swiss tsunami, stress, depression, fatigue, pain, headaches 
2693,thc bomb, stress, depression, pain, cramps, insomnia 
2694,tjs cbd, stress, inflammation, insomnia, pain, depression 
2695,tahoe alien, stress, pain, depression, insomnia, lack of appetite 
2696,tahoe hydro champagne, depression, stress, lack of appetite, cramps, fatigue 
2697,tahoe hydro og, stress, pain, lack of appetite, depression, insomnia 
2698,tahoe purps, stress, depression, insomnia, lack of appetite ,
2699,taliban poison, cramps, depression, muscle spasms, nausea, pain 
2700,tangelo, depression, inflammation, fatigue, pain, stress 
2701,tangelo kush, depression, insomnia, pain ,,
2702,tahoe hydro champagne, depression, stress, lack of appetite, cramps, fatigue 
2703,tahoe hydro og, stress, pain, lack of appetite, depression, insomnia 
2704,tahoe purps, stress, depression, insomnia, lack of appetite ,
2705,taliban poison, cramps, depression, muscle spasms, nausea, pain 
2706,tangelo, depression, inflammation, fatigue, pain, stress 
2707,tangelo kush, depression, insomnia, pain ,,
2708,tangerine, stress, depression, fatigue, insomnia, pain 
2709,tangerine dream, stress, pain, depression, fatigue, inflammation 
2710,tangerine haze, stress, depression, fatigue, nausea, lack of appetite 
2711,tangerine kush, stress, pain, insomnia, depression, fatigue 
2712,tangerine man, stress, depression, fatigue, pain, insomnia 
2713,tangerine power, stress, insomnia, depression, pain, fatigue 
2714,tangerine sunrise, fatigue, spasticity, depression, stress, pain 
2715,tangerine trainwreck haze, depression, fatigue, pain, stress, inflammation 
2716,tangie, stress, depression, pain, fatigue, headaches 
2717,tangie biscotti, stress, depression, pain, inflammation, nausea 
2718,tangie cookies, depression, fatigue, lack of appetite, nausea, muscle spasms 
2719,tangie dream, fatigue, pain, depression, stress, lack of appetite 
2720,tangie ghost train, depression, fatigue, stress, lack of appetite, inflammation 
2721,tangie sunrise, stress, inflammation, pain, muscle spasms, depression 
2722,tangier chilly, depression, inflammation, lack of appetite ,,
2723,tangilope, depression, stress, fatigue, inflammation, lack of appetite 
2724,tango kush, stress, depression, pain, fatigue, headaches 
2725,tardis, stress, depression, fatigue, pain, insomnia 
2726,tembo kush, fatigue, headaches, lack of appetite, pain, stress 
2727,terminator og, stress, insomnia, pain, muscle spasms, depression 
2728,tesla, stress, inflammation, muscle spasms, pain, depression 
2729,tesla tower, depression, pain, stress, eye pressure, fatigue 
2730,thai, stress, depression, fatigue, lack of appetite, headaches 
2731,thai fantasy, depression, insomnia, lack of appetite, pain, seizures 
2732,thai girl, stress, depression, fatigue, headaches, insomnia 
2733,thai haze, depression, stress, pain, muscle spasms, lack of appetite 
2734,thai lights, stress, depression, headaches, lack of appetite, pain 
2735,thai tanic, stress, pain, insomnia, fatigue, nausea 
2736,thaidal wave, stress, depression, nausea, pain ,
2737,the big dirty, depression, inflammation, lack of appetite, nausea, pain 
2738,the black, insomnia, pain, stress, inflammation, muscle spasms 
2739,the blintz, cramps, fatigue, lack of appetite, nausea, pain 
2740,the blood, stress, headaches, depression, fatigue, lack of appetite 
2741,the brotherhood, stress, cramps, depression, fatigue, pain 
2742,the cough, stress, depression, fatigue, nausea, headaches 
2743,the doctor, stress, pain, insomnia, headaches, lack of appetite 
2744,the flav, depression, pain, muscle spasms, stress, nausea 
2745,the fuzz, depression, fatigue, lack of appetite, pain, stress 
2746,the gift, stress, pain, inflammation, cramps, insomnia 
2747,the grunk, lack of appetite, pain, depression, headaches, insomnia 
2748,the guice, headaches, lack of appetite, pain, stress ,
2749,the doctor, stress, pain, insomnia, headaches, lack of appetite 
2750,the flav, depression, pain, muscle spasms, stress, nausea 
2751,the fuzz, depression, fatigue, lack of appetite, pain, stress 
2752,the gift, stress, pain, inflammation, cramps, insomnia 
2753,the grunk, lack of appetite, pain, depression, headaches, insomnia 
2754,the guice, headaches, lack of appetite, pain, stress ,
2755,hog, stress, depression, pain, headaches, insomnia 
2756,the lime, eye pressure ,,,,
2757,the loops, depression, insomnia, stress, headaches, inflammation 
2758,the ox, pain, stress, inflammation, insomnia, depression 
2759,the one, pain, insomnia, stress, depression, fatigue 
2760,the ooze, eye pressure, fatigue, headaches, lack of appetite, nausea 
2761,the original lemonnade, depression, fatigue, stress, lack of appetite, headaches 
