,strain,medical_1,medical_2,medical_3,medical_4,medical_5
259,big budda cheese, stress, depression, pain, lack of appetite, fatigue 
260,big bull, lack of appetite ,,,,
261,big holy nina, stress, lack of appetite, depression, fatigue, insomnia 
262,big kush, stress, nausea, pain, depression, insomnia 
263,big mac, depression, stress, insomnia, eye pressure, lack of appetite 
264,big skunk korean, depression, fatigue, lack of appetite, nausea ,
265,big sky og, depression, pain, lack of appetite, headaches, inflammation 
266,big smooth, stress, depression, pain, muscle spasms, fatigue 
267,big sur holy bud, stress, depression, pain, fatigue, muscle spasms 
268,big white, pain, stress, lack of appetite, insomnia, headaches 
269,big wreck, stress, pain, insomnia, cramps, nausea 
270,biker kush, insomnia, stress, depression, lack of appetite, inflammation 
271,biker leblanc, cramps ,,,,
272,bio diesel, stress, depression, lack of appetite, pain, insomnia 
273,bio jesus, pain, stress, insomnia, depression, muscle spasms 
274,biochem, insomnia, stress, pain, inflammation, lack of appetite 
275,biohazard, depression, pain, stress, headaches, inflammation 
276,birds eye, depression, lack of appetite, stress, inflammation, pain 
277,birds of paradise, inflammation, muscle spasms, pain, depression, fatigue 
278,birthday cake kush, stress, depression, pain, insomnia, headaches 
279,black 84, insomnia, stress, pain, depression, lack of appetite 
280,black afghan, insomnia, stress, pain, depression, lack of appetite 
281,black betty, stress, depression, pain, inflammation, headaches 
282,black bubba, cramps, stress, insomnia, seizures, pain 
283,black cheese, depression, insomnia, muscle spasms, pain, stress 
284,black cherry cheesecake, inflammation, cramps, insomnia, muscle spasms, stress 
285,black cherry og, pain, depression, nausea, stress, insomnia 
286,black cherry pie, pain, insomnia, stress, eye pressure, depression 
287,black cherry soda, stress, depression, pain, fatigue, nausea 
288,black dog, stress, insomnia, depression, muscle spasms, lack of appetite 
289,black dhalia, pain, stress, insomnia, depression, nausea 
290,black diamond, stress, depression, insomnia, lack of appetite, pain 
291,black diesel, stress, pain, depression, fatigue, lack of appetite 
292,black domina, pain, stress, insomnia, cramps, muscle spasms 
293,black haze, stress, depression, lack of appetite, pain, nausea 
294,black ice, stress, insomnia, pain, depression, headaches 
295,black jack, stress, depression, pain, lack of appetite, inflammation 
296,black label, eye pressure, lack of appetite, depression, fatigue, stress 
297,black label kush, insomnia, stress, pain, depression, headaches 
298,black lime special reserve, stress, pain, insomnia, depression, cramps 
299,black magic, depression, pain, cramps, inflammation, insomnia 
300,black magic kush, insomnia, stress, depression, muscle spasms, headaches 
301,black mamba, stress, insomnia, pain, depression, lack of appetite 
302,black out, headaches, nausea, pain, spasticity, stress 
303,black label, eye pressure, lack of appetite, depression, fatigue, stress 
304,black label kush, insomnia, stress, pain, depression, headaches 
305,black lime special reserve, stress, pain, insomnia, depression, cramps 
306,black magic, depression, pain, cramps, inflammation, insomnia 
307,black magic kush, insomnia, stress, depression, muscle spasms, headaches 
308,black mamba, stress, insomnia, pain, depression, lack of appetite 
309,black out, headaches, nausea, pain, spasticity, stress 
310,black raspberry, stress, depression, lack of appetite, pain, nausea 
311,black roses, pain, headaches, insomnia ,,
312,black russian, eye pressure, stress, pain, insomnia, depression 
313,black triangle, stress, fatigue, cramps, inflammation, depression 
314,black tuna, pain, insomnia, headaches, inflammation, muscle spasms 
315,black velvet, stress, pain, inflammation, depression, nausea 
316,black widow, stress, headaches, inflammation, depression, pain 
317,blackberry, stress, depression, pain, insomnia, nausea 
318,blackberry bubble, pain, stress, depression, lack of appetite, nausea 
319,blackberry chem og, depression, stress, pain, muscle spasms ,
320,blackberry cream, pain, stress, muscle spasms, spasticity, insomnia 
321,blackberry diesel, stress, depression, lack of appetite, fatigue, headaches 
322,blackberry dream, depression, pain, eye pressure, headaches, muscle spasms 
323,blackberry fire, fatigue, inflammation, lack of appetite, muscle spasms, nausea 
324,blackberry hashplant, eye pressure, pain, stress, insomnia, nausea 
325,blackberry haze, depression, stress, pain, muscle spasms, fatigue 
326,blackberry kush, insomnia, stress, pain, depression, lack of appetite 
327,blackberry lime haze, stress, depression, pain, fatigue, muscle spasms 
328,blackberry pie, pain, cramps, depression, headaches, inflammation 
329,blackberry rhino, stress, pain, insomnia, muscle spasms, depression 
330,blackberry snow cone, depression, eye pressure, muscle spasms ,,
331,blackberry trainwreck, stress, insomnia, lack of appetite, depression, pain 
332,blackberry x blueberry, pain, inflammation, stress, depression, insomnia 
333,blackwater, stress, pain, insomnia, depression, lack of appetite 
334,blaze, stress, depression, inflammation, insomnia, spasticity 
335,bleugenius, headaches ,,,,
336,blissful wizard, pain, depression, stress, muscle spasms, inflammation 
337,blizzard bush, depression, fatigue, inflammation, pain, stress 
338,blob og, depression, stress, headaches, pain, muscle spasms 
339,blockhead, insomnia, depression, lack of appetite, pain, stress 
340,bloos kloos, stress, headaches, pain, cramps, eye pressure 
341,blood orange kush, pain, stress, depression, insomnia, headaches 
342,bloodhound, stress, depression, pain, fatigue, headaches 
343,bloodwalker, muscle spasms, pain, depression, headaches, inflammation 
344,blowfish, insomnia, pain, stress, headaches, muscle spasms 
345,blucifer, depression, headaches, stress, lack of appetite, nausea 
346,blue afghani, stress, depression, pain, insomnia, lack of appetite 
347,blue alien, fatigue, stress, pain, muscle spasms, nausea 
348,blue bastard, stress, pain, insomnia, depression, muscle spasms 
349,blue bayou, stress, depression, fatigue, inflammation, insomnia 
350,blue blood, stress, pain, inflammation, depression, muscle spasms 
351,blue boy, stress, pain, depression, muscle spasms, fatigue 
352,blue buddha, depression, fatigue, headaches, insomnia, lack of appetite 
353,blue champange, stress, depression, muscle spasms, pain, fatigue 
354,blue cheese, stress, pain, depression, insomnia, cramps 
355,blue cinex, inflammation, depression, stress, fatigue, pain 
356,blue bastard, stress, pain, insomnia, depression, muscle spasms 
357,blue bayou, stress, depression, fatigue, inflammation, insomnia 
