,strain,parent_1,parent_2,parent_3,parent_4,parent_5,parent_6,parent_7
2865,sour og,sour diesel,og kush,n,n,n,n,n
2866,sour patch kiss,kimbo kush,sour kush,n,n,n,n,n
2867,sour pebbles,fruity pebbles,n,n,n,n,n,n
2868,sour poison,sour diesel,durban poison,n,n,n,n,n
2869,sour power,starbud,east coast sour diesel,n,n,n,n,n
2870,sour power og,biker kush,sour power,n,n,n,n,n
2871,sour sorbet,sour diesel,n,n,n,n,n,n
2872,sour space candy,sour tsunami,n,n,n,n,n,n
2873,sour spyder,n,n,n,n,n,n,n
2874,sour star head,sour tangie,star killer,n,n,n,n,n
2875,sour strawberry,n,n,n,n,n,n,n
2876,sour strawberry diesel,n,n,n,n,n,n,n
2877,sour sunset,sour diesel,n,n,n,n,n,n
2878,sour tangie,east coast sour diesel,tangie,n,n,n,n,n
2879,sour tsunami,sour diesel,nyc diesel,n,n,n,n,n
2880,sour urkle,sour diesel,purple urkle,n,n,n,n,n
2881,sour willie,sour diesel,willie nelson,n,n,n,n,n
2882,sourlope,nyc diesel,cannalope haze,n,n,n,n,n
2883,south american,n,n,n,n,n,n,n
2884,south asian indica,n,n,n,n,n,n,n
2885,south asian sativa,n,n,n,n,n,n,n
2886,south central la,n,n,n,n,n,n,n
2887,south indian indica,n,n,n,n,n,n,n
2888,south indian sativa,n,n,n,n,n,n,n
2889,southern lights,nyc diesel,sensi star,n,n,n,n,n
2890,space bomb,space queen,n,n,n,n,n,n
2891,space cake,snow lotus,n,n,n,n,n,n
2892,space candy,space queen,cotton candy kush,n,n,n,n,n
2893,space cream,space queen,timewreck,n,n,n,n,n
2894,space dawg,super snow dog,space queen,n,n,n,n,n
2895,space jill,space queen,n,n,n,n,n,n
2896,space monster,afghani,n,n,n,n,n,n
2897,space needle,blue dream,vortex,n,n,n,n,n
2898,space poison,apollo 13,mozambique poison,n,n,n,n,n
2899,space queen,romulan,cinderella 99,n,n,n,n,n
2900,special k,n,n,n,n,n,n,n
2901,special kush 1,afghani,n,n,n,n,n,n
2902,special sauce,n,n,n,n,n,n,n
2903,spicy disco,og kush,jack herer,n,n,n,n,n
2904,spiked punch,purple punch,larry og,n,n,n,n,n
2905,spirit of 76,n,n,n,n,n,n,n
2906,spliff’s strawberry,strawberry cough,jack herer,skunk no 1,n,n,n,n
2907,spoetnik 1,n,n,n,n,n,n,n
2908,spumoni,do-si-dos,sherbert,n,n,n,n,n
2909,sputnik,apollo 13,black russian,n,n,n,n,n
2910,spyder mon,super skunk,charlottes web,n,n,n,n,n
2911,star 47,sensi star,ak-47,n,n,n,n,n
2912,star berry indica,blueberry,sensi star,n,n,n,n,n
2913,star killer,mazar x blueberry og,n,n,n,n,n,n
2914,star master kush,sensi star,master kush,medicine man,platinum kush,n,n,n
2915,star pupil,thai,afghani,n,n,n,n,n
2916,star tonic,death star,cannatonic,n,n,n,n,n
2917,starbud,n,n,n,n,n,n,n
2918,stardawg,chemdog 4,tres dawg,n,n,n,n,n
2919,stardawg 91,stardawg,chemdog 91,n,n,n,n,n
2920,star berry indica,blueberry,sensi star,n,n,n,n,n
2921,star killer,mazar x blueberry og,n,n,n,n,n,n
2922,star master kush,sensi star,master kush,medicine man,platinum kush,n,n,n
2923,star pupil,thai,afghani,n,n,n,n,n
2924,star tonic,death star,cannatonic,n,n,n,n,n
2925,starbud,n,n,n,n,n,n,n
2926,stardawg,chemdog 4,tres dawg,n,n,n,n,n
2927,stardawg 91,stardawg,chemdog 91,n,n,n,n,n
2928,stardawg guava,chemdawg 4,n,n,n,n,n,n
2929,starfighter,tahoe alien,lemon alien dawg,n,n,n,n,n
2930,starman,n,n,n,n,n,n,n
2931,starry night,n,n,n,n,n,n,n
2932,stashsquatch,gsc,true og,n,n,n,n,n
2933,stella blue,blueberry,n,n,n,n,n,n
2934,stephen hawking kush,harle-tsu,sin city kush,n,n,n,n,n
2935,stevie wonder,trainwreck,sensi star,bubba kush,blueberry,n,n,n
2936,stinky pete,og kush,vortex,n,n,n,n,n
2937,stoopid fruits,n,n,n,n,n,n,n
2938,straight as haze,delahaze,n,n,n,n,n,n
2939,strange brew,sweet skunk,snow lotus,n,n,n,n,n
2940,strawberries &amp; cream,strawberry,cookies and cream,n,n,n,n,n
2941,strawberry,n,n,n,n,n,n,n
2942,strawberry alien kush,strawberry cough,alien kush,n,n,n,n,n
2943,strawberry amnesia,strawberry cough,amnesia,n,n,n,n,n
2944,strawberry banana,banana kush,bubble gum,n,n,n,n,n
2945,strawberry blonde,super lemon haze,n,n,n,n,n,n
2946,strawberry blondie,strawberry banana,banana og,n,n,n,n,n
2947,strawberry blue,strawberry,n,n,n,n,n,n
2948,strawberry cheesecake,white widow,cheese,chronic,n,n,n,n
2949,strawberry cough,n,n,n,n,n,n,n
2950,strawberry diesel,nyc diesel,strawberry cough,n,n,n,n,n
2951,strawberry dream,n,n,n,n,n,n,n
2952,strawberry durban diesel,strawberry cough,durban poison,n,n,n,n,n
2953,strawberry fields,strawberry cough,n,n,n,n,n,n
2954,strawberry frost,strawberry cough,deep chunk,space queen,n,n,n,n
2955,strawberry ice,n,n,n,n,n,n,n
2956,strawberry kush,strawberry cough,og kush,n,n,n,n,n
2957,strawberry lemonade,strawberry cough,lemon og kush,n,n,n,n,n
2958,n,n,n,n,n,n,n,n
2959,strawberry milkshake,white fire alien og,n,n,n,n,n,n
2960,strawberry og,bruce banner,sfv og,n,n,n,n,n
2961,strawberry satori,strawberry cough,satori,n,n,n,n,n
2962,strawberry shortcake,the white,n,n,n,n,n,n
2963,strawberry snow cone,n,n,n,n,n,n,n
2964,strawberry sorbet,n,n,n,n,n,n,n
2965,sublime,n,n,n,n,n,n,n
2966,sugar black rose,black domina,critical mass,n,n,n,n,n
2967,sugar breath,do-si-dos,ogkb,n,n,n,n,n
2968,sugar calyx,dutch treat,grape calyx,n,n,n,n,n
2969,sugar cookie,blue hawaiian,sensi star,crystal gayle,n,n,n,n
2970,sugar kush,n,n,n,n,n,n,n
2971,sugar mama,big bud,blueberry,n,n,n,n,n
2972,sugar pine,afghani,skunk no 1,n,n,n,n,n
2973,sugar plum,n,n,n,n,n,n,n
2974,sugar plum sunset,pre-98 bubba kush,katsu bubba kush,n,n,n,n,n
2975,sugar punch,super silver haze,the one,n,n,n,n,n
2976,sugar calyx,dutch treat,grape calyx,n,n,n,n,n
2977,sugar cookie,blue hawaiian,sensi star,crystal gayle,n,n,n,n
2978,sugar kush,n,n,n,n,n,n,n
2979,sugar mama,big bud,blueberry,n,n,n,n,n
2980,sugar pine,afghani,skunk no 1,n,n,n,n,n
2981,sugar plum,n,n,n,n,n,n,n
2982,sugar plum sunset,pre-98 bubba kush,katsu bubba kush,n,n,n,n,n
2983,sugar punch,super silver haze,the one,n,n,n,n,n
2984,sugar shack,n,n,n,n,n,n,n
2985,suicide girl,og poison,platinum gsc,n,n,n,n,n
2986,summer breeze,n,n,n,n,n,n,n
2987,summertime squeeze,n,n,n,n,n,n,n
2988,sumo grande,hong kong,n,n,n,n,n,n
2989,sumos og kush,og kush,la confidential,mendocino purps,n,n,n,n
2990,sun ra,sunburn,rebel god smoke,n,n,n,n,n
2991,sunburn,island sweet skunk,rug burn og,n,n,n,n,n
2992,sundae driver,fpog,n,n,n,n,n,n
2993,sunlight skunk,skunk no 1,n,n,n,n,n,n
2994,sunny d,tangie,n,n,n,n,n,n
2995,sunset,n,n,n,n,n,n,n
2996,sunset fire,n,n,n,n,n,n,n
2997,sunset haze,tangerine haze,n,n,n,n,n,n
2998,sunshine,n,n,n,n,n,n,n
2999,sunshine 4,sunshine daydream,chemdawg 4,n,n,n,n,n
3000,sunshine daydream,appalachia,bubba kush,blue moonshine,n,n,n,n
3001,supa don,trainwreck,dj short blueberry,n,n,n,n,n
3002,super  chronic,chronic,critical kush,n,n,n,n,n
3003,super blue dream,super silver haze,blue dream,n,n,n,n,n
3004,super bud,big bud,skunk 1,n,n,n,n,n
3005,super cat piss,n,n,n,n,n,n,n
3006,super cheese,cheese,exodus cheese,n,n,n,n,n
3007,super g,g13,super silver haze,n,n,n,n,n
3008,super glu,original glue,n,n,n,n,n,n
3009,super green crack,super silver haze,green crack,n,n,n,n,n
3010,super jack,super silver haze,jack herer,n,n,n,n,n
3011,super kush,northern lights 5,hindu kush,n,n,n,n,n
3012,super lemon haze,lemon skunk,super silver haze,n,n,n,n,n
3013,super lemon og,super lemon haze,n,n,n,n,n,n
3014,super silver bullet,red rhino,n,n,n,n,n,n
3015,super silver hash plant,super silver haze,n,n,n,n,n,n
3016,super silver haze,northern lights,haze,skunk no 1,n,n,n,n
3017,super silver lights,super silver haze,northern lights,n,n,n,n,n
3018,n,n,n,n,n,n,n,n
3019,super snow dog,chemdawg,super skunk,n,n,n,n,n
3020,super snow lotus,snow lotus,super skunk,n,n,n,n,n
3021,super sour diesel,super silver haze,sour diesel,n,n,n,n,n
3022,super sour lemon,lemon og kush,california sour,n,n,n,n,n
3023,super sour og,blueberry,sour diesel,og kush,lost coast og,n,n,n
3024,super sour skunk,east coast sour diesel,super skunk,n,n,n,n,n
3025,super sour widow,super sour diesel,white widow,n,n,n,n,n
3026,super sweet,n,n,n,n,n,n,n
3027,supergirl,skunk no 1,n,n,n,n,n,n
3028,superglue,northern lights,afghani,n,n,n,n,n
3029,superman og,tahoe og kush,bubba kush,n,n,n,n,n
3030,supermax og,og kush,n,n,n,n,n,n
3031,supernatural,grape ape,the flav,n,n,n,n,n
3032,super sour skunk,east coast sour diesel,super skunk,n,n,n,n,n
3033,super sour widow,super sour diesel,white widow,n,n,n,n,n
3034,super sweet,n,n,n,n,n,n,n
3035,supergirl,skunk no 1,n,n,n,n,n,n
3036,superglue,northern lights,afghani,n,n,n,n,n
3037,superman og,tahoe og kush,bubba kush,n,n,n,n,n
3038,supermax og,og kush,n,n,n,n,n,n
3039,supernatural,grape ape,the flav,n,n,n,n,n
3040,supernova,n,n,n,n,n,n,n
3041,superstar,starfighter,supernatural,n,n,n,n,n
3042,suver haze,n,n,n,n,n,n,n
3043,suzy q,n,n,n,n,n,n,n
3044,swazi gold,african,n,n,n,n,n,n
3045,sweet &amp; sour cindy,sour bubble,n,n,n,n,n,n
3046,sweet amnesia haze,amnesia haze,n,n,n,n,n,n
3047,sweet baby jane,afghooey,n,n,n,n,n,n
3048,sweet berry,chernobyl,blueberry,n,n,n,n,n
3049,sweet black angel,super silver haze,black domina,n,n,n,n,n
3050,sweet cheese,cheese,black jack,n,n,n,n,n
3051,sweet cindy,sweet tooth,cinderella 99,bog bubble,n,n,n,n
3052,sweet deep grapefruit,grapefruit,blueberry,n,n,n,n,n
3053,sweet diesel,n,n,n,n,n,n,n
3054,sweet dream,gupta kush,n,n,n,n,n,n
3055,sweet dreams,n,n,n,n,n,n,n
3056,sweet dreams,n,n,n,n,n,n,n
3057,sweet harlem diesel,sour diesel,n,n,n,n,n,n
3058,sweet hawaiian tangie banana,hawai’i ‘78,double tangie banana,tangie,n,n,n,n
3059,sweet jane,skunk no 1,n,n,n,n,n,n
3060,sweet jesus,jesus og,n,n,n,n,n,n
3061,sweet kush,n,n,n,n,n,n,n
3062,sweet lafayette,frankenstein,lemon og kush,n,n,n,n,n
3063,sweet nina,hindu kush,n,n,n,n,n,n
3064,sweet pebbles,fruity pebbles,sour pebbles,n,n,n,n,n
3065,sweet pure cbd,n,n,n,n,n,n,n
3066,sweet skunk,northern lights,skunk no 1,n,n,n,n,n
3067,sweet tooth,afghani,nepalese,hawaiian,n,n,n,n
3068,sweet valley kush,n,n,n,n,n,n,n
3069,sweet and sour widow,white widow,n,n,n,n,n,n
3070,sweeties,the white,tahoe og kush,gsc,n,n,n,n
3071,swiss bliss,n,n,n,n,n,n,n
3072,swiss gold,n,n,n,n,n,n,n
3073,swiss indica,n,n,n,n,n,n,n
3074,swiss sativa,n,n,n,n,n,n,n
3075,swiss tsunami,swiss gold,sour tsunami,n,n,n,n,n
3076,thc bomb,n,n,n,n,n,n,n
3077,tjs cbd,n,n,n,n,n,n,n
3078,tachllta till,skunk no 1,sharksbreath,n,n,n,n,n
3079,tahoe alien,tahoe og kush,alien kush,n,n,n,n,n
3080,tahoe frostbite,tahoe og kush,frostbite,n,n,n,n,n
3081,tahoe hydro champagne,jesus og,n,n,n,n,n,n
3082,tahoe hydro og,tahoe og kush,og 18,n,n,n,n,n
3083,n,n,n,n,n,n,n,n
3084,tahoe purps,tahoe hydro og,granddaddy purple,n,n,n,n,n
3085,taliban poison,n,n,n,n,n,n,n
3086,tangelo,tangerine sunrise,n,n,n,n,n,n
3087,tangelo kush,chemdawg,burmese kush,n,n,n,n,n
3088,tahoe frostbite,tahoe og kush,frostbite,n,n,n,n,n
3089,tahoe hydro champagne,jesus og,n,n,n,n,n,n
3090,tahoe hydro og,tahoe og kush,og 18,n,n,n,n,n
3091,n,n,n,n,n,n,n,n
3092,tahoe purps,tahoe hydro og,granddaddy purple,n,n,n,n,n
3093,taliban poison,n,n,n,n,n,n,n
3094,tangelo,tangerine sunrise,n,n,n,n,n,n
3095,tangelo kush,chemdawg,burmese kush,n,n,n,n,n
3096,tangenesia,tangerine haze,n,n,n,n,n,n
3097,tangerine,n,n,n,n,n,n,n
3098,tangerine dream,g13,afghani,nevilles haze,n,n,n,n
3099,tangerine haze,g13 haze,nyc diesel,n,n,n,n,n
3100,tangerine kush,tangerine haze,rare dankness 1,n,n,n,n,n
3101,tangerine man,n,n,n,n,n,n,n
3102,tangerine power,agent orange,blue power,n,n,n,n,n
3103,tangerine sunrise,n,n,n,n,n,n,n
3104,tangerine trainwreck haze,tangerine haze,nevils wreck,n,n,n,n,n
3105,tangie,california orange,n,n,n,n,n,n
3106,tangie biscotti,n,n,n,n,n,n,n
3107,tangie cookies,n,n,n,n,n,n,n
3108,tangie dream,blue dream,tangie,n,n,n,n,n
3109,tangie ghost train,tangie,ghost train haze,n,n,n,n,n
3110,tangie sunrise,jack herer,orange crush,n,n,n,n,n
3111,tangier chilly,tangie,larry og,n,n,n,n,n
3112,tangilope,tangie,chocolope,n,n,n,n,n
3113,tango kush,mango kush,n,n,n,n,n,n
3114,tardis,trainwreck,oregon diesel,n,n,n,n,n
3115,tarmonster,gsc,scooby snacks,n,n,n,n,n
3116,tembo kush,durban poison,og kush,n,n,n,n,n
3117,terminator og,og kush,n,n,n,n,n,n
3118,tesla,harle-tsu,n,n,n,n,n,n
3119,tesla tower,white fire og,snowcap,n,n,n,n,n
3120,thai,n,n,n,n,n,n,n
3121,thai fantasy,thai,black domina,n,n,n,n,n
3122,thai girl,tres dawg,thai,n,n,n,n,n
3123,thai haze,thai,haze,n,n,n,n,n
3124,thai lights,northern lights,thai,n,n,n,n,n
3125,thai-tanic,thai,skunk no 1,n,n,n,n,n
3126,thaidal wave,thai,n,n,n,n,n,n
3127,the big dirty,girl scout cookies,tangie,white fire og,n,n,n,n
3128,the black,n,n,n,n,n,n,n
3129,the bling,gelato,n,n,n,n,n,n
3130,the blintz,cheese quake,n,n,n,n,n,n
3131,the blood,kona gold,n,n,n,n,n,n
3132,the boss,n,n,n,n,n,n,n
3133,the brotherhood,n,n,n,n,n,n,n
3134,the cbg blend,pink lemonade,black cherry soda,original glue,ace of spades,n,n,n
3135,the cough,northern lights 5,haze,n,n,n,n,n
3136,the doctor,great white shark,super skunk,south indian indica,n,n,n,n
3137,the flav,romulan,space queen,n,n,n,n,n
3138,the forbidden candy,n,n,n,n,n,n,n
3139,the fork,n,n,n,n,n,n,n
3140,the fuzz,chemdog 91,appalachia,n,n,n,n,n
3141,the gift,ringos gift,n,n,n,n,n,n
3142,the grunk,grape ape,skunk 1,n,n,n,n,n
3143,the guice,n,n,n,n,n,n,n
3144,the doctor,great white shark,super skunk,south indian indica,n,n,n,n
3145,the flav,romulan,space queen,n,n,n,n,n
3146,the forbidden candy,n,n,n,n,n,n,n
3147,the fork,n,n,n,n,n,n,n
3148,the fuzz,chemdog 91,appalachia,n,n,n,n,n
3149,the gift,ringos gift,n,n,n,n,n,n
3150,the grunk,grape ape,skunk 1,n,n,n,n,n
3151,the guice,n,n,n,n,n,n,n
3152,the hog,north american indica,n,n,n,n,n,n
3153,the lime,cactus cooler,the original lemonnade,n,n,n,n,n
3154,the loops,granddaddy purple,og kush,n,n,n,n,n
3155,the ox,bubba kush,blue moonshine,n,n,n,n,n
3156,the one,n,n,n,n,n,n,n
3157,the ooze,green crack,white fire alien og,n,n,n,n,n
3158,the original lemonnade,n,n,n,n,n,n,n
3159,the real mccoy,hawaiian,skunk no 1,n,n,n,n,n
3160,the sauce,green ribbon,gorilla glue 4,n,n,n,n,n
3161,the sheriff,chemdawg 91,sfv og kush,n,n,n,n,n
3162,the sister,nepalese,thai,n,n,n,n,n
3163,the third dimension,apollo 13,jacks cleaner,space queen,n,n,n,n
3164,the truth,triangle kush,chemdawg,sfv og,n,n,n,n
3165,the vision,lemon g,do-si-dos,n,n,n,n,n
3166,the void,apollo 13,querkle,n,n,n,n,n
3167,n,n,n,n,n,n,n,n
3168,the white angel,white widow,sfv og,n,n,n,n,n
3169,the wife,n,n,n,n,n,n,n
3170,the wills,willys wonder,n,n,n,n,n,n
3171,thelonious skunk,island sweet skunk,nina limone,n,n,n,n,n
3172,n,n,n,n,n,n,n,n
3173,think different,n,n,n,n,n,n,n
3174,thors hammer,vortex,cinderella 99,acapulco gold,n,n,n,n
3175,three blue kings,blue dream,headband,sour diesel,og kush,n,n,n
3176,throwback kush,og kush,green ribbon,n,n,n,n,n
3177,thunderbird rose,blue dream,og kush,n,n,n,n,n
3178,thunderstruck,acdc,n,n,n,n,n,n
3179,tickle kush,chemdawg,la kush,n,n,n,n,n
3180,tiger woods,n,n,n,n,n,n,n
3181,tigers milk,bubba kush,appalachia,n,n,n,n,n
3182,tigermelon,chemdawg,apollo 11,n,n,n,n,n
3183,tillamook strawberry,bruce banner,n,n,n,n,n,n
3184,timewreck,vortex,timewreck,trinity,n,n,n,n
3185,tina,starbud,n,n,n,n,n,n
3186,tina danza,triangle kush,n,n,n,n,n,n
3187,titans haze,haze,skunk no 1,n,n,n,n,n
3188,tokyo og,og kush,n,n,n,n,n,n
3189,tommys home grown,n,n,n,n,n,n,n
3190,tonics web,charlottes web,n,n,n,n,n,n
3191,tora bora,la confidential,n,n,n,n,n,n
3192,toxic,n,n,n,n,n,n,n
3193,toxic punch,white widow,casey jones,blueberry,n,n,n,n
3194,training day,trainwreck,la confidential,n,n,n,n,n
3195,trainwreck,mexican,thai,afghani,n,n,n,n
3196,tranquil elephantizer: remix,hash plant,g13,n,n,n,n,n
3197,transformer,n,n,n,n,n,n,n
3198,trap star,la og,n,n,n,n,n,n
3199,trash,purple trainwreck,hash plant,n,n,n,n,n
3200,toxic,n,n,n,n,n,n,n
3201,toxic punch,white widow,casey jones,blueberry,n,n,n,n
3202,training day,trainwreck,la confidential,n,n,n,n,n
3203,trainwreck,mexican,thai,afghani,n,n,n,n
3204,tranquil elephantizer: remix,hash plant,g13,n,n,n,n,n
3205,transformer,n,n,n,n,n,n,n
3206,trap star,la og,n,n,n,n,n,n
3207,trash,purple trainwreck,hash plant,n,n,n,n,n
3208,travel joint,monster cookies,alien kush,stardawg,n,n,n,n
3209,treasure island,swiss gold,acdc,n,n,n,n,n
3210,tree of life,trainwreck,mendocino purps,n,n,n,n,n
3211,tres dawg,afghani,chemdog,n,n,n,n,n
3212,trewbacca,n,n,n,n,n,n,n
3213,triangle kush,n,n,n,n,n,n,n
3214,trident,n,n,n,n,n,n,n
3215,trifecta,apollo 11,apollo 13,cinderella 99,n,n,n,n
3216,trinity,north american,n,n,n,n,n,n
3217,triple cheese,cheese,blue cheese,n,n,n,n,n
3218,triple diesel,sour diesel,strawberry diesel,nyc diesel,n,n,n,n
3219,triple scoop,super silver haze,n,n,n,n,n,n
3220,trix,n,n,n,n,n,n,n
3221,trophy wife,the wife,n,n,n,n,n,n
3222,tropic thunder,maui wowie,n,n,n,n,n,n
3223,tropical tang,n,n,n,n,n,n,n
3224,tropicali,n,n,n,n,n,n,n
3225,tropicana cookies,tangie,n,n,n,n,n,n
3226,tropicana punch,n,n,n,n,n,n,n
3227,true face,true og,face off og,n,n,n,n,n
3228,true love,juicy fruit,n,n,n,n,n,n
3229,true og,og kush,n,n,n,n,n,n
3230,true x,true og,c4,n,n,n,n,n
3231,trueberry,true og,strawberry banana,blackberry,n,n,n,n
3232,truffle butter,gelato,chocolate kush,n,n,n,n,n
3233,truffula tree,cookie monster,kandy kush,humboldt,n,n,n,n
3234,truth serum,g13,trinity,pineapple,n,n,n,n
3235,tuna kush,hindu kush,n,n,n,n,n,n
3236,tuna og,og kush,black tuna,n,n,n,n,n
3237,turbo mind warp,n,n,n,n,n,n,n
3238,tutankhamon,ak-47,n,n,n,n,n,n
3239,tutti frutti,blue haze,green haze,sour diesel,haze,lowryder,thai,n
3240,twista,n,n,n,n,n,n,n
3241,twisted citrus,n,n,n,n,n,n,n
3242,two beards,n,n,n,n,n,n,n
3243,tyson,n,n,n,n,n,n,n
3244,u2 kush,n,n,n,n,n,n,n
3245,uk cheese,skunk no 1,n,n,n,n,n,n
3246,uw,n,n,n,n,n,n,n
3247,ultimate trainwreck,n,n,n,n,n,n,n
3248,ultra banana,banana kush,mk ultra,n,n,n,n,n
3249,ultra sonja,uk cheese,n,n,n,n,n,n
3250,ultra sour,mk ultra,east coast sour diesel,n,n,n,n,n
3251,ultraviolet og,face off og,north american indica,n,n,n,n,n
3252,urkle train haze,ghost train haze,purple urkle,n,n,n,n,n
3253,vcdc,acdc,n,n,n,n,n,n
3254,vots az super sour og,n,n,n,n,n,n,n
3255,vader og,sfv og,larry og,n,n,n,n,n
3256,ultra banana,banana kush,mk ultra,n,n,n,n,n
3257,ultra sonja,uk cheese,n,n,n,n,n,n
3258,ultra sour,mk ultra,east coast sour diesel,n,n,n,n,n
3259,ultraviolet og,face off og,north american indica,n,n,n,n,n
3260,urkle train haze,ghost train haze,purple urkle,n,n,n,n,n
3261,vcdc,acdc,n,n,n,n,n,n
3262,vots az super sour og,n,n,n,n,n,n,n
3263,vader og,sfv og,larry og,n,n,n,n,n
3264,valentine x,acdc,n,n,n,n,n,n
3265,valley ghash,g13,hash plant,sfv og kush,jacks cleaner,n,n,n
3266,valley girl,sfv og,face off og,n,n,n,n,n
3267,vanilla frosting,n,n,n,n,n,n,n
3268,vanilla gorilla,grease monkey,cookies and cream,n,n,n,n,n
3269,vanilla kush,afghani,south asian indica,n,n,n,n,n
3270,vanilluna,blueberry,n,n,n,n,n,n
3271,velvet bud,dutch treat,blueberry,n,n,n,n,n
3272,velvet krush,blue moonshine,n,n,n,n,n,n
3273,velvet purps,n,n,n,n,n,n,n
3274,venice og,n,n,n,n,n,n,n
3275,venom og,n,n,n,n,n,n,n
3276,venus og,n,n,n,n,n,n,n
3277,verde electric,n,n,n,n,n,n,n
3278,versace,sour diesel,og kush,granddaddy purple,n,n,n,n
3279,very berry haze,n,n,n,n,n,n,n
3280,very cherry,lemon kush,n,n,n,n,n,n
3281,vietnamese bubba,pre-98 bubba kush,n,n,n,n,n,n
3282,violator kush,hindu kush,n,n,n,n,n,n
3283,violet delight,green crack,blueberry,shishkaberry,n,n,n,n
3284,violeta,pakistani chitral kush,n,n,n,n,n,n
3285,viper,south asian,mexican,n,n,n,n,n
3286,vixen,dark side of the moon,n,n,n,n,n,n
3287,voodoo,thai,n,n,n,n,n,n
3288,vortex,apollo 13,space queen,n,n,n,n,n
3289,wmd,big bud,fucking incredible,n,n,n,n,n
3290,wsu,chemo,n,n,n,n,n,n
3291,wtf,harlequin,sour tsunami,cannatonic,n,n,n,n
3292,wabanaki,n,n,n,n,n,n,n
3293,waipio hapa,hawaiian,n,n,n,n,n,n
3294,wakanda og,original glue,og kush,gsc,n,n,n,n
3295,waldo,n,n,n,n,n,n,n
3296,walker kush,albert walker,rare dankness 1,n,n,n,n,n
3297,wally og,ghost og,phantom og,n,n,n,n,n
3298,walrus kush,n,n,n,n,n,n,n
3299,walter white,the white,n,n,n,n,n,n
3300,wappa,n,n,n,n,n,n,n
3301,warlock,skunk no 1,afghani,n,n,n,n,n
3302,washing machine,exodus cheese,bubba kush,n,n,n,n,n
3303,watermelon,n,n,n,n,n,n,n
3304,webster,n,n,n,n,n,n,n
3305,wedding cake,girl scout cookies,cherry pie,n,n,n,n,n
3306,wedding crasher,n,n,n,n,n,n,n
3307,weebe’s world,black domina,gelato,n,n,n,n,n
3308,wellness og,og kush,n,n,n,n,n,n
3309,wembley,ak-47,bubble gum,n,n,n,n,n
3310,west coast dawg,chemdawg,n,n,n,n,n,n
3311,west og,chemdawg,humboldt,n,n,n,n,n
3312,webster,n,n,n,n,n,n,n
3313,wedding cake,girl scout cookies,cherry pie,n,n,n,n,n
3314,wedding crasher,n,n,n,n,n,n,n
3315,weebe’s world,black domina,gelato,n,n,n,n,n
3316,wellness og,og kush,n,n,n,n,n,n
3317,wembley,ak-47,bubble gum,n,n,n,n,n
3318,west coast dawg,chemdawg,n,n,n,n,n,n
3319,west og,chemdawg,humboldt,n,n,n,n,n
3320,wet dream,blue dream,haze,n,n,n,n,n
3321,wheres my bike,amnesia,biker kush,n,n,n,n,n
3322,whipped cherries,n,n,n,n,n,n,n
3323,whitaker blues,blueberry,n,n,n,n,n,n
3324,white 99,cinderella 99,the white,n,n,n,n,n
3325,white bastard,dj short blueberry,god bud,n,n,n,n,n
3326,white berry,blueberry,white widow,n,n,n,n,n
3327,white bubblegum,snow white,bubble gum,n,n,n,n,n
3328,white buffalo,romulan,blackberry kush,bay 11,n,n,n,n
3329,white caramel cookie,girl scout cookies,white widow,purple urkle,caramella,n,n,n
3330,white castle,white widow,ice,n,n,n,n,n
3331,white cheese,super skunk,afghani,n,n,n,n,n
3332,white cherry truffle,chemdog,n,n,n,n,n,n
3333,white choco,white russian,chocolope,n,n,n,n,n
3334,white chocolate,chocolope,n,n,n,n,n,n
3335,white cookies,white widow,girl scout cookies,n,n,n,n,n
3336,white dawg,chemdog,white fire og,n,n,n,n,n
3337,white dawg fire og,white dawg,fire og,n,n,n,n,n
3338,white diesel,white widow,nyc diesel,n,n,n,n,n
3339,white domina,black domina,n,n,n,n,n,n
3340,white dragon,northern lights,afghani,n,n,n,n,n
3341,white dream,blue dream,white widow,n,n,n,n,n
3342,white durban,white fire og,durban poison,n,n,n,n,n
3343,white elephant,white widow,purple elephant,n,n,n,n,n
3344,white empress,white widow,cinderella 99,n,n,n,n,n
3345,white fire 43,white fire og,n,n,n,n,n,n
3346,white fire alien og,the white,fire alien kush,n,n,n,n,n
3347,n,n,n,n,n,n,n,n
3348,white girl,berry white,girl scout cookies,n,n,n,n,n
3349,white gold,white widow,himalayan gold,n,n,n,n,n
3350,white gorilla,gorilla glue 4,white fire alien og,n,n,n,n,n
3351,white harmony,durban poison,white widow,n,n,n,n,n
3352,white haze,haze,n,n,n,n,n,n
3353,white ice,northern lights,afghani,n,n,n,n,n
3354,white knight,n,n,n,n,n,n,n
3355,white kryptonite,white widow,kryptonite,n,n,n,n,n
3356,white kush,afghani,white widow,n,n,n,n,n
3357,white lsd,lsd,n,n,n,n,n,n
3358,white lavender,white widow,lavender,n,n,n,n,n
3359,white lemon,super lemon haze,el niño,n,n,n,n,n
3360,white lightning,white widow,northern lights 5,n,n,n,n,n
3361,white lotus,the white,snow lotus,n,n,n,n,n
3362,white master,n,n,n,n,n,n,n
3363,white moonshine,the white,blue moonshine,n,n,n,n,n
3364,white nightmare,blue dream,n,n,n,n,n,n
3365,white og,the white,sfv og kush,n,n,n,n,n
3366,white queen,white widow,n,n,n,n,n,n
3367,white rhino,white widow,north american indica,n,n,n,n,n
3368,white lightning,white widow,northern lights 5,n,n,n,n,n
