,strain,parent_1,parent_2
1649,pineapple cookies,  platinum girl scout cookies ,  og poison  
1650,pie hoe,tahoe og kush,
1651,pine cone,cinex,
1652,pine queen dream,blue dream,
1653,pineapple,ed rosenthal super bud,
1654,pineapple calyx,  pineapple og ,  pineapple cookies  
1655,pineapple calyx,  pineapple og ,  pineapple cookies  
1656,pineapple cookies,  platinum girl scout cookies ,  og poison  
1657,pineapple dog shit,chemdawg 4,
1658,pineapple express,  trainwreck ,  hawaiian  
1659,pineapple haze,  pineapple ,  haze  
1660,pineapple jack,  pineapple ,  jack herer  
1661,pineapple kush,  master kush ,  pineapple  
1662,pineapple og,  pineapple express ,  og kush  
1663,pineapple punch,skunk no. 1,
1664,pineapple purple skunk,  pineapple ,  purple skunk  
1665,pineapple sage,  cinderella 99 ,  sage  
1666,pineapple super silver haze,  super silver haze ,  pineapple  
1667,pineapple thai,thai,
1668,pineapple trainwreck,  pineapple express ,  trainwreck  
1669,pineapple upside down cake,  pineapple trainwreck ,  cookie monster  
1670,pineapple zest,ed rosenthal super bud,
1671,pineberry,ringo s gift,
1672,pink berry,  pink champagne ,  blackberry  
1673,pink bubba,  bubba kush ,  pink kush  
1674,pink champagne,  granddaddy purple ,  cherry pie  
1675,pink cookies,  gsc ,  cherry pie  
1676,pink death star,death star,
1677,pink hawaiian,  hawaiian ,  cotton candy kush  
1678,pink kush,og kush,
1679,pink panties,burmese kush,
1680,pink starburst,  dj short blueberry ,  headband  
1681,pink sunset,sunset sherbet,
1682,pinot green,  ak-47 ,  white widow  
1683,pirate radio,sour bubble,
1684,pitbull,  p-91 ,  sugar plum  
1685,placenta,  mother of all cherries ,  gmo cookies  
1686,platinum bubba kush,  platinum og ,  bubba kush  
1687,platinum calyx,platinum girl scout cookies,
1688,platinum gsc,  durban poison ,  og kush  
1689,platinum huckleberry cookies,platinum girl scout cookies,
1690,platinum kush,og kush,
1691,platinum og,  master kush ,  og kush  
1692,placenta,  mother of all cherries ,  gmo cookies  
1693,platinum bubba kush,  platinum og ,  bubba kush  
1694,platinum calyx,platinum girl scout cookies,
1695,platinum gsc,  durban poison ,  og kush  
1696,platinum huckleberry cookies,platinum girl scout cookies,
1697,platinum kush,og kush,
1698,platinum og,  master kush ,  og kush  
1699,platinum purple kush,purple kush,
1700,platinum sour diesel,  sour diesel ,  platinum og  
1701,platinum wreck,trainwreck,
1702,plum dawg millionaire,  gsc ,  chemdog 4  
1703,plushberry,  black cherry soda ,  space queen  
1704,poochie love,  dog shit ,  face off og  
1705,pot of gold,  hindu kush ,  skunk no. 1  
1706,powderhound,jack herer,
1707,power kush,  afghani ,  skunk no. 1  
1708,power plant,african,
1709,prayer tower,  appalachia ,  lemon thai  
1710,predator pink,  plushberry ,  starfighter  
1711,presidential og,  bubble gum ,  og kush  
1712,primus,  trainwreck ,  303 og  
1713,princess,jack herer,
1714,princess’s tiara," ""cinderella s dream""",  headband  
1715,prismatic jack,jack skellington,
1716,professor chaos,  jack the ripper ,  mad scientist  
1717,puna budder,  hawaiian ,  afghani  
1718,punky lion,chronic,
1719,punxsy punch,  fruity chronic juice ,  katsu bubba kush  
1720,pura vida,appalachia,
1721,pure afghan,afghani,
1722,pure kush,og kush,
1723,pure love,la confidential,
1724,pure og,og kush,
1725,pure power plant,  african ,  north american indica  
1726,purple ak 47,  granddaddy purple ,  ak-47  
1727,purple afghani,  purple kush ,  afghani  
1728,purple aurora,purple kush,
1729,purple berry,  granddaddy purple ,  blueberry  
1730,purple berry skunk,  purple skunk ,  blueberry  
1731,purple ak 47,  granddaddy purple ,  ak-47  
1732,purple afghani,  purple kush ,  afghani  
1733,purple aurora,purple kush,
1734,purple berry,  granddaddy purple ,  blueberry  
1735,purple berry skunk,  purple skunk ,  blueberry  
1736,purple bubba,  bubba kush ,  purple kush  
1737,purple buddha,mendocino purps,
1738,purple champagne,granddaddy purple,
1739,purple cheddar,  cheese ,  granddaddy purple  
1740,purple cheese,  blue cheese ,  lowryder  
1741,purple chemdawg,  chemdawg ,  granddaddy purple  
1742,purple cotton candy,  granddaddy purple ,  cotton candy kush  
1743,purple cow,  flo ,  dairy queen  
1744,purple crack,  green crack ,  blackwater  
1745,purple diesel,  pre-98 bubba kush ,  sour diesel  
1746,purple dog shit,  dog shit ,  purple urkle  
1747,purple dragon,  purple urkle ,  blue dragon  
1748,purple dream,  blue dream ,  granddaddy purple  
1749,purple frost,  obama kush ,  skunk no. 1  
1750,purple glue,  lvpk ,  original glue  
1751,purple goat,  trainwreck ,  blueberry skunk  
1752,purple happy rancher,  purple kush ,  happy rancher  
1753,purple haze,  haze ,  purple thai  
1754,purple headband,headband,
1755,purple hindu kush,  purple afghani ,  hindu kush  
1756,purple jack,  purple kush ,  jack herer  
1757,purple killer,  purple urkle ,  purple kush  
1758,purple kush,  hindu kush ,  purple afghani  
1759,purple linda,  haze ,  purple urkle  
1760,purple monkey balls,  afghani ,  mendocino purps  
1761,purple mr. nice,  granddaddy purple ,  mr. nice  
1762,purple og kush,  og kush ,  purple kush  
1763,purple pantera,  pink panther ,  grape krush  
1764,purple panty dropper,purple haze,
1765,purple paralysis,  power plant ,  lavender  
1766,purple pie,  uw ,  cherry pie  
1767,purple power,skunk no. 1,
1768,purple pantera,  pink panther ,  grape krush  
1769,purple panty dropper,purple haze,
1770,purple paralysis,  power plant ,  lavender  
1771,purple pie,  uw ,  cherry pie  
1772,purple power,skunk no. 1,
1773,purple punch,  larry og ,  granddaddy purple  
1774,purple raine,  og kush ,  chemdawg  
1775,purple rhino,  mendocino purps ,  white rhino  
1776,purple sage ,sage,
1777,purple skunk,skunk no. 1,
1778,purple sour diesel,  purple kush ,  sour diesel  
1779,purple swish,  purple urkle ,  rare dankness #1  
1780,purple tangie,tangie,
1781,purple tears,  querkle ,  delahaze  
1782,purple thai,  mexican ,  chocolate thai  
1783,purple tide,  og kush ,  granddaddy purple  
1784,purple trainwreck,  trainwreck ,  mendocino purps  
1785,purple urkle,mendocino purps,
1786,purple widow,white widow,
1787,purple wreck,  purple urkle ,  trainwreck  
1788,qleaner," ""jack s cleaner""",  querkle  
1789,quantum kush,timewreck,
1790,quebec gold,  m-39 ,  freezeland  
1791,queen mother goji,snow lotus,
1792,queen's panties,  dream queen ,  purple panty dropper  
1793,querkle,  purple urkle ,  space queen  
1794,querkle,  purple urkle ,  space queen  
1795,quin n tonic,  harlequin ,  cannatonic  
1796,qush,  pre-98 bubba kush ,  space queen  
1797,r 4,reclining buddha,
1798,r.k.s.,  afghani ,  thai  
1799,race fuel og,  og kush ,  face off og  
1800,rainbow,  blueberry ,  dancehall  
1801,rainbow jones,  casey jones ,  granddaddy purple  
1802,ramses,amnesia haze,
1803,rare darkness,  grape ape ,  rare dankness #1  
1804,raskal og,  og kush ,  sfv og kush  
1805,raspberry cough,  ice ,  cambodian  
1806,raspberry diesel,sour diesel,
1807,raspberry tart,amnesia haze,
1808,ramses,amnesia haze,
1809,rare darkness,  grape ape ,  rare dankness #1  
1810,raskal og,  og kush ,  sfv og kush  
1811,raspberry cough,  ice ,  cambodian  
1812,raspberry diesel,sour diesel,
1813,raspberry tart,amnesia haze,
1814,raw diesel,  nyc diesel ,  g13 haze  
1815,rebel berry og,  blueberry cheesecake ,  og kush  
1816,rebel god smoke,cinderella 99,
1817,rebel tangie kandy,  tangie ,  kandy kush  
1818,reclining buddha,  super skunk ,  hollands hope  
1819,recon,  la confidential ,  cannadential  
1820,red cherry berry,  skunk no. 1 ,  north american indica  
1821,red diesel,  nyc diesel ,  california orange  
1822,red dragon,  south american ,  afghani  
1823,red haze," ""neville s haze""",  south american  
1824,red headed stranger," ""willy s wonder""",  haze  
1825,red poison,  green poison ,  hindu kush  
1826,red rhino,master kush,
1827,red velvet pie,cherry pie,
1828,red widow,  red dragon ,  white widow  
1829,redd cross," ""spirit of  76""",  afghani  
1830,remedy,  cannatonic ,  afghan skunk  
1831,rene,  afghani ,  skunk no. 1  
1832,rene mist,  cannatonic ,  rene  
1833,richie rich,  northern lights #5 ,  skunk no. 1  
1834,riddler og,  sour dubble ,  master kush  
1835,ridge berry," ""chem s sister""",  sour dubble  
1836,rigger kush,hindu kush,
1837,ringo's gift,  harle-tsu ,  acdc  
1838,rip city purps,  purple urkle ,  sin city kush  
1839,ripped bubba,  pre-98 bubba kush ,  jack the ripper  
1840,rise ‘n’ shine,  green crack ,  sour bubble  
1841,river song,  dr. who ,  blue j  
1842,road dawg,  stardawg ,  biker kush  
1843,robert plant,  blue dream ,  rebel god smoke  
1844,rocket fuel,  jet fuel ,  face off og  
1845,rocklock,  warlock ,  rockstar  
1846,rockstar,  rockbud ,  sensi star  
1847,rockstar kush,  rockstar ,  bubba kush  
1848,rocky dennis,  flo ,  sour dubble  
1849,rocky mountain blueberry,  shishkaberry ,  blueberry  
1850,rocket fuel,  jet fuel ,  face off og  
1851,rocklock,  warlock ,  rockstar  
1852,rockstar,  rockbud ,  sensi star  
1853,rockstar kush,  rockstar ,  bubba kush  
1854,rocky dennis,  flo ,  sour dubble  
1855,rocky mountain blueberry,  shishkaberry ,  blueberry  
1856,rollex og kush,  white fire og ,  kuchi  
1857,rolls choice,  chemdawg ,  og kush  
1858,romulan,  north american indica ,  white rhino  
1859,romulan haze,  super silver haze ,  romulan  
1860,royal chemdawg,  chemdawg 91 ,  deadhead og  
1861,royal dwarf,skunk no. 1,
1862,royal highness,dancehall,
1863,royal kush,  afghani ,  skunk no. 1  
1864,royal tree sherbet,platinum girl scout cookies,
1865,rozé,zkittlez,
1866,rudeboi og,  face off og ,  irene og  
1867,rug burn og,ghost og,
1868,russian doll,  northern lights ,  ak-47  
1869,russian rocket fuel,nyc diesel,
1870,sage,  haze ,  afghani  
1871,sage walker,  albert walker ,  sage  
1872,sfv dog,  sfv og ,  chemdawg 4  
1873,sfv og,og kush,
1874,sfv og kush,  sfv og ,  afghani  
1875,sfv og kush,  sfv og ,  afghani  
1876,safety meeting,9 pound hammer,
1877,sage n sour,  sage ,  sour diesel  
1878,salmon river og,  pre-98 bubba kush ,  blue heron  
1879,samoa kush,  platinum gsc ,  bubba kush  
1880,santa maria,silver pearl,
1881,santa sativa,  haze ,  northern lights  
1882,sapphire scout,  girl scout cookies ,  true og  
1883,sapphire star,  blue hawaiian ,  god bud  
1884,sasquatch sap," ""chem s sister""",  chocolate diesel  
1885,satellite og,  og kush ,  sfv og  
1886,satori,lucid dream,
1887,satsuma,snow lotus,
1888,savage citrus sunshine,citrus sunshine haze,
1889,scooby snacks,  platinum girl scout cookies ,  face off og  
1890,scott's og,  triangle kush ,  rare dankness #1  
1891,satori,lucid dream,
1892,satsuma,snow lotus,
1893,savage citrus sunshine,citrus sunshine haze,
1894,scooby snacks,  platinum girl scout cookies ,  face off og  
1895,scott's og,  triangle kush ,  rare dankness #1  
1896,scout's honor,og kush,
1897,scroopy noopers,  gsc ,  stardawg  
1898,seattle cough,  haze ,  northern lights #5  
1899,seattle summer,gorilla cookies,
1900,seattlesoda,uw,
1901,secret garden og,  lavender ,  rug burn og  
1902,sensi skunk,skunk #1,
1903,sequoia strawberry,  white strawberry ,  white nightmare  
1904,serious 6,african,
1905,serious happiness,  ak-47 ,  warlock  
1906,sexxpot,mr. nice,
1907,shangri la,9 pound hammer,
1908,shark attack,  super skunk ,  white widow  
1909,shark shock,  white widow ,  skunk no. 1  
1910,sherbert,gsc,
1911,shining silver haze,super silver haze,
1912,shishkaberry,  dj short blueberry ,  afghani  
1913,shiskaquine,  shishkaberry ,  harlequin  
1914,shiva skunk,  northern lights #5 ,  skunk #1  
1915,shurman,  blueberry cheesecake ,  the white  
1916,siddhartha’s dream,buddha’s tooth,
1917,silver calyx,  grape calyx ,  gg4  
1918,silver cindy,rebel god smoke,
1919,silver haze,  northern lights ,  haze  
1920,silver kush,  silver bubble ,  og #18  
1921,silver train,  super silver haze ,  trainwreck  
1922,silverhawks og,  super silver haze ,  white fire alien og  
1923,silver train,  super silver haze ,  trainwreck  
1924,silverhawks og,  super silver haze ,  white fire alien og  
1925,sin city kush,  lvpk ,  super snow dog  
1926,sin valley og,  sfv og ,  blue power  
1927,sinmint cookies,  girl scout cookies ,  blue power  
1928,sizzurp,cookies and cream,
1929,skins skunk,afgoo,
1930,skunk 47,  skunk no. 1 ,  ak-47  
1931,skunk dawg,  super skunk ,  chemdawg  
1932,skunk+,  black domina ,  skunk no. 1  
1933,skunkberry,blueberry,
1934,skunky diesel,  skunk no. 1 ,  haze  
1935,sky lotus,  mazar x blueberry ,  snow lotus  
1936,sky master,  blue dream ,  master kush  
1937,slazerbeam,super lemon haze,
1938,sleeskunk,  sleestack ,  skunk no. 1  
1939,sleestack,  schrom ,  martian mean green  
1940,slice of heaven,iced grapefruit,
1941,slimer og,  ghost og ,  white fire alien og  
1942,smooth operator,  purple trainwreck ,  rug burn og  
1943,snoop's dream,  blue dream ,  master kush  
1944,snow bud,  afghani ,  african  
1945,snow diesel,  east coast sour diesel ,  snow lotus  
1946,snow leopard,snow lotus,
1947,snow lotus,  afgooey ,  blockhead  
1948,snow monster,  the white ,  starfighter  
1949,snow mountain,  snowcap ,  pure kush  
1950,snow white,white widow,
1951,snowland,  snowcap ,  la confidential  
1952,snowcap,haze,
1953,sojay haze,bc big bud,
1954,somango,  super skunk ,  jack herer  
1955,sonic screwdriver,trainwreck,
1956,soraya,  afghan kush ,  snow lotus  
1957,sorbet #4,original glue,
1958,snowcap,haze,
1959,sojay haze,bc big bud,
1960,somango,  super skunk ,  jack herer  
1961,sonic screwdriver,trainwreck,
1962,soraya,  afghan kush ,  snow lotus  
1963,sorbet #4,original glue,
1964,sorcerer’s apprentice,appalachia,
1965,sour alien,  sour diesel ,  alien kush  
1966,sour amnesia,  sour diesel ,  amnesia  
1967,sour ape,  sour diesel ,  grape ape  
1968,sour apple,  sour diesel ,  cinderella 99  
1969,sour blueberry,  blueberry ,  sour diesel  
1970,sour boggle,sour bubble,
1971,sour breath,  sour diesel ," ""lamb s bread"" "
1972,sour bubba,  sour diesel ,  bubba kush  
1973,sour bubble,bog bubble,
1974,sour candy,  sour diesel ,  bubble gum  
1975,sour cheese,  cheese ,  sour diesel  
1976,sour cherry sherbert,sunset sherbet,
1977,sour chunk,  deep chunk ,  east coast sour diesel  
1978,sour cookies,  girl scout cookies ,  sour diesel  
1979,sour cream,  sour diesel ,  g13 haze  
1980,sour diesel,  chemdog 91 ,  super skunk  
1981,sour dream,  sour diesel ,  blue dream  
1982,sour dubble,  sour diesel ,  sour bubble  
1983,sour flower,super silver haze,
1984,sour grape,  sour diesel ,  granddaddy purple  
1985,sour haze,  sour diesel ,  haze  
1986,sour headband,  sour diesel ,  headband  
1987,sour jack,  sour diesel ,  jack herer  
1988,sour joker,  amnesia haze ,  east coast sour diesel  
1989,sour kosher,  sour diesel ,  kosher kush  
1990,sour kush,  sour diesel ,  og kush  
1991,sour lsd,  sour bubble ,  lsd  
1992,sour lemon og,  california sour ,  lemon og kush  
1993,sour maui,  sour diesel ,  maui wowie  
1994,sour og,  sour diesel ,  og kush  
1995,sour patch kiss,  kimbo kush ,  sour kush  
1996,sour pebbles,fruity pebbles,
1997,sour poison,  sour diesel ,  durban poison  
1998,sour power,  starbud ,  east coast sour diesel  
1999,sour power og,  biker kush ,  sour power  
2000,sour sorbet,sour diesel,
2001,sour maui,  sour diesel ,  maui wowie  
2002,sour og,  sour diesel ,  og kush  
2003,sour patch kiss,  kimbo kush ,  sour kush  
2004,sour pebbles,fruity pebbles,
2005,sour poison,  sour diesel ,  durban poison  
2006,sour power,  starbud ,  east coast sour diesel  
2007,sour power og,  biker kush ,  sour power  
2008,sour sorbet,sour diesel,
2009,sour space candy,sour tsunami,
2010,sour star head,  sour tangie ,  star killer  
2011,sour sunset,sour diesel,
2012,sour tangie,  east coast sour diesel ,  tangie  
2013,sour tsunami,  sour diesel ,  nyc diesel  
2014,sour urkle,  sour diesel ,  purple urkle  
2015,sour willie,  sour diesel ,  willie nelson  
2016,sourlope,  nyc diesel ,  cannalope haze  
2017,southern lights,  nyc diesel ,  sensi star  
2018,space bomb,space queen,
2019,space cake,snow lotus,
2020,space candy,  space queen ,  cotton candy kush  
2021,space cream,  space queen ,  timewreck  
2022,space dawg,  super snow dog ,  space queen  
2023,space jill,space queen,
2024,space monster,afghani,
2025,space needle,  blue dream ,  vortex  
2026,space poison,  apollo 13 ,  mozambique poison  
2027,space queen,  romulan ,  cinderella 99  
2028,special kush #1,afghani,
2029,spicy disco,  og kush ,  jack herer  
2030,spiked punch,  purple punch ,  larry og  
2031,spumoni,  do-si-dos ,  sherbert  
2032,sputnik,  apollo 13 ,  black russian  
2033,spyder mon,  super skunk ," ""charlotte s web"" "
2034,star 47,  sensi star ,  ak-47  
2035,star berry indica,  blueberry ,  sensi star  
2036,star killer,mazar x blueberry og,
2037,star pupil,  thai ,  afghani  
2038,star tonic,  death star ,  cannatonic  
2039,stardawg,  chemdog 4 ,  tres dawg  
2040,stardawg 91,  stardawg ,  chemdog 91  
2041,star berry indica,  blueberry ,  sensi star  
2042,star killer,mazar x blueberry og,
2043,star pupil,  thai ,  afghani  
2044,star tonic,  death star ,  cannatonic  
2045,stardawg,  chemdog 4 ,  tres dawg  
2046,stardawg 91,  stardawg ,  chemdog 91  
2047,stardawg guava,chemdawg 4,
2048,starfighter,  tahoe alien ,  lemon alien dawg  
2049,stashsquatch,  gsc ,  true og  
2050,stella blue,blueberry,
2051,stephen hawking kush,  harle-tsu ,  sin city kush  
2052,stinky pete,  og kush ,  vortex  
2053,straight a's haze,delahaze,
2054,strange brew,  sweet skunk ,  snow lotus  
2055,strawberries & cream,  strawberry ,  cookies and cream  
2056,strawberry alien kush,  strawberry cough ,  alien kush  
2057,strawberry amnesia,  strawberry cough ,  amnesia  
2058,strawberry banana,  banana kush ,  bubble gum  
2059,strawberry blonde,super lemon haze,
2060,strawberry blondie,  strawberry banana ,  banana og  
2061,strawberry blue,strawberry,
2062,strawberry diesel,  nyc diesel ,  strawberry cough  
2063,strawberry durban diesel,  strawberry cough ,  durban poison  
2064,strawberry fields,strawberry cough,
2065,strawberry kush,  strawberry cough ,  og kush  
