,strain,flavor_1,flavor_2,flavor_3
1866,morning star, 1. citrus, 2. pine, 3. lime 
1867,mossad, 1. earthy, 2. lemon, 3. sweet 
1868,mossimo og, 1. honey, 2. mint, 3. lemon 
1869,motavation, 1. pungent, 2. flowery, 3. sweet 
1870,mother tongue, 1. pungent, 2. sweet, 3. earthy 
1871,mother of all cherries, 1. berry, 2. blueberry, 3. grapefruit 
1872,mother of berries, 1. berry, 2. sweet, 3. blueberry 
1873,mothers milk, 1. cheese, 2. earthy, 3. sweet 
1874,mothers finest, 1. earthy, 2. lemon, 3. pine 
1875,mothers helper, 1. earthy, 2. sweet, 3. citrus 
1876,motorbreath, 1. diesel, 2. pungent, 3. citrus 
1877,mountain girl, 1. earthy, 2. sage, 3. pungent 
1878,mountain thunder, 1. earthy, 2. pepper, 3. woody 
1879,mozambique poison, 1. earthy, 2. pine, 3. sweet 
1880,mr nice, 1. earthy, 2. pungent, 3. spicy/herbal 
1881,mr tusk, 1. citrus, 2. flowery, 3. sweet 
1882,ms universe, 1. vanilla, 2. pineapple, 3. sweet 
1883,mt cook, 1. ammonia, 2. citrus, 3. diesel 
1884,mt hood magic, 1. flowery, 2. earthy, 3. sage 
1885,mt rainier, 1. earthy, 2. woody, 3. skunk 
1886,mountain thunder, 1. earthy, 2. pepper, 3. woody 
1887,mozambique poison, 1. earthy, 2. pine, 3. sweet 
1888,mr nice, 1. earthy, 2. pungent, 3. spicy/herbal 
1889,mr tusk, 1. citrus, 2. flowery, 3. sweet 
1890,ms universe, 1. vanilla, 2. pineapple, 3. sweet 
1891,mt cook, 1. ammonia, 2. citrus, 3. diesel 
1892,mt hood magic, 1. flowery, 2. earthy, 3. sage 
1893,mt rainier, 1. earthy, 2. woody, 3. skunk 
1894,mud bite, 1. mint, 2. apple, 3. blue cheese 
1895,murkle, 1. earthy, 2. pungent, 3. skunk 
1896,mystery 98, 1. earthy, 2. berry, 3. citrus 
1897,mystery jazz, 1. diesel, 2. pungent, 3. sweet 
1898,nl5 haze mist, 1. berry, 2. nutty, 3. woody 
1899,ny cheese, 1. earthy, 2. pine, 3. cheese 
1900,ny 47, 1. citrus, 2. diesel, 3. earthy 
1901,nyc diesel, 1. diesel, 2. earthy, 3. pungent 
1902,nypd, 1. diesel, 2. pungent, 3. woody 
1903,nanas fix, 1. flowery, 2. diesel, 3. tea 
1904,narnia, 1. citrus, 2. sweet, 3. pine 
1905,nebula, 1. sweet, 2. honey, 3. chemical 
1906,nebula ii cbd, 1. woody, 2. earthy, 3. sweet 
1907,nectarine lips, 1. orange, 2. citrus, 3. mango 
1908,negra 44, 1. sweet, 2. earthy, 3. citrus 
1909,neil haze, 1. tropical, 2. earthy, 3. pungent 
1910,nepalese, 1. earthy, 2. flowery, 3. citrus 
1911,nepalese jam, 1. earthy, 2. pine, 3. tropical 
1912,neptune kush, 1. honey, 2. sweet, 3. apple 
1913,neptune og, 1. berry, 2. pungent, 3. earthy 
1914,nevils wreck, 1. earthy, 2. pine, 3. sage 
1915,nevilles haze, 1. citrus, 2. sweet, 3. diesel 
1916,new glue, 1. diesel, 2. earthy, 3. flowery 
1917,nexus og, 1. berry, 2. earthy, 3. pungent 
1918,nice cherry, 1. berry, 2. pine, 3. pungent 
1919,nicole kush, 1. pungent, 2. earthy, 3. sweet 
1920,night nurse, 1. sage, 2. spicy/herbal, 3. sweet 
1921,night terror og, 1. grape, 2. pine, 3. sweet 
1922,night train, 1. pungent, 2. woody, 3. nutty 
1923,nightfire og, 1. sweet, 2. lemon, 3. pungent 
1924,nightmare cookies, 1. citrus, 2. sweet, 3. earthy 
1925,nightmare og, 1. blueberry, 2. berry, 3. citrus 
1926,nina limone, 1. lemon, 2. lime, 3. pineapple 
1927,ninja fruit, 1. sweet, 2. grape, 3. pine 
1928,nor cal purps, 1. woody ,,
1929,nordle, 1. earthy, 2. sweet, 3. pine 
1930,north american, 1. earthy, 2. woody, 3. spicy/herbal 
1931,north american sativa, 1. pine, 2. ammonia, 3. earthy 
1932,north indian, 1. earthy, 2. tropical, 3. woody 
1933,northernberry, 1. berry, 2. sweet, 3. earthy 
1934,northern cross, 1. flowery, 2. sweet, 3. tea 
1935,northern lights, 1. earthy, 2. sweet, 3. pine 
1936,northern lights  5, 1. earthy, 2. pine, 3. flowery 
1937,northern lights 5 x haze, 1. earthy, 2. spicy/herbal, 3. pungent 
1938,northern skunk, 1. skunk, 2. pepper, 3. earthy 
1939,north american sativa, 1. pine, 2. ammonia, 3. earthy 
1940,north indian, 1. earthy, 2. tropical, 3. woody 
1941,northernberry, 1. berry, 2. sweet, 3. earthy 
1942,northern cross, 1. flowery, 2. sweet, 3. tea 
1943,northern lights, 1. earthy, 2. sweet, 3. pine 
1944,northern lights  5, 1. earthy, 2. pine, 3. flowery 
1945,northern lights 5 x haze, 1. earthy, 2. spicy/herbal, 3. pungent 
1946,northern skunk, 1. skunk, 2. pepper, 3. earthy 
1947,northern wreck, 1. earthy, 2. sweet, 3. flowery 
1948,northwest pineapple, 1. pineapple, 2. sweet ,
1949,nova, 1. pine, 2. citrus, 3. woody 
1950,nuclear cookies, 1. earthy, 2. citrus, 3. pungent 
1951,nuggetry og, 1. earthy, 2. pungent ,
1952,nukeheads, 1. earthy, 2. woody, 3. citrus 
1953,nuken, 1. earthy, 2. woody, 3. flowery 
1954,nurse jackie, 1. earthy, 2. lemon, 3. woody 
1955,oca gold, 1. earthy, 2. flowery, 3. spicy/herbal 
1956,ocas cloud 9, 1. citrus, 2. sweet, 3. flowery 
1957,ocd, 1. tar ,,
1958,og 18, 1. earthy, 2. diesel, 3. pungent 
1959,og 1 kenobi, 1. tropical, 2. citrus, 3. grape 
1960,og cheese, 1. cheese, 2. earthy, 3. pungent 
1961,og chem, 1. pine, 2. chemical, 3. diesel 
1962,og diesel kush, 1. strawberry, 2. diesel, 3. skunk 
1963,og eddy lepp, 1. tropical ,,
1964,og glue sniffer, 1. diesel, 2. sweet, 3. pungent 
1965,og kush, 1. earthy, 2. woody, 3. pine 
1966,og la affie, 1. sweet, 2. earthy, 3. coffee 
1967,og lime killer, 1. lime ,,
1968,og los angeles kush, 1. earthy, 2. citrus, 3. pungent 
1969,og poison, 1. earthy, 2. sweet, 3. pine 
1970,og ringo, 1. pine, 2. earthy, 3. sweet 
1971,og shark, 1. earthy, 2. woody, 3. spicy/herbal 
1972,og skunk, 1. skunk, 2. pungent, 3. diesel 
1973,og sour diesel, 1. pine, 2. diesel, 3. pungent 
1974,og strawberry, 1. sweet, 2. strawberry, 3. berry 
1975,og tonic, 1. earthy, 2. pungent, 3. woody 
1976,og wreck, 1. sweet, 2. skunk, 3. earthy 
1977,ogs pearl, 1. earthy, 2. pungent, 3. sweet 
1978,ogkb, 1. earthy, 2. pine, 3. diesel 
1979,ogkz, 1. grape, 2. sweet, 3. berry 
1980,ogiesel, 1. diesel, 2. pungent, 3. citrus 
1981,obama kush, 1. earthy, 2. sweet, 3. grape 
1982,ocean view, 1. sage, 2. berry, 3. earthy 
1983,odyssey, 1. orange, 2. sweet, 3. pine 
1984,ogre, 1. citrus, 2. skunk, 3. tea 
1985,ogre berry, 1. sweet, 2. mint, 3. cheese 
1986,ol betsy, 1. pungent, 2. skunk, 3. sweet 
1987,old lyme connecticut og, 1. pine, 2. pungent, 3. tree fruit 
1988,old mother sativa, 1. pine, 2. tree fruit, 3. tropical 
1989,old school og, 1. pungent, 2. skunk, 3. earthy 
1990,old toby, 1. lime, 2. pine, 3. chemical 
1991,oldtimers haze, 1. citrus, 2. pine ,
1992,ogre berry, 1. sweet, 2. mint, 3. cheese 
1993,ol betsy, 1. pungent, 2. skunk, 3. sweet 
1994,old lyme connecticut og, 1. pine, 2. pungent, 3. tree fruit 
1995,old mother sativa, 1. pine, 2. tree fruit, 3. tropical 
1996,old school og, 1. pungent, 2. skunk, 3. earthy 
1997,old toby, 1. lime, 2. pine, 3. chemical 
1998,oldtimers haze, 1. citrus, 2. pine ,
1999,omega, 1. earthy, 2. pine, 3. spicy/herbal 
2000,omega dawg, 1. skunk, 2. diesel, 3. pine 
2001,one to one, 1. woody, 2. earthy, 3. lemon 
2002,opal og kush, 1. earthy, 2. pine, 3. sweet 
2003,opium, 1. earthy, 2. sweet, 3. pungent 
2004,or, 1. earthy, 2. flowery, 3. berry 
2005,orange afghani, 1. orange, 2. citrus, 3. earthy 
2006,orange blossom, 1. orange, 2. citrus, 3. sweet 
2007,orange bud, 1. orange, 2. sweet, 3. citrus 
2008,orange cream, 1. citrus, 2. flowery, 3. orange 
2009,orange creamsicle, 1. orange, 2. citrus, 3. vanilla 
2010,orange crush, 1. orange, 2. citrus, 3. sweet 
2011,orange diesel, 1. orange, 2. diesel, 3. citrus 
2012,orange dream, 1. orange, 2. vanilla, 3. citrus 
2013,orange durban, 1. orange, 2. pine, 3. citrus 
2014,orange haze, 1. earthy, 2. citrus, 3. woody 
2015,orange hill special, 1. orange, 2. citrus, 3. sweet 
2016,orange juice, 1. orange, 2. citrus, 3. diesel 
2017,orange kush, 1. orange, 2. citrus, 3. earthy 
2018,orange kush breath, 1. earthy, 2. citrus, 3. orange 
2019,orange romulan, 1. citrus, 2. orange, 3. grapefruit 
2020,orange skunk, 1. orange, 2. skunk, 3. citrus 
2021,orange snow cone, 1. tar, 2. citrus, 3. earthy 
2022,orange turbo, 1. citrus, 2. orange, 3. earthy 
2023,orange velvet, 1. orange, 2. citrus, 3. sweet 
2024,orange wreck, 1. orange, 2. citrus, 3. grapefruit 
2025,orangutang, 1. citrus, 2. earthy, 3. diesel 
2026,oregon diesel, 1. berry, 2. diesel, 3. earthy 
2027,oregon pineapple, 1. pineapple, 2. pine, 3. sweet 
2028,oregon pinot noir, 1. grape, 2. sweet, 3. berry 
2029,organic diesel, 1. pungent, 2. flowery, 3. diesel 
2030,orient express, 1. nutty, 2. pine, 3. lemon 
2031,original glue, 1. earthy, 2. pungent, 3. pine 
2032,ortega, 1. spicy/herbal, 2. earthy, 3. pepper 
2033,oteils egyptian kush, 1. earthy, 2. pungent, 3. woody 
2034,outer space, 1. sweet, 2. citrus, 3. earthy 
2035,outlaw, 1. earthy, 2. sweet, 3. citrus 
2036,p 51, 1. earthy, 2. pine, 3. citrus 
2037,p 91, 1. sweet, 2. citrus, 3. pineapple 
2038,pb souffl, 1. earthy, 2. pungent, 3. nutty 
2039,pacific blue, 1. earthy, 2. flowery, 3. woody 
2040,outlaw, 1. earthy, 2. sweet, 3. citrus 
2041,p 51, 1. earthy, 2. pine, 3. citrus 
2042,p 91, 1. sweet, 2. citrus, 3. pineapple 
2043,pb souffl, 1. earthy, 2. pungent, 3. nutty 
2044,pacific blue, 1. earthy, 2. flowery, 3. woody 
2045,pacific frost, 1. berry, 2. grape, 3. rose 
2046,pagoda, 1. citrus, 2. earthy, 3. grapefruit 
2047,pakistan valley kush, 1. spicy/herbal, 2. woody, 3. sage 
2048,pakistani chitral kush, 1. earthy, 2. sweet, 3. berry 
2049,palm tree cbd, 1. earthy, 2. citrus, 3. woody 
2050,pamelina, 1. earthy, 2. pepper, 3. spicy/herbal 
2051,pan jam, 1. earthy, 2. chemical, 3. pepper 
2052,panama punch, 1. strawberry, 2. tree fruit, 3. orange 
2053,panama red, 1. spicy/herbal, 2. woody, 3. earthy 
2054,panda og, 1. berry, 2. pungent, 3. chemical 
2055,pandoras box, 1. citrus, 2. woody, 3. diesel 
2056,papas og, 1. pungent, 2. sweet, 3. earthy 
2057,paris og, 1. earthy, 2. pungent, 3. tree fruit 
2058,paris xxx, 1. pungent, 2. citrus, 3. earthy 
2059,patti cake, 1. earthy, 2. nutty, 3. sweet 
2060,peach cobbler, 1. peach, 2. sweet, 3. vanilla 
2061,peach crescendo f 1, 1. peach, 2. cheese, 3. citrus 
2062,peach puree, 1. citrus, 2. flowery, 3. menthol 
2063,peaches and cream, 1. peach, 2. skunk, 3. sweet 
2064,peachy mack, 1. peach, 2. apricot, 3. berry 
2065,pearl scout cookies, 1. flowery, 2. citrus, 3. earthy 
2066,peles fire og, 1. earthy, 2. citrus, 3. flowery 
2067,pennywise, 1. earthy, 2. sweet, 3. woody 
2068,peppermint cookies, 1. mint, 2. earthy, 3. woody 
2069,perfect purple, 1. tropical ,,
2070,permafrost, 1. earthy, 2. pine, 3. sweet 
2071,pestilence, 1. earthy, 2. pine, 3. pungent 
2072,petrolia headstash, 1. pungent, 2. earthy, 3. tar 
2073,peyote cookies, 1. earthy, 2. sweet, 3. woody 
2074,peyton manning, 1. earthy ,,
2075,pez, 1. berry, 2. citrus, 3. sweet 
2076,phantom arrow, 1. tree fruit, 2. earthy, 3. menthol 
2077,phantom cookies, 1. sweet, 2. earthy, 3. pungent 
2078,phantom og, 1. earthy, 2. pine, 3. flowery 
2079,phatt frutty, 1. lemon, 2. lime, 3. citrus 
2080,pheno 51, 1. pine, 2. earthy, 3. woody 
2081,phishhead kush, 1. berry, 2. sweet ,
2082,pie face og, 1. sweet, 2. vanilla, 3. earthy 
2083,pie hoe, 1. grape, 2. berry, 3. flowery 
2084,pine cone, 1. blue cheese, 2. pine, 3. woody 
2085,pine queen dream, 1. pine, 2. woody, 3. blueberry 
2086,pine tar kush, 1. pine, 2. earthy, 3. woody 
2087,pineapple, 1. pineapple, 2. tropical, 3. sweet 
2088,pineapple cookies, 1. pineapple, 2. citrus, 3. earthy 
2089,pie hoe, 1. grape, 2. berry, 3. flowery 
2090,pine cone, 1. blue cheese, 2. pine, 3. woody 
2091,pine queen dream, 1. pine, 2. woody, 3. blueberry 
2092,pine tar kush, 1. pine, 2. earthy, 3. woody 
2093,pineapple, 1. pineapple, 2. tropical, 3. sweet 
2094,pineapple cookies, 1. pineapple, 2. citrus, 3. earthy 
2095,pineapple diesel, 1. pineapple, 2. diesel, 3. sweet 
2096,pineapple dog shit, 1. pineapple, 2. citrus, 3. tar 
2097,pineapple express, 1. pineapple, 2. sweet, 3. tropical 
2098,pineapple fields, 1. tropical, 2. pineapple, 3. sweet 
2099,pineapple haze, 1. pineapple, 2. citrus, 3. tropical 
2100,pineapple jack, 1. pine, 2. citrus, 3. earthy 
2101,pineapple kush, 1. pineapple, 2. sweet, 3. earthy 
2102,pineapple mayhem, 1. citrus, 2. pineapple ,
2103,pineapple og, 1. pine, 2. woody, 3. orange 
2104,pineapple punch, 1. pineapple, 2. tropical, 3. sweet 
2105,pineapple purple skunk, 1. citrus, 2. pineapple, 3. skunk 
2106,pineapple purps, 1. earthy, 2. pineapple, 3. sweet 
2107,pineapple sage, 1. sage, 2. pineapple, 3. citrus 
2108,pineapple skunk, 1. sweet, 2. pineapple, 3. skunk 
2109,pineapple super silver haze, 1. pineapple, 2. citrus, 3. diesel 
2110,pineapple thai, 1. pineapple, 2. tropical, 3. citrus 
2111,pineapple trainwreck, 1. pineapple, 2. sweet, 3. tropical 
2112,pineapple upside down cake, 1. pineapple, 2. sweet, 3. tropical 
2113,pineberry, 1. berry, 2. pine, 3. earthy 
2114,pinewarp, 1. pine, 2. pungent, 3. tree fruit 
2115,pink berry, 1. sweet, 2. flowery, 3. berry 
2116,pink bubba, 1. sweet, 2. earthy, 3. pungent 
2117,pink champagne, 1. berry, 2. sweet, 3. earthy 
2118,pink cookies, 1. spicy/herbal, 2. berry, 3. flowery 
2119,pink death star, 1. earthy, 2. pungent, 3. pepper 
2120,pink hawaiian, 1. sweet, 2. tropical, 3. honey 
2121,pink kush, 1. sweet, 2. flowery, 3. earthy 
2122,pink lemonade, 1. lemon, 2. citrus, 3. sweet 
2123,pink mango, 1. mango, 2. earthy, 3. tropical 
2124,pink panther, 1. sweet, 2. flowery, 3. citrus 
2125,pink panties, 1. sweet, 2. flowery, 3. chemical 
2126,pink pez, 1. citrus, 2. grapefruit, 3. sweet 
2127,pink starburst, 1. flowery, 2. sweet, 3. earthy 
2128,pink sunset, 1. sweet, 2. berry, 3. flowery 
2129,pinkman goo, 1. sweet, 2. berry, 3. mint 
2130,pinot green, 1. earthy, 2. citrus, 3. flowery 
2131,pitbull, 1. pungent, 2. skunk, 3. berry 
2132,pia collision, 1. orange, 2. pineapple, 3. sweet 
2133,placenta, 1. earthy, 2. nutty, 3. pungent 
2134,platinum bubba kush, 1. earthy, 2. flowery, 3. sweet 
2135,platinum calyx, 1. berry, 2. coffee, 3. grape 
2136,platinum gsc, 1. earthy, 2. sweet, 3. pungent 
2137,platinum huckleberry cookies, 1. spicy/herbal, 2. earthy, 3. sweet 
2138,platinum kush, 1. earthy, 2. sweet, 3. spicy/herbal 
2139,platinum og, 1. earthy, 2. pungent, 3. pine 
2140,pia collision, 1. orange, 2. pineapple, 3. sweet 
2141,placenta, 1. earthy, 2. nutty, 3. pungent 
2142,platinum bubba kush, 1. earthy, 2. flowery, 3. sweet 
2143,platinum calyx, 1. berry, 2. coffee, 3. grape 
2144,platinum gsc, 1. earthy, 2. sweet, 3. pungent 
2145,platinum huckleberry cookies, 1. spicy/herbal, 2. earthy, 3. sweet 
2146,platinum kush, 1. earthy, 2. sweet, 3. spicy/herbal 
2147,platinum og, 1. earthy, 2. pungent, 3. pine 
2148,platinum purple kush, 1. grape, 2. earthy, 3. pungent 
2149,platinum sour diesel, 1. sweet, 2. diesel, 3. grape 
2150,platinum wreck, 1. sweet, 2. earthy, 3. citrus 
2151,plushberry, 1. berry, 2. sweet, 3. flowery 
2152,pluto kush, 1. earthy, 2. skunk, 3. berry 
2153,poison haze, 1. earthy, 2. nutty, 3. citrus 
2154,pokie, 1. butter, 2. earthy, 3. sweet 
2155,poochie love, 1. earthy, 2. pungent, 3. skunk 
2156,pop rox, 1. sweet, 2. grape, 3. citrus 
2157,popcorn kush, 1. earthy, 2. pine, 3. butter 
2158,pot of gold, 1. earthy, 2. woody, 3. pine 
2159,powderhound, 1. pine, 2. pungent ,
2160,power kush, 1. skunk, 2. sweet, 3. citrus 
2161,power plant, 1. earthy, 2. pungent, 3. sweet 
2162,pre 98 bubba kush, 1. coffee, 2. earthy, 3. woody 
2163,predator pink, 1. earthy, 2. sweet, 3. pungent 
2164,presidential og, 1. earthy, 2. pine, 3. sweet 
2165,prevention, 1. earthy, 2. sweet, 3. flowery 
2166,primus, 1. tropical, 2. violet, 3. woody 
2167,princess, 1. earthy, 2. woody, 3. flowery 
2168,princesss tiara, 1. earthy, 2. sweet ,
2169,professor chaos, 1. citrus, 2. sweet, 3. berry 
2170,project blue book, 1. sweet, 2. berry, 3. earthy 
2171,puna buddaz, 1. sweet, 2. tropical, 3. pungent 
2172,puna budder, 1. pine, 2. sweet, 3. butter 
2173,punky lion, 1. lime, 2. earthy, 3. sweet 
2174,punto rojo tierra adentro, 1. pine, 2. skunk, 3. sweet 
2175,punxsy punch, 1. blueberry ,,
2176,pura vida, 1. flowery, 2. citrus, 3. grape 
2177,pure afghan, 1. earthy, 2. woody, 3. pungent 
2178,pure kush, 1. earthy, 2. pungent, 3. skunk 
2179,pure love, 1. flowery, 2. mango, 3. grape 
2180,pure og, 1. pine, 2. sweet, 3. lemon 
2181,pure power plant, 1. earthy, 2. pungent, 3. skunk 
2182,purple ak 47, 1. woody, 2. vanilla, 3. grape 
2183,purple afghani, 1. earthy, 2. sweet, 3. woody 
2184,purple alien og, 1. earthy, 2. flowery, 3. sweet 
2185,purple arrow, 1. earthy, 2. sweet, 3. pungent 
2186,purple aurora, 1. berry, 2. flowery, 3. grape 
2187,purple berry, 1. spicy/herbal, 2. earthy, 3. sweet 
2188,purple berry skunk, 1. berry, 2. cheese, 3. grape 
2189,purple ak 47, 1. woody, 2. vanilla, 3. grape 
2190,purple afghani, 1. earthy, 2. sweet, 3. woody 
2191,purple alien og, 1. earthy, 2. flowery, 3. sweet 
2192,purple arrow, 1. earthy, 2. sweet, 3. pungent 
2193,purple aurora, 1. berry, 2. flowery, 3. grape 
2194,purple berry, 1. spicy/herbal, 2. earthy, 3. sweet 
2195,purple berry skunk, 1. berry, 2. cheese, 3. grape 
2196,purple bubba, 1. berry, 2. sweet, 3. citrus 
2197,purple bud, 1. sweet, 2. spicy/herbal, 3. blueberry 
2198,purple buddha, 1. berry, 2. sweet, 3. grape 
2199,purple bush, 1. berry, 2. sweet, 3. flowery 
2200,purple candy, 1. grape, 2. sweet, 3. flowery 
2201,purple champagne, 1. grape, 2. berry, 3. sweet 
2202,purple cheddar, 1. flowery, 2. earthy, 3. grape 
2203,purple cheese, 1. pungent, 2. cheese, 3. sweet 
2204,purple chemdawg, 1. grape, 2. earthy, 3. pungent 
2205,purple cotton candy, 1. sweet, 2. grape, 3. sage 
2206,purple cow, 1. flowery, 2. berry, 3. mango 
2207,purple crack, 1. sweet, 2. earthy, 3. citrus 
2208,purple cream, 1. pungent, 2. sweet, 3. earthy 
2209,purple diesel, 1. diesel, 2. sweet, 3. grape 
2210,purple dog shit, 1. berry, 2. earthy, 3. grape 
2211,purple dragon, 1. grape, 2. pine, 3. blueberry 
2212,purple dream, 1. grape, 2. sweet, 3. earthy 
2213,purple elephant, 1. earthy, 2. flowery, 3. citrus 
2214,purple frost, 1. skunk, 2. earthy, 3. sweet 
2215,purple glue, 1. earthy, 2. grape, 3. sweet 
2216,purple goat, 1. sweet, 2. berry, 3. earthy 
2217,purple goo, 1. sweet, 2. earthy, 3. pungent 
2218,purple gorilla, 1. berry, 2. sweet, 3. grape 
2219,purple happy rancher, 1. grape, 2. flowery, 3. berry 
2220,purple hashplant, 1. pungent, 2. earthy, 3. flowery 
2221,purple haze, 1. flowery, 2. earthy, 3. sweet 
2222,purple headband, 1. berry, 2. sweet, 3. grape 
2223,purple hindu kush, 1. grape, 2. woody, 3. berry 
2224,purple ice, 1. berry, 2. sweet, 3. grape 
2225,purple jack, 1. earthy, 2. berry, 3. tree fruit 
2226,purple killer, 1. tree fruit, 2. sweet, 3. earthy 
2227,purple kush, 1. earthy, 2. grape, 3. berry 
2228,purple martian kush, 1. sweet, 2. grape, 3. berry 
2229,purple maui, 1. sweet, 2. grape, 3. pine 
2230,purple monkey balls, 1. citrus, 2. earthy, 3. diesel 
2231,purple mr nice, 1. earthy, 2. grape, 3. berry 
2232,purple nepal, 1. sweet, 2. grape, 3. pungent 
2233,purple og kush, 1. earthy, 2. sweet, 3. woody 
2234,purple panty dropper, 1. pungent, 2. lavender, 3. grape 
2235,purple paralysis, 1. honey, 2. sweet, 3. lavender 
2236,purple passion, 1. grape, 2. pungent, 3. earthy 
2237,purple people eater, 1. grape, 2. berry, 3. tropical 
2238,purple pie, 1. diesel, 2. sweet, 3. berry 
2239,purple pinecone, 1. citrus, 2. diesel, 3. earthy 
2240,purple power, 1. berry, 2. pungent, 3. woody 
2241,purple panty dropper, 1. pungent, 2. lavender, 3. grape 
2242,purple paralysis, 1. honey, 2. sweet, 3. lavender 
2243,purple passion, 1. grape, 2. pungent, 3. earthy 
2244,purple people eater, 1. grape, 2. berry, 3. tropical 
2245,purple pie, 1. diesel, 2. sweet, 3. berry 
2246,purple pinecone, 1. citrus, 2. diesel, 3. earthy 
2247,purple power, 1. berry, 2. pungent, 3. woody 
2248,purple princess, 1. berry, 2. sweet, 3. pungent 
2249,purple punch, 1. grape, 2. berry, 3. sweet 
2250,purple raine, 1. sweet, 2. grape, 3. berry 
2251,purple rhino, 1. sweet, 2. skunk, 3. berry 
2252,purple sage, 1. sage, 2. lemon, 3. sweet 
2253,purple skunk, 1. skunk, 2. earthy, 3. pine 
2254,purple sour diesel, 1. diesel, 2. grape, 3. pungent 
2255,purple star, 1. berry, 2. grape, 3. earthy 
2256,purple swish, 1. berry, 2. earthy, 3. pungent 
2257,purple tangie, 1. citrus, 2. grape, 3. sweet 
2258,purple tears, 1. berry, 2. diesel, 3. earthy 
2259,purple thai, 1. lemon, 2. flowery, 3. woody 
2260,purple tide, 1. nutty ,,
2261,purple tonic, 1. blueberry, 2. nutty, 3. tree fruit 
2262,purple trainwreck, 1. berry, 2. sweet, 3. grape 
2263,purple urkle, 1. grape, 2. berry, 3. earthy 
2264,purple voodoo, 1. sweet, 2. pungent, 3. earthy 
2265,purple widow, 1. woody, 2. sweet, 3. berry 
2266,purple wreck, 1. grape, 2. berry, 3. sweet 
2267,q3, 1. tree fruit, 2. orange, 3. citrus 
2268,qleaner, 1. ammonia, 2. tar, 3. citrus 
2269,qrazy train, 1. sweet, 2. skunk, 3. lemon 
2270,quad dawg, 1. lemon ,,
2271,quantum kush, 1. earthy, 2. pine, 3. lemon 
2272,quebec gold, 1. citrus, 2. lemon, 3. pine 
2273,queen mother goji, 1. berry, 2. woody, 3. earthy 
2274,queens panties, 1. sweet, 2. berry, 3. blueberry 
2275,querkle, 1. earthy, 2. woody, 3. coffee 
2276,quin n tonic, 1. blueberry, 2. sweet, 3. pungent 
2277,qush, 1. sweet, 2. flowery, 3. earthy 
2278,r 4, 1. earthy, 2. nutty, 3. butter 
2279,race fuel og, 1. diesel, 2. earthy, 3. pine 
2280,rafael, 1. peach ,,
2281,rainbow, 1. sweet, 2. tropical, 3. citrus 
2282,rainbow jones, 1. spicy/herbal, 2. grape, 3. blueberry 
2283,raindance, 1. earthy, 2. woody, 3. lemon 
2284,ramses, 1. flowery, 2. spicy/herbal, 3. sweet 
2285,rare dankness 1, 1. berry, 2. pungent, 3. earthy 
2286,rare darkness, 1. earthy, 2. sweet, 3. flowery 
2287,raskal og, 1. sweet, 2. pine, 3. earthy 
2288,raspberry cough, 1. berry, 2. sweet, 3. strawberry 
2289,raspberry diesel, 1. berry, 2. diesel, 3. flowery 
2290,raspberry kush, 1. berry, 2. earthy, 3. spicy/herbal 
2291,ramses, 1. flowery, 2. spicy/herbal, 3. sweet 
2292,rare dankness 1, 1. berry, 2. pungent, 3. earthy 
2293,rare darkness, 1. earthy, 2. sweet, 3. flowery 
2294,raskal og, 1. sweet, 2. pine, 3. earthy 
2295,raspberry cough, 1. berry, 2. sweet, 3. strawberry 
2296,raspberry diesel, 1. berry, 2. diesel, 3. flowery 
2297,raspberry kush, 1. berry, 2. earthy, 3. spicy/herbal 
2298,raw diesel, 1. earthy, 2. diesel, 3. woody 
2299,ray charles, 1. earthy, 2. pine, 3. diesel 
2300,rebel berry og, 1. blueberry, 2. berry, 3. cheese 
2301,rebel god smoke, 1. citrus, 2. earthy, 3. grapefruit 
2302,rebel tangie kandy, 1. citrus ,,
2303,reclining buddha, 1. citrus, 2. flowery, 3. berry 
2304,recon, 1. sweet, 2. earthy, 3. pungent 
2305,red cherry berry, 1. berry, 2. earthy, 3. sweet 
2306,red congolese, 1. spicy/herbal, 2. earthy, 3. woody 
2307,red diesel, 1. woody, 2. earthy, 3. sweet 
2308,red dragon, 1. sweet, 2. earthy, 3. tropical 
2309,red dwarf, 1. pine, 2. earthy, 3. orange 
2310,red eye og, 1. earthy, 2. pungent, 3. pine 
2311,red haze, 1. woody, 2. earthy, 3. tobacco 
2312,red headed stranger, 1. spicy/herbal, 2. sweet, 3. earthy 
2313,red poison, 1. earthy, 2. citrus, 3. woody 
2314,red rhino, 1. earthy, 2. mint, 3. spicy/herbal 
2315,red velvet pie, 1. sweet ,,
2316,red widow, 1. earthy, 2. butter, 3. skunk 
2317,redd cross, 1. chemical, 2. earthy ,
2318,redwood kush, 1. woody, 2. earthy, 3. pine 
2319,remedy, 1. flowery, 2. skunk, 3. earthy 
2320,remo chemo, 1. pepper, 2. spicy/herbal, 3. earthy 
2321,rene, 1. earthy, 2. sweet, 3. rose 
2322,rene mist, 1. earthy, 2. flowery, 3. rose 
2323,richie rich, 1. sweet, 2. lemon, 3. mango 
2324,riddler og, 1. earthy, 2. flowery, 3. pungent 
2325,ridge berry, 1. earthy, 2. chemical, 3. flowery 
2326,ringos gift, 1. earthy, 2. citrus, 3. nutty 
2327,rip city purps, 1. earthy, 2. flowery, 3. grape 
