,strain,flavor_1,flavor_2,flavor_3
266,big sky og, 1. citrus, 2. pungent, 3. diesel 
267,big smooth, 1. sweet, 2. blueberry, 3. berry 
268,big sur holy bud, 1. pine, 2. earthy, 3. spicy/herbal 
269,big white, 1. diesel, 2. flowery, 3. earthy 
270,big wreck, 1. earthy, 2. pungent, 3. flowery 
271,biker kush, 1. lemon, 2. spicy/herbal, 3. earthy 
272,biker leblanc, 1. earthy, 2. sage, 3. spicy/herbal 
273,bingo pajamas, 1. cheese, 2. citrus ,
274,bio diesel, 1. diesel, 2. pungent, 3. chemical 
275,bio jesus, 1. earthy, 2. diesel, 3. pungent 
276,biochem, 1. flowery, 2. earthy, 3. chemical 
277,biohazard, 1. diesel, 2. skunk, 3. nutty 
278,birds eye, 1. sweet ,,
279,birds of paradise, 1. earthy, 2. grape, 3. skunk 
280,birthday cake kush, 1. sweet, 2. vanilla, 3. earthy 
281,black 84, 1. pungent, 2. grape, 3. earthy 
282,black afghan, 1. berry, 2. violet, 3. pine 
283,black betty, 1. earthy, 2. spicy/herbal, 3. plum 
284,black bubba, 1. blue cheese, 2. earthy, 3. pine 
285,black cheese, 1. cheese, 2. earthy, 3. pungent 
286,black cherry cheesecake, 1. sweet, 2. berry, 3. cheese 
287,black cherry og, 1. sweet, 2. tree fruit, 3. earthy 
288,black cherry pie, 1. berry, 2. earthy, 3. sweet 
289,black cherry soda, 1. earthy, 2. berry, 3. sweet 
290,black dog, 1. berry, 2. sweet, 3. blueberry 
291,black dhalia, 1. sweet, 2. berry, 3. earthy 
292,black diamond, 1. earthy, 2. berry, 3. sweet 
293,black diesel, 1. diesel, 2. pepper, 3. earthy 
294,black domina, 1. earthy, 2. spicy/herbal, 3. woody 
295,black haze, 1. earthy, 2. sweet, 3. spicy/herbal 
296,black ice, 1. earthy, 2. pine, 3. flowery 
297,black jack, 1. earthy, 2. pine, 3. pungent 
298,black label, 1. diesel, 2. earthy, 3. pungent 
299,black label kush, 1. woody, 2. earthy, 3. spicy/herbal 
300,black lime special reserve, 1. lime, 2. earthy, 3. citrus 
301,black magic, 1. earthy ,,
302,black magic kush, 1. sweet, 2. berry, 3. blueberry 
303,black mamba, 1. sweet, 2. grape, 3. pungent 
304,black label, 1. diesel, 2. earthy, 3. pungent 
305,black label kush, 1. woody, 2. earthy, 3. spicy/herbal 
306,black lime special reserve, 1. lime, 2. earthy, 3. citrus 
307,black magic, 1. earthy ,,
308,black magic kush, 1. sweet, 2. berry, 3. blueberry 
309,black mamba, 1. sweet, 2. grape, 3. pungent 
310,black raspberry, 1. sweet, 2. flowery, 3. berry 
311,black roses, 1. flowery, 2. spicy/herbal, 3. earthy 
312,black russian, 1. citrus, 2. sweet, 3. lime 
313,black triangle, 1. earthy, 2. citrus, 3. pine 
314,black tuna, 1. earthy, 2. woody, 3. sweet 
315,black velvet, 1. rose, 2. violet, 3. flowery 
316,black widow, 1. earthy, 2. woody, 3. flowery 
317,blackberry, 1. berry, 2. sweet, 3. flowery 
318,blackberry bubble, 1. berry, 2. blueberry, 3. sweet 
319,blackberry chem og, 1. berry, 2. chemical, 3. citrus 
320,blackberry cobbler, 1. berry, 2. flowery, 3. sweet 
321,blackberry cream, 1. earthy, 2. tropical, 3. berry 
322,blackberry diesel, 1. diesel, 2. berry, 3. woody 
323,blackberry dream, 1. berry, 2. tropical, 3. grapefruit 
324,blackberry fire, 1. berry, 2. sweet, 3. diesel 
325,blackberry hashplant, 1. earthy, 2. nutty, 3. pungent 
326,blackberry haze, 1. berry, 2. sweet, 3. violet 
327,blackberry kush, 1. berry, 2. sweet, 3. earthy 
328,blackberry lime haze, 1. berry, 2. sweet, 3. lime 
329,blackberry pie, 1. sweet, 2. blueberry, 3. berry 
330,blackberry rhino, 1. berry, 2. sweet, 3. woody 
331,blackberry snow cone, 1. peach, 2. pungent ,
332,blackberry trainwreck, 1. berry, 2. flowery, 3. sweet 
333,blackberry x blueberry, 1. blueberry, 2. berry, 3. skunk 
334,blackwater, 1. earthy, 2. berry, 3. woody 
335,blaze, 1. spicy/herbal, 2. earthy, 3. woody 
336,bleugenius, 1. woody ,,
337,blissful wizard, 1. earthy, 2. sweet, 3. pine 
338,blizzard bush, 1. earthy, 2. flowery, 3. nutty 
339,blob og, 1. pine, 2. citrus, 3. earthy 
340,blockhead, 1. earthy, 2. sweet, 3. pungent 
341,bloos kloos, 1. sweet, 2. berry, 3. blueberry 
342,blood orange kush, 1. citrus, 2. orange, 3. chemical 
343,bloodhound, 1. earthy, 2. sage, 3. chestnut 
344,bloodwalker, 1. diesel, 2. sweet, 3. berry 
345,blowfish, 1. lemon, 2. lime, 3. orange 
346,blucifer, 1. blueberry, 2. flowery, 3. spicy/herbal 
347,blue afghani, 1. pungent, 2. earthy, 3. blueberry 
348,blue alien, 1. blueberry, 2. sweet, 3. earthy 
349,blue bastard, 1. berry, 2. pine ,
350,blue bayou, 1. citrus, 2. lemon, 3. tropical 
351,blue blood, 1. blueberry, 2. earthy, 3. sweet 
352,blue boy, 1. earthy, 2. sweet, 3. pungent 
353,blue buddha, 1. blueberry, 2. cheese, 3. citrus 
354,blue champange, 1. sweet, 2. flowery, 3. pine 
355,blue cheese, 1. blue cheese, 2. cheese, 3. blueberry 
356,blue cinex, 1. earthy, 2. blue cheese, 3. butter 
357,blue bastard, 1. berry, 2. pine ,
358,blue bayou, 1. citrus, 2. lemon, 3. tropical 
359,blue blood, 1. blueberry, 2. earthy, 3. sweet 
360,blue boy, 1. earthy, 2. sweet, 3. pungent 
361,blue buddha, 1. blueberry, 2. cheese, 3. citrus 
362,blue champange, 1. sweet, 2. flowery, 3. pine 
363,blue cheese, 1. blue cheese, 2. cheese, 3. blueberry 
364,blue cinex, 1. earthy, 2. blue cheese, 3. butter 
365,blue cookies, 1. blueberry, 2. berry, 3. sweet 
366,blue crack, 1. berry, 2. flowery, 3. blueberry 
367,blue diamond, 1. earthy, 2. flowery, 3. pungent 
368,blue diesel, 1. diesel, 2. berry, 3. blueberry 
369,blue dot, 1. earthy, 2. nutty, 3. lemon 
370,blue dragon, 1. blueberry, 2. diesel, 3. earthy 
371,blue dream, 1. blueberry, 2. sweet, 3. berry 
372,blue dream cbd, 1. blueberry, 2. sweet, 3. berry 
373,blue dynamite, 1. earthy, 2. sweet, 3. blueberry 
374,blue fire, 1. berry, 2. sweet, 3. blueberry 
375,blue frost, 1. blueberry, 2. earthy, 3. berry 
376,blue galaxy, 1. berry, 2. sweet, 3. tropical 
377,blue god, 1. earthy, 2. woody, 3. spicy/herbal 
378,blue goo, 1. blueberry, 2. earthy, 3. flowery 
379,blue hash, 1. blueberry, 2. citrus, 3. sweet 
380,blue hawaiian, 1. berry, 2. tropical, 3. blueberry 
381,blue haze, 1. blueberry, 2. berry, 3. butter 
382,blue heron, 1. citrus, 2. berry, 3. blueberry 
383,blue iguana, 1. blueberry, 2. spicy/herbal, 3. earthy 
384,blue ivy, 1. blueberry, 2. flowery, 3. sweet 
385,blue j, 1. citrus, 2. lime, 3. blueberry 
386,blue jay way, 1. sweet, 2. blueberry, 3. citrus 
387,blue kiss, 1. berry, 2. blueberry, 3. flowery 
388,blue knight, 1. blueberry, 2. berry, 3. earthy 
389,blue kripple, 1. berry, 2. grape, 3. earthy 
390,blue kush, 1. blueberry, 2. pine, 3. citrus 
391,blue lights, 1. sweet, 2. flowery, 3. blueberry 
392,blue magic, 1. citrus, 2. lemon, 3. blueberry 
393,blue magoo, 1. blueberry, 2. sweet, 3. flowery 
394,blue monster, 1. blueberry, 2. berry, 3. diesel 
395,blue moon rocks, 1. berry, 2. blueberry, 3. earthy 
396,blue moonshine, 1. blueberry, 2. earthy, 3. berry 
397,blue mountain fire, 1. earthy, 2. flowery, 3. tar 
398,blue mystic, 1. blueberry, 2. flowery, 3. berry 
399,blue nightmare, 1. blueberry, 2. berry, 3. spicy/herbal 
400,blue nina, 1. flowery, 2. berry, 3. lavender 
401,blue og, 1. berry, 2. blueberry, 3. earthy 
402,blue og sherbert, 1. berry, 2. earthy, 3. spicy/herbal 
403,blue ox, 1. berry, 2. blueberry, 3. cheese 
404,blue persuasion, 1. blueberry, 2. sweet, 3. berry 
405,blue power, 1. blueberry, 2. lemon, 3. berry 
406,blue raspberry snow cone, 1. blueberry, 2. flowery, 3. sweet 
407,blue rhino, 1. blueberry, 2. flowery, 3. berry 
408,blue satellite, 1. sweet, 2. blueberry, 3. berry 
409,blue sherbert, 1. blueberry, 2. citrus, 3. sweet 
410,blue sky, 1. earthy, 2. sweet, 3. blueberry 
411,blue steel, 1. blueberry, 2. earthy, 3. berry 
412,blue power, 1. blueberry, 2. lemon, 3. berry 
413,blue raspberry snow cone, 1. blueberry, 2. flowery, 3. sweet 
414,blue rhino, 1. blueberry, 2. flowery, 3. berry 
415,blue satellite, 1. sweet, 2. blueberry, 3. berry 
416,blue sherbert, 1. blueberry, 2. citrus, 3. sweet 
417,blue sky, 1. earthy, 2. sweet, 3. blueberry 
418,blue steel, 1. blueberry, 2. earthy, 3. berry 
419,blue thai, 1. earthy, 2. woody, 3. citrus 
420,blue train, 1. blueberry, 2. sweet, 3. spicy/herbal 
421,blue treat, 1. blueberry, 2. earthy, 3. berry 
422,blue velvet, 1. sweet, 2. berry, 3. earthy 
423,blue venom, 1. blueberry, 2. earthy, 3. spicy/herbal 
424,blue widow, 1. sweet, 2. blueberry, 3. woody 
425,blue wolf, 1. sweet, 2. pine, 3. woody 
426,blue wonder, 1. blueberry ,,
427,blue wreck, 1. blueberry, 2. earthy, 3. skunk 
428,blue zkittlez, 1. sweet, 2. berry, 3. citrus 
429,blue zombie, 1. berry, 2. skunk, 3. sweet 
430,blueberry, 1. blueberry, 2. berry, 3. sweet 
431,blueberry ak, 1. blueberry, 2. skunk, 3. sweet 
432,blueberry blast, 1. blueberry, 2. berry, 3. citrus 
433,blueberry bomb, 1. blueberry, 2. earthy, 3. sweet 
434,blueberry diesel, 1. blueberry, 2. diesel, 3. sweet 
435,blueberry dream, 1. blueberry, 2. berry, 3. sweet 
436,blueberry essence, 1. blueberry, 2. earthy, 3. flowery 
437,blueberry hashplant, 1. blueberry, 2. pungent, 3. berry 
438,blueberry haze, 1. blueberry, 2. sweet, 3. berry 
439,blueberry headband, 1. blueberry, 2. sweet, 3. berry 
440,blueberry jack, 1. blueberry, 2. pine, 3. berry 
441,blueberry kush, 1. blueberry, 2. berry, 3. earthy 
442,blueberry lambsbread, 1. blueberry, 2. sweet, 3. earthy 
443,blueberry muffins, 1. blueberry, 2. berry, 3. sweet 
444,blueberry og, 1. blueberry, 2. earthy, 3. berry 
445,blueberry pancakes, 1. sweet, 2. blueberry, 3. berry 
446,blueberry pie, 1. blueberry, 2. berry, 3. earthy 
447,blueberry silvertip, 1. blueberry, 2. sage, 3. chestnut 
448,blueberry skunk, 1. blueberry, 2. skunk, 3. earthy 
449,blueberry space cake, 1. blueberry, 2. flowery, 3. berry 
450,blue train, 1. blueberry, 2. sweet, 3. spicy/herbal 
451,blueberry triple og, 1. skunk, 2. blueberry, 3. pungent 
452,blueberry waltz, 1. blueberry, 2. rose, 3. sweet 
